wfo_accepted_name,EIVEres-L,EIVEres-T,EIVEres-M,EIVEres-R,EIVEres-N,Species name standardized against TPL,Genus,Family,Woodiness,Growth Form,Leaf type,Leaf area (mm2),Nmass (mg/g),LMA (g/m2),Plant height (m),Diaspore mass (mg),SSD observed (mg/mm3),SSD combined (mg/mm3),SSD used (mg/mm3),Leaf area (n.o.),Nmass (n.o.),LMA (n.o.),Plant height (n.o.),Diaspore mass (n.o.),SSD (n.o.),ssd_imputed_used,min_records_6traits,Myco_Group_Final
Abies alba,3.04121397555945,3.68221723622716,5.18315712725518,5.30575728431131,4.89670025203823,Abies alba,Abies,Pinaceae,woody,tree,needleleaved,32.42,26.4,106.0445387,42.07407505,62.0067,0.498985659,0.498985659,0.498985659,13,174,129,59,17,469,0,13,Pure_EM
Abies balsamea,4.96666379852139,3.45930306255101,4.93919677325135,3.77745912681444,5.05454803355489,Abies balsamea,Abies,Pinaceae,woody,tree,needleleaved,35,14.0810366,140.0280084,17.97748828,6.7106,0.419880936,0.419880936,0.419880936,NA,219,11,45,22,8,0,8,Pure_EM
Abies concolor,6.96306913882719,3.24396293653831,4.17395912195739,3.77745912681444,5.05454803355489,Abies concolor,Abies,Pinaceae,woody,tree,needleleaved,75.99,13.00345865,208.8553158,43.94573342,34.7189,0.4,0.4,0.4,40,12,69,34,30,26,0,12,Mixed_Uncertain
Abies grandis,5.26847296861139,3.82882669123371,4.17395912195739,3.77745912681444,4.99181906456064,Abies grandis,Abies,Pinaceae,woody,tree,needleleaved,180,14.6,212.7659574,54.9171867,17.579,0.42,0.42,0.42,1,2,6,50,22,4,0,1,Mixed_Uncertain
Abies lasiocarpa,6.96306913882719,3.24396293653831,4.17395912195739,3.77745912681444,5.05454803355489,Abies lasiocarpa,Abies,Pinaceae,woody,tree,needleleaved,35.04,13.43892689,276.0069609,26.65503063,12.6603,0.32,0.32,0.32,11,54,45,33,34,30,0,11,Pure_EM
Abutilon theophrasti,7.71310819476703,6.25291136706699,3.91783492521525,6.45003271038708,6.20524797694062,Abutilon theophrasti,Abutilon,Malvaceae,non-woody,herbaceous non-graminoid,broadleaved,15964.06,39.3,41.15677344,1.5,8.4909,NA,0.21162684,0.21162684,10,4,11,7,27,NA,1,4,Pure_NM
Acacia mearnsii,8.79075673845761,7.6467553713581,4.17556971385382,5.69538495499245,4.01852175034138,Acacia mearnsii,Acacia,Leguminosae,woody,tree,broadleaved,1.8,26.2960073,106.0292513,4.387000876,14.0075,0.624666418,0.624666418,0.624666418,NA,3,8,4,19,8,0,3,Low_Confidence
Acacia melanoxylon,8.79075673845761,7.6467553713581,4.17556971385382,5.69538495499245,4.01852175034138,Acacia melanoxylon,Acacia,Leguminosae,woody,tree,broadleaved,1088.96,24.1,120.0240296,9.205793452,12.9895,0.52918053,0.52918053,0.52918053,3,20,40,16,36,16,0,3,NA
Acalypha virginica,7.33162780569838,6.06638742864519,4.101434573074,5.35712266846719,6.27237576712228,Acalypha virginica,Acalypha,Euphorbiaceae,non-woody,herbaceous non-graminoid,broadleaved,1351.62,24.56692161,34.457,0.91,0.6394,NA,0.221790868,0.221790868,10,4,11,3,14,NA,1,3,NA
Acer campestre,5.0465312707016,4.98177019848305,4.22124343470358,6.80497981151289,5.79099281662,Acer campestre,Acer,Sapindaceae,woody,tree,broadleaved,3146.41,21.33122664,72.14786871,12.21743343,122,0.606907388,0.606907388,0.606907388,32,30,72,103,74,52,0,30,Facultative_AM_NM
