TRY 30 AccSpecies ID,Species name standardized against TPL,Taxonomic level,Status according to TPL,Genus,Family,Phylogenetic Group within angiosperms,Phylogenetic Group General,Adaptation to terrestrial or aquatic habitats,Woodiness,Growth Form,Succulence,Nutrition type (parasitism),Nutrition type (carnivory),Leaf type,Leaf area (mm2),Leaf area (n.o.),Nmass (mg/g),Nmass (n.o.),LMA (g/m2),LMA (n.o.),Plant height (m),Plant height (n.o.),Diaspore mass (mg),Diaspore mass (n.o.),SSD observed (mg/mm3),SSD (n.o.),LDMC (g/g),LDMC (n.o.),SSD imputed (mg/mm3),SSD combined (mg/mm3),Number of traits with values
29,Abies alba,species,accepted,Abies,Pinaceae,non-Angiosperm,Gymnosperm,terrestrial,woody,tree,NA,independent,NA,needleleaved,32.42,13,26.4,174,106.0445387,129,42.07407505,59,62.0067,17,0.498985659,469,NA,NA,NA,0.498985659,6
32,Abies balsamea,species,accepted,Abies,Pinaceae,non-Angiosperm,Gymnosperm,terrestrial,woody,tree,NA,independent,NA,needleleaved,35,NA,14.0810366,219,140.0280084,11,17.97748828,45,6.7106,22,0.419880936,8,NA,NA,NA,0.419880936,6
36,Abies cephalonica,species,accepted,Abies,Pinaceae,non-Angiosperm,Gymnosperm,terrestrial,woody,tree,NA,independent,NA,needleleaved,NA,NA,NA,NA,NA,NA,27.36580419,16,71.43,1,NA,NA,NA,NA,NA,NA,2
39,Abies concolor,species,accepted,Abies,Pinaceae,non-Angiosperm,Gymnosperm,terrestrial,woody,tree,NA,independent,NA,needleleaved,75.99,40,13.00345865,12,208.8553158,69,43.94573342,34,34.7189,30,0.4,26,NA,NA,NA,0.4,6
50,Abies grandis,species,accepted,Abies,Pinaceae,non-Angiosperm,Gymnosperm,terrestrial,woody,tree,NA,independent,NA,needleleaved,180,1,14.6,2,212.7659574,6,54.9171867,50,17.579,22,0.42,4,NA,NA,NA,0.42,6
56,Abies lasiocarpa,species,accepted,Abies,Pinaceae,non-Angiosperm,Gymnosperm,terrestrial,woody,tree,NA,independent,NA,needleleaved,35.04,11,13.43892689,54,276.0069609,45,26.65503063,33,12.6603,34,0.32,30,NA,NA,NA,0.32,6
60,Abies nebrodensis,species,accepted,Abies,Pinaceae,non-Angiosperm,Gymnosperm,terrestrial,woody,tree,NA,independent,NA,needleleaved,NA,NA,NA,NA,NA,NA,15,1,NA,NA,NA,NA,NA,NA,NA,NA,1
61,Abies nephrolepis,species,accepted,Abies,Pinaceae,non-Angiosperm,Gymnosperm,terrestrial,woody,tree,NA,independent,NA,needleleaved,NA,NA,14.1,3,NA,NA,45,5,NA,NA,0.319843712,8,NA,NA,NA,0.319843712,3
62,Abies nordmanniana,species,accepted,Abies,Pinaceae,non-Angiosperm,Gymnosperm,terrestrial,woody,tree,NA,independent,NA,needleleaved,NA,NA,NA,NA,NA,NA,42.48616611,24,72.8662,10,NA,NA,NA,NA,NA,NA,2
66,Abies pinsapo,species,accepted,Abies,Pinaceae,non-Angiosperm,Gymnosperm,terrestrial,woody,tree,NA,independent,NA,needleleaved,NA,NA,NA,NA,NA,NA,25.71760398,15,55.2972,2,0.41,4,NA,NA,NA,0.41,3
71,Abies sibirica,species,accepted,Abies,Pinaceae,non-Angiosperm,Gymnosperm,terrestrial,woody,tree,NA,independent,NA,needleleaved,NA,NA,NA,NA,NA,NA,40,5,10,1,NA,NA,NA,NA,NA,NA,2
75,Abies veitchii,species,accepted,Abies,Pinaceae,non-Angiosperm,Gymnosperm,terrestrial,woody,tree,NA,independent,NA,needleleaved,NA,NA,NA,NA,NA,NA,27.38612788,9,8.8718,8,NA,NA,NA,NA,NA,NA,2
139,Abutilon theophrasti,species,accepted,Abutilon,Malvaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,15964.06,10,39.3,4,41.15677344,11,1.5,7,8.4909,27,NA,NA,0.22091,10,0.21162684,0.21162684,6
188,Acacia baileyana,species,accepted,Acacia,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,7.071067812,2,21.8644,14,NA,NA,NA,NA,NA,NA,2
279,Acacia dealbata,species,accepted,Acacia,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub/tree,NA,independent,NA,broadleaved,NA,NA,23.37026725,15,113.0617752,21,5,15,12.0736,35,0.579784414,8,NA,NA,NA,0.579784414,5
434,Acacia longifolia,species,accepted,Acacia,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,shrub,NA,independent,NA,broadleaved,NA,NA,21.37849387,4,115.6069364,1,6.09,7,14.9061,36,0.51,2,NA,NA,NA,0.51,5
458,Acacia mearnsii,species,accepted,Acacia,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,1.8,NA,26.2960073,3,106.0292513,8,4.387000876,4,14.0075,19,0.624666418,8,NA,NA,NA,0.624666418,6
462,Acacia melanoxylon,species,accepted,Acacia,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,1088.96,3,24.1,20,120.0240296,40,9.205793452,16,12.9895,36,0.52918053,16,NA,NA,NA,0.52918053,6
555,Acacia pycnantha,species,accepted,Acacia,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,9.797958971,7,18.2169,24,NA,NA,NA,NA,NA,NA,2
568,Acacia retinodes,species,accepted,Acacia,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,10,1,12.7928,13,NA,NA,NA,NA,NA,NA,2
273,Acacia saligna,species,accepted,Acacia,Leguminosae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,6,2,16.6855,6,NA,NA,NA,NA,NA,NA,2
688,Acaena novae-zelandiae,species,accepted,Acaena,Rosaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,climber,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,0.128452326,4,1.5731,13,NA,NA,NA,NA,NA,NA,2
707,Acalypha australis,species,accepted,Acalypha,Euphorbiaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,0.99,6,NA,NA,NA,NA,NA,NA,1
750,Acalypha virginica,species,accepted,Acalypha,Euphorbiaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,1351.62,10,24.56692161,4,34.457,11,0.91,3,0.6394,14,NA,NA,0.240307,10,0.221790868,0.221790868,6
783,Acanthus mollis,species,accepted,Acanthus,Acanthaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,non-woody,herbaceous non-graminoid,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,208,7,NA,NA,NA,NA,NA,NA,1
797,Acer campestre,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,3146.41,32,21.33122664,30,72.14786871,72,12.21743343,103,122,74,0.606907388,52,NA,NA,NA,0.606907388,6
799,Acer cappadocicum,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,16.86865331,7,84.2,6,NA,NA,NA,NA,NA,NA,2
831,Acer cappadocicum subsp. lobelii,variety or subspecies,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,NA,NA,broadleaved,NA,NA,NA,NA,NA,NA,30,1,147,6,NA,NA,NA,NA,NA,NA,2
879,Acer caudatum subsp. ukurundense,variety or subspecies,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,4542.29,NA,27.4676173,2,37.3076902,NA,15,1,NA,NA,NA,NA,NA,NA,NA,NA,4
65234,Acer coriaceum,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,NA,NA,broadleaved,NA,NA,NA,NA,NA,NA,NA,NA,20,6,NA,NA,NA,NA,NA,NA,1
819,Acer granatense,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,NA,NA,broadleaved,NA,NA,NA,NA,NA,NA,15,2,39.38,2,NA,NA,NA,NA,NA,NA,2
823,Acer heldreichii,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,NA,NA,NA,NA,NA,NA,15,5,223,6,NA,NA,NA,NA,NA,NA,2
875,Acer heldreichii subsp. trautvetteri,variety or subspecies,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,NA,NA,broadleaved,NA,NA,NA,NA,NA,NA,16,5,89,6,NA,NA,NA,NA,NA,NA,2
839,Acer monspessulanum,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,1232.88,5,19.56226216,13,84.90352466,32,7.665796145,37,26.6805,10,0.899523204,19,NA,NA,NA,0.899523204,6
841,Acer negundo,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,NA,NA,28.3498206,19,44.79586572,82,10.02481866,75,29.7327,48,0.447590254,12,NA,NA,NA,0.447590254,5
848,Acer opalus,species,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,NA,NA,32.7,2,61.88241254,10,9.610677687,30,77,7,0.72600997,61,NA,NA,NA,0.72600997,5
846,Acer opalus subsp. obtusatum,variety or subspecies,accepted,Acer,Sapindaceae,Angiosperm_other_Eudicotyledon,Angiosperm,terrestrial,woody,tree,NA,independent,NA,broadleaved,8005.77,10,17.71,1,43.09110196,11,8.94427191,3,NA,NA,NA,NA,NA,NA,NA,NA,4
