genus,english_vernacular,chinese_vernacular,kimi_label,success,error
Tachyporus,alaska crab-like rove beetle,尖腹隐翅虫; 尖腹隐翅虫属,Beetles,True,
Tagiades,clouded flat; water snow flat; pied flat; common snow flat; snow flats; papuan snow flat; suffused snow flat; ultra snow flat; malayan snow flat; large snow flat; dark-edged snow flat; mascarene clouded flat; straight snow flat; different-spotted snow flat; andaman suffused snow flat; waterstradt snow flat; toba snow flat; dakhan suffused snow flat; white-striped snow flat; bengal suffused snow flat; sylhet water snow flat; andaman water snow flat; himalayan common snow flat,南洋白裙挵蝶; 沾边裙弄蝶; 沾邊裙弄蝶; 滚边裙弄蝶; 滾邊裙弄蝶; 热带裙弄蝶; 熱帶白裙弄蝶; 玉帶裙弄蝶; 白斑裙弄蝶; 白裙弄蝶; 白裙挵蝶; 白边裙弄蝶; 蘭嶼白裙弄蝶; 裙弄蝶; 裙弄蝶属; 裙弄蝶屬; 黑边裙弄蝶; 黑邊裙弄蝶,Butterflies,True,
Telamona,virginia creeper treehopper; sycamore treehopper; basswood treehopper,none,Treehoppers,True,
Thyreus,neon cuckoo bee; chequered cuckoo bee; cloak-and-dagger bees; domino cuckoo bee; himalayan cloak-and-dagger bee; neon cloak-and-dagger bee; blue-spotted cloak-and-dagger bee; domino cloak-and-dagger bee; waroon cloak-and-dagger bee; histrionic cloak-and-dagger bee; black-notched cloak-and-dagger bee; decorated cloak-and-dagger bee; five-striped cloak-and-dagger bee; actor cloak-and-dagger bee; south african neon cuckoo bee; curved cloak-and-dagger bee; hohmann's cloak-and-dagger bee; indomalayan cloak-and-dagger bee; diamond-waisted cloak-and-dagger bee; lilac cloak-and-dagger bee; neon cuckoo bees; spectacular neon cuckoo bee; waroona cuckoo bee,凹盾斑蜂; 喜馬拉雅琉璃紋花蜂; 喜马拉雅琉璃纹花蜂; 波琉璃紋花蜂; 波琉璃纹花蜂; 琉璃紋花蜂屬; 琉璃纹花蜂属; 盾斑蜂属; 高雄琉璃紋花蜂; 點斑琉璃紋花蜂,Bees,True,
Traminda,cross-line wave moth; (asian) cross-lined wave; pinhole emerald; vivid vestal; neptune vestal; eyed vestal,缺口姬尺蛾; 阿決明尺蛾,Moths,True,
Treron,gray-cheeked green pigeon; white-bellied green-pigeon; african green pigeon; yellow-footed green pigeon; african green-pigeon; large green-pigeon; flores green-pigeon; whistling green-pigeon; gray-cheeked pigeon; little green-pigeon; green-spectacled green-pigeon; pemba green-pigeon; yellow-footed pigeon; timor green-pigeon; são tomé green-pigeon; white-bellied pigeon; sumba green-pigeon; bruce's green-pigeon; green-pigeons; buru green-pigeon; philippine green-pigeon; ashy-headed green-pigeon; andaman green-pigeon; gray-fronted green-pigeon; sri lanka green-pigeon; são tomé green pigeon; orange-breasted green-pigeon; pin-tailed green-pigeon; thick-billed green-pigeon; cinnamon-headed green-pigeon; sumatran green-pigeon; yellow-vented green-pigeon; wedge-tailed green-pigeon; pink-necked green-pigeon; grey-fronted green-pigeon; grey-cheeked green-pigeon; príncipe green-pigeon; pin-tailed pigeon; orange-breasted pigeon; thick-billed pigeon; cinnamon-headed pigeon; yellow-vented pigeon; wedge-tailed pigeon; pink-necked pigeon; andaman grey-fronted green pigeon; comoros green-pigeon; madagascar green-pigeon; thick-billed green-pigeon (thick-billed); thick-billed green-pigeon (barusan); gray-cheeked green-pigeon; yellow-footed green-pigeon; sao tome green-pigeon; singing green-pigeon; green pigeons; delalande's green pigeon; green pigeon; parrot fruit-pigeon; kaoko green pigeon; namibian green pigeon; coastal green pigeon; natal green pigeon; chobe green pigeon; eastern african green pigeon; taiwan green pigeon; agpi; bgpi; pgpi; stgp; sri lankan green pigeon; peninsular green pigeon; comoro green-pigeon; gray-bellied green pigeon; yellow-bellied green pigeon; yellow-vented green-pigeon (southern); yellow-vented green-pigeon (northern); sakishima green pigeon; batanes green pigeon,厚嘴綠鳩; 厚嘴绿鸠; 圣多美绿鸠; 大綠鳩; 大绿鸠; 奔巴綠鳩; 奔巴绿鸠; 安达曼绿鸠; 安達曼綠鳩; 小绿鸠; 尖尾綠鳩; 布魯綠鳩; 布鲁绿鸠; 帝汶綠鳩; 帝汶绿鸠; 弗島綠鳩; 弗洛绿鸠; 斯里兰卡绿鸠; 斯里蘭卡綠鳩; 松巴綠鳩; 松巴绿鸠; 棕头绿鸠; 棕頭綠鳩; 楔尾綠鳩; 楔尾绿鸠; 橙胸綠鳩; 橙胸绿鸠; 灰头绿鸠; 灰頰綠鳩; 灰額綠鳩; 灰颊绿鸠; 灰额绿鸠; 白腹針尾綠鳩; 白腹针尾绿鸠; 科摩罗绿鸠; 紅翅綠鳩; 紅頭綠鳩; 紅頭綠鳩(台灣亞種); 紅頸綠鳩; 綠鳩; 綠鳩(指名亞種); 綠鳩屬; 红翅绿鸠; 红翅绿鸠（指名亚种）; 红顶绿鸠; 红顶绿鸠（台湾亚种）; 红顶绿鸠（琉球亚种）; 红颈绿鸠; 绿鸠属; 聖多美綠鳩; 菲律宾绿鸠; 菲律賓綠鳩; 葛摩綠鳩; 蒼頭綠鳩; 針尾綠鳩; 针尾绿鸠; 非洲綠鳩; 非洲绿鸠; 馬島綠鳩; 马岛绿鸠; 黃腳綠鳩; 黃腹綠鳩; 黄脚绿鸠; 黄腹绿鸠; 黄腹针尾绿鸠,Birds,True,
Trialeurodes,bandedwinged whitefly; greenhouse whitefly; phlox whitefly; strawberry whitefly,温室粉虱; 溫室粉蝨; 蜡粉虱属,Flies,True,
Triepeolus,lunate longhorn-cuckoo bee; brittain's cuckoo nomad bee; concave cuckoo nomad bee; dakota cuckoo nomad bee; sunflower cuckoo nomad bee; michigan cuckoo nomad bee; large monarda cuckoo bee; erased cuckoo nomad bee; yellow-breasted cuckoo nomad bee; white-breasted nomad bee; anchor-marked cuckoo nomad bee; red-lipped cuckoo nomad bee; punctate central florida cuckoo bee; neglected cuckoo nomad bee; subalpine cuckoo nomad bee; texas cuckoo nomad bee; great feather-tongue-cuckoo; elise's longhorn-cuckoo; goldenrod longhorn-cuckoo bee; concave longhorn-cuckoo; lunate longhorn-cuckoo; squash longhorn-cuckoo; verbesina longhorn-cuckoo; red-legged longhorn-cuckoo; florida longhorn-cuckoo; thistle longhorn-cuckoo; four-striped longhorn-cuckoo; robust longhorn-cuckoo; obliterated longhorn-cuckoo; variable longhorn-cuckoo; california longhorn-cuckoo; simple longhorn-cuckoo; intrepid longhorn-cuckoo; matilda's longhorn-cuckoo; utah longhorn-cuckoo; osiriform digger-cuckoo; belted longhorn-cuckoo; longhorn-cuckoo bees; two-lined longhorn-cuckoo,none,Bees,True,
Trigonotylus,rice leaf bug,小赤须盲蝽; 小赤鬚盲蝽; 赤须盲蝽; 赤须盲蝽属,Bugs,True,
Trimerotropis,zayante band-winged grasshopper; seaside grasshopper; pallid-winged grasshopper; crackling forest grasshopper; fontana grasshopper; lake huron locust; caerulean-winged grasshopper; alkali grasshopper; lichen grasshopper; gulf dune grasshopper; colorado river blue-wing grasshopper; mcneill's white grasshopper; two-banded grasshopper; strenuous grasshopper; inyo grasshopper; koebele's grasshopper; inyo blue-wing grasshopper; occidental grasshopper; lompoc grasshopper; thalassica grasshopper; topanga grasshopper; santa monica grasshopper; toothed field grasshopper; broad-banded grasshopper; thomas' slender grasshopper; masked grasshopper; great basin grasshopper; barren land grasshopper; crackling locust; inconspicuous grasshopper; black-winged grasshopper; modest grasshopper; blue-winged grasshopper; blue crackler; pine bluffs grasshopper; badlands grasshopper; san bernardino grasshopper; maritime grasshopper; geyser grasshopper; thalassicus grasshopper; rehn's dune grasshopper; seaside locust,带斑蝗属; 灰白带斑蝗,Grasshoppers,True,
Udaspes,grass demon,大白紋弄蝶; 姜弄蝶; 姜弄蝶属; 小星姜弄蝶; 薑弄蝶; 薑弄蝶屬,Butterflies,True,
Vespa,giant hornet; european hornet; japanese giant hornet; asian giant hornet; asian predatory wasp; oriental hornet; japanese yellow hornet; yellow-legged hornet; asian hornet; black shield wasp; greater banded hornet; lesser banded hornet; hornets; hairy yellow hornet; yellow hornet; black-tailed hornet; yellow-vented hornet; black-bellied hornet; black shield hornet; philippine hornet; filipino hornet; bingham's hornet; brown hornet; mandarin hornet; mandarin giant hornet; giant mandarin hornet; giant asian hornet; murder hornet; northern giant hornet; southern giant hornet; warlike hornet,七里胡蜂; 三齿胡蜂; 东方胡蜂; 中国大虎头蜂; 中國大虎頭蜂; 中華大虎頭蜂; 二色胡蜂; 伤胡蜂; 傷胡蜂; 凹纹胡蜂; 双色胡蜂; 变胡蜂; 台湾金环胡蜂; 台灣大虎頭蜂; 基胡蜂; 墨胸胡蜂; 壽胡蜂; 多斑胡蜂; 大紅娘; 大红娘; 大胡蜂; 大褐胡蜂; 大金环胡蜂; 大金箍胡蜂; 大黄腰胡蜂; 姬虎頭蜂; 威氏虎頭蜂; 寿胡蜂; 小型虎頭蜂; 岐异黄脚胡蜂; 异凹纹胡蜂; 战胡蜂; 拟金环胡蜂; 擬大虎頭蜂; 日本大虎頭蜂; 日本金环胡蜂; 日本黄胡蜂; 显胡蜂; 显金环胡蜂; 東方胡蜂; 正虎頭蜂(台語); 烟胡蜂; 熱帶胡蜂; 熱帶虎頭蜂; 笛胡蜂; 胡蜂属; 胡蜂屬; 臺灣大虎頭蜂; 茅胡蜂; 菲律宾胡蜂; 菲律賓胡蜂; 褐胡蜂; 褐黑胡蜂; 變胡蜂; 費邊胡蜂; 近胡蜂; 近胡蜂（指名亞種）; 金环胡蜂; 金環胡蜂; 金箍胡蜂; 阴暗胡蜂; 雙色胡蜂; 雙色虎頭蜂; 雙金環虎頭蜂; 鲁克托胡蜂; 黃紋大胡蜂; 黃腰胡蜂; 黃腰虎頭蜂; 黃腳胡蜂; 黃腳胡蜂 黃腳虎頭蜂; 黃腳虎頭蜂; 黃腳虎頭蜂（中國亞種）; 黃腳虎頭蜂（佛羅倫薩亞種）; 黃腳虎頭蜂（喜馬拉雅亞種）; 黃腳虎頭蜂（岐異亞種）; 黃腳虎頭蜂（指名亞種）; 黃腳虎頭蜂（東帝汶亞種）; 黃腳虎頭蜂（臺灣亞種）; 黃腳虎頭蜂（西里伯斯亞種）; 黄纹大胡蜂; 黄脚胡蜂; 黄腰胡蜂; 黄色胡蜂; 黄跗胡蜂; 黄边胡蜂; 黄金环胡蜂; 黑尾胡蜂; 黑盾胡蜂; 黑胸胡蜂; 黑腹虎頭蜂,Wasps,True,
Xylosandrus,black stem borer; granulate ambrosia beetle; black twig borer,光滑足距小蠹; 小滑材小蠹; 暗翅足距小蠹; 足距小蠹属,Beetles,True,
Xysticus,ground crab spiders; elegant crab spider; three-banded crab spider; emerton's crab spider; montane crab spider; banks' crab spider; double-banded crab-spider; tan crab spider; brotherly ground crab spider; swamp crab spider; geometrical crab spider; social tharpyna; rare ground crab spider; thessalicus-like ground crab spider; common crab spider; thessalian ground crab spider; deadly ground crab spider; punctated ground crab spider; sub-social crab spider; sad ground crab spider,乌氏花蟹蛛; 伪冠花蟹蛛; 冠花蟹蛛; 千岛花蟹蛛; 南西伯利亚花蟹蛛; 岛民花蟹蛛; 朱氏花蟹蛛; 波紋花蟹蛛; 波纹花蟹蛛; 祀花蟹蛛; 膨花蟹蛛; 花蟹蛛属; 花蟹蛛屬; 鞍形花蟹蛛; 高寒花蟹蛛,Spiders,True,
Zelus,milkweed assassin bug; leafhopper assassin bug; four-spurred assassin bug; pale green assassin bug; two-faced assassin,泽猎蝽属,Bugs,True,
Zosteropoda,v-lined quaker moth; v-lined quaker,none,Moths,True,
