TraitID	Trait	AccSpecNum	Reason
42	Plant growth form	233812	Syndrome: form/phenology
38	Plant woodiness	77763	Syndrome: form/phenology
43	Leaf type	61206	Leaf geometry/type
26	Seed dry mass	43227	Regeneration/shade tolerance proxy
22	Photosynthesis pathway	37649	Photosynthesis pathway
3106	Plant height vegetative	35466	Plant height (light environment)
37	Leaf phenology type	29770	Syndrome: form/phenology
3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or exclu	16599	Leaf economics: SLA
343	Plant life form (Raunkiaer life form)	16558	Syndrome: form/phenology
154	Leaf shape	15527	Leaf geometry/type
14	Leaf nitrogen (N) content per leaf dry mass	13621	Leaf nitrogen
4	Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density	12812	Architecture/woodiness proxy
144	Leaf length	11500	Leaf geometry/type
3113	Leaf area (in case of compound leaves: leaflet, undefined if petiole is in- or excluded)	11097	Leaf geometry/type
145	Leaf width	10859	Leaf geometry/type
50	Leaf nitrogen (N) content per leaf area	10067	Leaf nitrogen
47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	9688	Leaf economics: LDMC
3114	Leaf area (in case of compound leaves undefined if leaf or leaflet, undefined if petiole is in- or e	8770	Leaf geometry/type
55	Leaf dry mass (single leaf)	8696	Leaf mass (structure)
15	Leaf phosphorus (P) content per leaf dry mass	8671	Leaf mass (structure)
21	Stem diameter	8426	Architecture/woodiness proxy
3116	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	8245	Leaf economics: SLA
3115	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded	8120	Leaf economics: SLA
7	Mycorrhiza type	8028	Forest affinity proxy
46	Leaf thickness	7773	Leaf thickness
13	Leaf carbon (C) content per leaf dry mass	7509	Leaf mass (structure)
3112	Leaf area (in case of compound leaves: leaf, undefined if petiole in- or excluded)	7467	Leaf geometry/type
