"target","term","estimate"
"L","(Intercept)",7.44109444053298
"L","LES",-0.245179959879764
"L","SIZE",-0.297339658558746
"L","logSSD",-0.164469588118788
"L","logLA",-0.260231898550596
"T","(Intercept)",4.37584104283753
"T","LES",-0.0483868155156235
"T","SIZE",0.372139154520465
"T","logSSD",-0.192032236475015
"T","logLA",-0.0462054221467674
"M","(Intercept)",2.66714887493357
"M","LES",0.0480336560860658
"M","logH",0.826411585149296
"M","logSM",-0.324702117942214
"M","logSSD",-2.16773578922721
"M","logLA",0.278747238573331
"R","(Intercept)",5.08341321468315
"R","LES",0.0853277780024065
"R","SIZE",0.119420789156377
"R","logSSD",-0.865159092868926
"R","logLA",0.176611279284715
"N","(Intercept)",1.70049091772569
"N","LES",0.273519953215043
"N","logH",1.21074011181718
"N","logSM",-0.0623086443586185
"N","logSSD",-2.4788396084756
"N","logLA",0.601089657055998
"N","LES:logSSD",-0.371503731769513
