Myco_Group_Final,mean,median,max,n,variant
Facultative_AM_NM,0.05613281622911694,0.0183,0.3747,419,global
Low_Confidence,0.06688947368421053,0.013049999999999999,0.3293,38,global
Mixed_AM_EM,0.001425,0.001425,0.0026,2,global
Mixed_Uncertain,0.037111111111111116,0.004225,0.4547,36,global
Pure_AM,0.06599189189189189,0.032825,0.2695,74,global
Pure_EM,0.012594285714285714,0.0056,0.0599,35,global
Pure_ERM,0.2813375,0.30815000000000003,0.4572,4,global
Pure_NM,0.0645171875,0.0269,0.37035,224,global
Facultative_AM_NM,0.05669486873508353,0.01555,0.40285,419,by_group
Low_Confidence,0.0705328947368421,0.014075,0.3553,38,by_group
Mixed_AM_EM,0.0,0.0,0.0,2,by_group
Mixed_Uncertain,0.03854305555555556,0.0038,0.4818,36,by_group
Pure_AM,0.06751148648648649,0.036425,0.2577,74,by_group
Pure_EM,0.008675714285714285,0.00225,0.0619,35,by_group
Pure_ERM,0.1814875,0.2019,0.264,4,by_group
Pure_NM,0.06440714285714286,0.03405,0.32615,224,by_group
