A,B,n,rho,pval,qval
L,T,1065,0.18726412505815518,7.337991600766224e-10,1.222998600127704e-9
L,M,1063,-0.11103914020963683,2.8645891812772225e-4,3.182876868085803e-4
L,R,1048,0.15526900274519795,4.3913191511094607e-7,6.273313073013515e-7
L,N,1047,-0.012097724521861556,0.6957991836462285,0.6957991836462285
T,M,1064,-0.31466450911195404,6.960389355989986e-26,3.4801946779949927e-25
T,R,1049,0.3429317891286899,2.564020331509312e-30,2.564020331509312e-29
T,N,1047,0.2557229913718947,4.2868104645882056e-17,1.428936821529402e-16
M,R,1049,-0.23454020739037285,1.4163263908001048e-14,2.8326527816002095e-14
M,N,1046,0.1460650197561243,2.0970558723517205e-6,2.6213198404396505e-6
R,N,1045,0.2380904470560814,6.198501104261209e-15,1.5496252760653022e-14
