fold,n_test,r2,rmse,mae,elapsed_sec
loso::abies_alba,1,NA,2.7340417327445383,2.7340417327445383,4.892524480819702
loso::abies_grandis,1,NA,0.5726216098178574,0.5726216098178574,4.2416181564331055
loso::abies_lasiocarpa,1,NA,0.2950729467745612,0.2950729467745612,4.442775726318359
loso::abutilon_theophrasti,1,NA,1.5365376472020964,1.5365376472020964,4.124286651611328
loso::acacia_mearnsii,1,NA,0.9833681627072695,0.9833681627072695,3.9819157123565674
loso::acer_campestre,1,NA,0.5050109860436027,0.5050109860436027,4.285144567489624
loso::acer_monspessulanum,1,NA,1.5557678381524624,1.5557678381524624,5.150933265686035
loso::acer_rubrum,1,NA,0.745789248362664,0.745789248362664,4.944687843322754
loso::acer_saccharinum,1,NA,1.1400104813746008,1.1400104813746008,4.852831125259399
loso::acer_saccharum,1,NA,1.716038587641116,1.716038587641116,5.604007244110107
loso::achillea_leptophylla,1,NA,1.1285662628153847,1.1285662628153847,6.7842864990234375
loso::achillea_millefolium,1,NA,0.42720663311490537,0.42720663311490537,4.8291003704071045
loso::actaea_spicata,1,NA,3.0470772054033404,3.0470772054033404,6.843372821807861
loso::aegilops_geniculata,1,NA,0.3715972980388038,0.3715972980388038,4.357461452484131
loso::aegopodium_podagraria,1,NA,1.2198117087796856,1.2198117087796856,4.193815469741821
loso::agrimonia_eupatoria,1,NA,0.6569894732474806,0.6569894732474806,4.8852314949035645
loso::agropyron_desertorum,1,NA,0.39757103397928084,0.39757103397928084,4.866647481918335
loso::agrostis_canina,1,NA,0.7431375378732339,0.7431375378732339,4.0971808433532715
loso::agrostis_hyemalis,1,NA,0.5966703097249191,0.5966703097249191,4.607791900634766
loso::agrostis_scabra,1,NA,0.0798829920836539,0.0798829920836539,4.877655029296875
loso::agrostis_stolonifera,1,NA,1.8965257645520373,1.8965257645520373,4.5327064990997314
loso::agrostis_vinealis,1,NA,0.12458173150622898,0.12458173150622898,4.31485390663147
loso::aira_caryophyllea,1,NA,0.29794595910419375,0.29794595910419375,4.920404672622681
loso::alchemilla_glaucescens,1,NA,1.041318210230874,1.041318210230874,4.269273996353149
loso::alchemilla_monticola,1,NA,0.26260706482724494,0.26260706482724494,5.791475772857666
loso::alchemilla_xanthochlora,1,NA,0.1337590445908301,0.1337590445908301,4.641595363616943
loso::alliaria_petiolata,1,NA,1.0124716970189738,1.0124716970189738,4.366639137268066
loso::allium_senescens,1,NA,0.21194006492702222,0.21194006492702222,5.840668439865112
loso::allium_sphaerocephalon,1,NA,0.32355741391946147,0.32355741391946147,4.925677061080933
loso::alnus_cordata,1,NA,1.2111171575519863,1.2111171575519863,5.675339698791504
loso::alnus_glutinosa,1,NA,1.415851176971172,1.415851176971172,4.151350259780884
loso::alnus_incana,1,NA,0.12051062213841224,0.12051062213841224,4.239413022994995
loso::alternanthera_pungens,1,NA,1.577895643755431,1.577895643755431,4.6555070877075195
loso::amaranthus_deflexus,1,NA,1.2813721391909834,1.2813721391909834,5.0902299880981445
loso::amaranthus_hybridus,1,NA,0.9668670235733412,0.9668670235733412,5.451335191726685
loso::ambrosia_artemisiifolia,1,NA,1.025968076168219,1.025968076168219,4.1900646686553955
loso::ambrosia_trifida,1,NA,0.5514455681281216,0.5514455681281216,4.172221660614014
loso::anaphalis_margaritacea,1,NA,0.9654126831737626,0.9654126831737626,4.291893005371094
loso::andromeda_polifolia,1,NA,0.9179950614904442,0.9179950614904442,4.986680746078491
loso::androsace_septentrionalis,1,NA,0.45101600133102693,0.45101600133102693,4.877992153167725
loso::angelica_archangelica,1,NA,0.074734029096493515,0.074734029096493515,5.594066381454468
loso::angelica_sylvestris,1,NA,0.3986255012766726,0.3986255012766726,4.353649377822876
loso::antennaria_dioica,1,NA,0.5146992601017892,0.5146992601017892,5.230797529220581
loso::anthemis_arvensis,1,NA,0.3548759390538221,0.3548759390538221,4.230091094970703
loso::anthemis_cotula,1,NA,0.5894423399082838,0.5894423399082838,4.538284778594971
loso::anthemis_cretica,1,NA,0.2992428406675689,0.2992428406675689,4.836742401123047
loso::anthericum_ramosum,1,NA,0.14310685684509394,0.14310685684509394,4.35542893409729
loso::anthyllis_vulneraria,1,NA,0.22021029230650768,0.22021029230650768,4.12196946144104
loso::aphyllanthes_monspeliensis,1,NA,0.17039840260564176,0.17039840260564176,4.969366788864136
loso::aquilegia_atrata,1,NA,0.23587809500434087,0.23587809500434087,6.371961832046509
loso::arabidopsis_thaliana,1,NA,0.2679294659719442,0.2679294659719442,4.912164211273193
loso::arabis_alpina,1,NA,0.8846942953351746,0.8846942953351746,4.985793828964233
loso::arctium_lappa,1,NA,1.0757891083129731,1.0757891083129731,5.973230600357056
loso::arenaria_aggregata,1,NA,0.11024172647212005,0.11024172647212005,4.787257671356201
loso::arenaria_serpyllifolia,1,NA,0.49384460184389134,0.49384460184389134,4.16715145111084
loso::aristida_adscensionis,1,NA,1.1069797384023445,1.1069797384023445,5.38412880897522
loso::armeria_maritima,1,NA,NA,NA,4.515643358230591
loso::arnica_montana,1,NA,1.7982313110087222,1.7982313110087222,4.741816282272339
loso::arrhenatherum_elatius,1,NA,1.2302119592569571,1.2302119592569571,4.202661037445068
loso::artemisia_dracunculus,1,NA,0.808370829682274,0.808370829682274,5.122607231140137
loso::arum_maculatum,1,NA,3.258083733116846,3.258083733116846,3.7330996990203857
