term,coefficient
(Intercept),0
pc_trait_1,0.7136625279226892
pc_trait_2,0
pc_trait_3,0
pc_trait_4,0
logLA,0.09581505493254283
logSM,-0.8940337946288456
logSSD,1.1283386207407022
logH,0
LES_core,-0.029771697400464273
SIZE,0.7863007897862067
LMA,0
Nmass,-0.011804435432115956
LDMC,0
precip_coldest_q,-0.04773475505530104
precip_mean,-0.01659686484408775
drought_min,0.002110446190225212
ai_roll3_min,0
ai_amp,0.20557940101294797
ai_cv_month,0
precip_seasonality,0.007491992359930869
mat_mean,0.09560562751655471
temp_seasonality,1.443881651393657e-4
lma_precip,2.472535505216644e-4
size_precip,0.015794660067480357
size_temp,-0.009206741350175096
height_temp,0.035632365682056806
les_drought,3.520803662424437e-5
wood_precip,-0.060077542335650366
height_ssd,0.40707697544178856
p_phylo_M,0.47637053292087894
is_woody1,-0.23970730910286467
logSSD:SIZE,-0.21994703957709583
s(precip_coldest_q).1,-1.991274999618612e-7
s(precip_coldest_q).2,6.514825289295597e-9
s(precip_coldest_q).3,-5.262319143731962e-7
s(precip_coldest_q).4,-7.56445507360886e-24
s(drought_min).1,-5.927041437160169e-7
s(drought_min).2,-2.5234627357832396e-7
s(drought_min).3,-1.2529023019807543e-6
s(drought_min).4,2.3954903885906164e-22
s(precip_mean).1,-1.1144091565600615e-7
s(precip_mean).2,3.653742715929066e-7
s(precip_mean).3,-1.6064944887981764e-6
s(precip_mean).4,-5.809114746699286e-22
s(precip_seasonality).1,-3.379665547852043e-8
s(precip_seasonality).2,8.851635112640441e-8
s(precip_seasonality).3,-1.1654423677852846e-6
s(precip_seasonality).4,-0.32829892598269195
s(mat_mean).1,2.8867716816748505e-7
s(mat_mean).2,3.8900076414500894e-7
s(mat_mean).3,-7.951165472189623e-7
s(mat_mean).4,4.8825572980674e-23
s(temp_seasonality).1,2.935327720080014e-8
s(temp_seasonality).2,3.029161865826943e-7
s(temp_seasonality).3,1.2880079503492582e-6
s(temp_seasonality).4,-1.616222367204812e-22
s(ai_roll3_min).1,-2.44313867797687e-8
s(ai_roll3_min).2,-7.831443017800119e-8
s(ai_roll3_min).3,-6.76015783842169e-7
s(ai_roll3_min).4,-0.24081663236628456
s(ai_amp).1,6.40873560652511e-7
s(ai_amp).2,5.642996815460339e-7
s(ai_amp).3,-4.280328638843899e-6
s(ai_amp).4,3.5933454753085196e-22
s(ai_cv_month).1,-1.0400770112027201e-6
s(ai_cv_month).2,1.5562610827159225e-6
s(ai_cv_month).3,-2.754023892540438e-5
s(ai_cv_month).4,-0.2558371043416571
"ti(LES_core,ai_roll3_min).1",-0.032310613728707485
"ti(LES_core,ai_roll3_min).2",-1.0939004783289763
"ti(LES_core,ai_roll3_min).3",-3.974660283972074
"ti(LES_core,ai_roll3_min).4",0.0029946088313946633
"ti(LES_core,ai_roll3_min).5",0.10137754649850941
"ti(LES_core,ai_roll3_min).6",0.3683564510033455
"ti(LES_core,ai_roll3_min).7",-0.007744655902325299
"ti(LES_core,ai_roll3_min).8",-0.26222766425755145
"ti(LES_core,ai_roll3_min).9",-0.9527860082723261
"ti(LES_core,drought_min).1",0.030469393301783252
"ti(LES_core,drought_min).2",0.2076781877853852
"ti(LES_core,drought_min).3",0.44971056000981346
"ti(LES_core,drought_min).4",-0.04760287614768809
"ti(LES_core,drought_min).5",-0.32772349704374415
"ti(LES_core,drought_min).6",-0.7205660023416178
"ti(LES_core,drought_min).7",-0.1452959145477271
"ti(LES_core,drought_min).8",-0.9923215025051594
"ti(LES_core,drought_min).9",-2.154949936030144
"ti(SIZE,precip_mean).1",3.985827741563966e-7
"ti(SIZE,precip_mean).2",-1.1606834652499788e-5
"ti(SIZE,precip_mean).3",-1.4295181970800085e-5
"ti(SIZE,precip_mean).4",-5.076708882375179e-6
"ti(SIZE,precip_mean).5",-1.4656704627548695e-5
"ti(SIZE,precip_mean).6",-2.649664691030739e-5
"ti(SIZE,precip_mean).7",8.481336225000748e-7
"ti(SIZE,precip_mean).8",5.229796305207183e-6
"ti(SIZE,precip_mean).9",1.703729629741571e-5
"ti(LMA,precip_mean).1",1.485049318841713e-6
"ti(LMA,precip_mean).2",2.2057616917546367e-6
"ti(LMA,precip_mean).3",-8.469241368685627e-7
"ti(LMA,precip_mean).4",-2.6997756941311695e-6
"ti(LMA,precip_mean).5",-3.9429683744120706e-6
"ti(LMA,precip_mean).6",1.3788047512231096e-6
"ti(LMA,precip_mean).7",-7.744654058613272e-6
"ti(LMA,precip_mean).8",-2.052390047189585e-5
"ti(LMA,precip_mean).9",1.020307193890776e-5
"ti(SIZE,mat_mean).1",-2.271832938490688e-6
"ti(SIZE,mat_mean).2",-3.4265847608355033e-6
"ti(SIZE,mat_mean).3",2.813843605514741e-6
"ti(SIZE,mat_mean).4",-7.352791954190108e-6
"ti(SIZE,mat_mean).5",-9.496278803235747e-6
"ti(SIZE,mat_mean).6",8.837788385282954e-6
"ti(SIZE,mat_mean).7",-1.6455461593570137e-5
"ti(SIZE,mat_mean).8",-1.7234026168469665e-5
"ti(SIZE,mat_mean).9",2.0671460398785304e-5
"ti(LES_core,temp_seasonality).1",-0.07955594254225509
"ti(LES_core,temp_seasonality).2",-0.5555989224262269
"ti(LES_core,temp_seasonality).3",-1.377793711987076
"ti(LES_core,temp_seasonality).4",0.007376335530659714
"ti(LES_core,temp_seasonality).5",0.05148849040335939
"ti(LES_core,temp_seasonality).6",0.1276888913706824
"ti(LES_core,temp_seasonality).7",-0.01905988352589289
"ti(LES_core,temp_seasonality).8",-0.1331928021570749
"ti(LES_core,temp_seasonality).9",-0.33027733899529704
"ti(logLA,precip_coldest_q).1",0.07083449704878174
"ti(logLA,precip_coldest_q).2",0.08712467831906141
"ti(logLA,precip_coldest_q).3",0.10734350125448466
"ti(logLA,precip_coldest_q).4",0.09054306243929222
"ti(logLA,precip_coldest_q).5",0.111377649659826
"ti(logLA,precip_coldest_q).6",0.13722913214312962
"ti(logLA,precip_coldest_q).7",0.11598939221860263
"ti(logLA,precip_coldest_q).8",0.14267638039205513
"ti(logLA,precip_coldest_q).9",0.1757994032782869
s(Family).1,-0.7505682207896397
s(Family).2,-1.2746597243357858
s(Family).3,-0.3763438100497989
s(Family).4,-0.6003311217572797
s(Family).5,-0.13485144149651998
s(Family).6,0.744123468613372
s(Family).7,0.7446061004798157
s(Family).8,-0.4618008135900221
s(Family).9,0.6399352837435658
s(Family).10,-0.17741185813438493
s(Family).11,0.4008464822287077
s(Family).12,-0.4997941515107913
s(Family).13,-1.02189959516076
s(Family).14,-0.8850309404572574
s(Family).15,-0.6790401251405178
s(Family).16,-0.4805680458413472
s(Family).17,-0.9048907235740105
s(Family).18,0.6301790744815313
s(Family).19,1.8782065588387524
s(Family).20,-0.9213113051595212
s(Family).21,-0.8640947379751529
s(Family).22,-0.25774894579400853
s(Family).23,0.6202294522615205
s(Family).24,-2.611665857058305
s(Family).25,0.13246598093797113
s(Family).26,1.0337127375025983
s(Family).27,-0.43229880055809344
s(Family).28,1.176550633944857
s(Family).29,-0.29684772119826947
s(Family).30,0.699729472857952
s(Family).31,-0.4797235985492336
s(Family).32,0.30462493690235315
s(Family).33,-0.6750870134645736
s(Family).34,-0.7614731468706274
s(Family).35,0.6679913547729723
s(Family).36,2.004106510218067
s(Family).37,-0.3367826046304291
s(Family).38,0.20863929679318444
s(Family).39,0.45365517618479934
s(Family).40,-0.5952815167553382
s(Family).41,-0.4776345837513593
s(Family).42,0.4020275095069084
s(Family).43,-0.9506696816783373
s(Family).44,-0.7505020916854802
s(Family).45,0.7282178789075281
s(Family).46,2.245401119359805
s(Family).47,0.2699549348273155
s(Family).48,-0.658780501175111
s(Family).49,1.9604248629621273
s(Family).50,0.056737119488762186
s(Family).51,2.515691071189137
s(Family).52,-0.1325881422718173
s(Family).53,-0.9742710311364918
s(Family).54,-1.6511556573616353
s(Family).55,0.09795839116293659
s(Family).56,-0.3466256304795039
s(Family).57,-0.8530380655690168
s(Family).58,-0.8124387756831528
s(Family).59,-0.2728325432834701
s(Family).60,-0.32691538007301796
s(Family).61,-0.2393814909386791
s(Family).62,0.28391992021157897
s(Family).63,-0.39688569875529117
s(Family).64,-0.07591088938350388
s(Family).65,1.6100093937817856
s(Family).66,1.8944783985458105
s(Family).67,0.3528004588385081
s(Family).68,-0.07132509151495126
s(Family).69,-0.18384333995649677
s(Family).70,0.0735552994006446
s(Family).71,-0.19541313538379326
s(Family).72,0.007415176727051712
s(Family).73,0.1749483663389618
s(Family).74,-0.08477434752198953
s(Family).75,1.2075733891540683
s(Family).76,0.6612404278513693
s(Family).77,-1.4911219785894116
s(Family).78,-1.3243073718768288
s(Family).79,-0.020562661667902542
s(Family).80,1.1085441135050305
s(Family).81,1.8057643774968595
s(Family).82,-0.16812418166413717
s(Family).83,-0.5661613111311871
s(Family).84,-0.2914953276335488
s(p_phylo_M).1,-4.549488855059362e-18
