term,coefficient
(Intercept),0
pc_trait_1,-0.30161787994356054
pc_trait_2,0
pc_trait_3,0
pc_trait_4,0
logLA,-0.5852892923157951
logSM,-1.105868340137918
logSSD,-2.1821061131562836
logH,0
LES_core,-0.05572373676065725
SIZE,0.6866059333071456
LMA,0
Nmass,0.042386029963287115
LDMC,0
log_ldmc_minus_log_la,-0.46488324212117393
mat_q95,-0.05910770395978219
mat_mean,0.11232324548898201
temp_seasonality,-1.7694866308271353e-4
precip_mean,-0.627845926609962
precip_cv,0
drought_min,0.0067849731111173355
ai_amp,-0.03856519667237544
ai_cv_month,0
ai_roll3_min,0
height_ssd,-0.1864299976674588
les_seasonality,3.6622322823343255e-06
les_drought,1.0262549078704917e-4
les_ai,-0.0019468779304154227
lma_precip,1.7415356377806777e-4
height_temp,-0.03364121258857641
p_phylo_N,0.5017693229563206
is_woody1,-0.22786000665366637
logSSD:SIZE,-0.5235133657826968
s(mat_q95).1,2.940501776527199e-7
s(mat_q95).2,-2.4836153194466067e-7
s(mat_q95).3,-8.354949683157056e-7
s(mat_q95).4,1.5329853783885648e-22
s(mat_mean).1,1.9472378657140965e-7
s(mat_mean).2,-1.6856615264807232e-7
s(mat_mean).3,1.1101189679488705e-6
s(mat_mean).4,-2.0022369475916425e-22
s(temp_seasonality).1,-2.2507740885593803e-6
s(temp_seasonality).2,3.5206549170795773e-6
s(temp_seasonality).3,-3.2493039435206716e-5
s(temp_seasonality).4,3.558451181235811e-21
s(precip_mean).1,-4.441732114346656e-6
s(precip_mean).2,-3.82091849564566e-6
s(precip_mean).3,-2.99611311049561e-5
s(precip_mean).4,1.1197341522063038
s(precip_cv).1,7.133667664185758e-6
s(precip_cv).2,-8.602318008620424e-6
s(precip_cv).3,9.475172598344459e-5
s(precip_cv).4,0.2191018945324142
s(drought_min).1,7.291377926420668e-7
s(drought_min).2,6.632100318618228e-7
s(drought_min).3,4.150967086206308e-6
s(drought_min).4,-6.555963721343953e-22
s(ai_amp).1,-9.122366918184774e-7
s(ai_amp).2,2.845855321592029e-7
s(ai_amp).3,-3.83845663076422e-6
s(ai_amp).4,5.413939332797917e-23
s(ai_cv_month).1,-1.8124215185106376e-7
s(ai_cv_month).2,-2.0750593402049333e-7
s(ai_cv_month).3,-1.352031370419352e-6
s(ai_cv_month).4,0.08686973098711796
s(ai_roll3_min).1,1.0107423091629419e-7
s(ai_roll3_min).2,1.0428062311888132e-6
s(ai_roll3_min).3,-7.140651739894814e-6
s(ai_roll3_min).4,0.08778702075087912
"ti(LES_core,drought_min).1",0.08183925835058839
"ti(LES_core,drought_min).2",0.5484227033340688
"ti(LES_core,drought_min).3",1.2301613092459505
"ti(LES_core,drought_min).4",-0.15704924988527927
"ti(LES_core,drought_min).5",-0.992037372828906
"ti(LES_core,drought_min).6",-1.9595962994566565
"ti(LES_core,drought_min).7",-0.4132782918458546
"ti(LES_core,drought_min).8",-2.7337526245848855
"ti(LES_core,drought_min).9",-5.9762354989485225
"ti(SIZE,precip_mean).1",-0.02196209265697257
"ti(SIZE,precip_mean).2",-0.09247843667028544
"ti(SIZE,precip_mean).3",-0.2049296492572843
"ti(SIZE,precip_mean).4",-0.059471487947516055
"ti(SIZE,precip_mean).5",-0.25040898381154547
"ti(SIZE,precip_mean).6",-0.5549028750726002
"ti(SIZE,precip_mean).7",-0.12492778844048201
"ti(SIZE,precip_mean).8",-0.5260242149071072
"ti(SIZE,precip_mean).9",-1.1656597005630371
s(Family).1,0.031005915987618822
s(Family).2,-0.19814676292537028
s(Family).3,-0.05267790968315683
s(Family).4,-0.09185469481902063
s(Family).5,0.014163407652307204
s(Family).6,-3.2214567213829925e-4
s(Family).7,-0.056658329526129
s(Family).8,-0.1456203439391083
s(Family).9,0.043321141521188156
s(Family).10,-0.032397701139380605
s(Family).11,-0.10155091737871871
