"model","AICc","R2","adj_R2","n_params","delta_AICc","weight"
"gam_cross",2216.06568947375,0.26875493069334,0.26875493069334,15.5350031297321,0,0.999993972208742
"gam_full_phylo_smooth",2240.32548584913,0.269714229060429,0.269714229060429,24.4446070891058,24.2597963753815,5.39572159580627e-06
"full_linear_cross",2244.61641134496,0.290359921005378,0.25493695533177,32,28.5507218712091,6.31374300906758e-07
"gam_ph_phylo_smooth",2260.0095536914,0.230741306226945,0.230741306226945,14.0007580442092,43.9438642176447,2.86885442004555e-10
"gam_ph_phylo",2260.01046117485,0.230738981478896,0.230738981478896,14.0004389547431,43.9447717010999,2.86755299636221e-10
"gam_targeted_phylo",2262.49199609787,0.219792328242455,0.219792328242455,6.90807707308883,46.4263066241128,8.29187967147465e-11
"traits_ph_phylo",2264.03772659011,0.234182702200288,0.221929625435492,11,47.9720371163598,3.82826400082391e-11
"full_linear_phylo",2272.66085423448,0.271945235502977,0.237104330931337,31,56.595164760728,5.13468142097074e-13
"ph_profile_phylo",2281.84811462353,0.209856759857626,0.198496873018518,10,65.7824251497736,5.19427881607355e-15
"gam_full",2286.74786910869,0.219046009576751,0.219046009576751,26.0895463115073,70.6821796349368,4.48287975613713e-16
"gam_ph",2300.11401966313,0.179282813765932,0.179282813765932,13.0003956030614,84.0483301893755,5.61221596597821e-19
"traits_ph",2312.01713799691,0.171472675506502,0.159560940809311,10,95.9514485231589,1.4601755430905e-21
"full_linear",2313.94512632662,0.220413148546112,0.184451975826657,30,97.8794368528629,5.56862180545999e-22
"gam_targeted",2318.60851446613,0.147475151998439,0.147475151998439,6.51324072276069,102.542824992374,5.40886143389063e-23
"pwsem_phylo",2323.63058810965,0.169707247620493,0.164493478374782,5,107.564898635896,4.39113126879873e-24
"ph_percentiles",2339.63774914758,0.123407819650238,0.116450738853811,6,123.572059673823,1.46779554521808e-27
"ph_simple",2340.73828768362,0.119061896638695,0.113477502956532,5,124.672598209866,8.46616364082684e-28
"ph_profile",2341.35593386999,0.129527289537049,0.118420779674683,9,125.290244396241,6.2167942369692e-28
"pwsem_baseline",2394.99804836847,0.069132461908621,0.0647553418235517,4,178.932358894714,1.39742764708503e-39
