term,coefficient
(Intercept),0
logSM,0.2549207748850917
log_ldmc_minus_log_la,0.058217530621660483
logLA,0.32815070759476284
logH,0
logSSD,-1.255243833354999
LES_core,-0.010135386942113571
SIZE,-0.023079393997217902
Nmass,0.005388867592444907
mat_mean,-9.376289013734256e-4
temp_range,2.4945016285662783e-4
drought_min,6.914638988171916e-4
precip_warmest_q,0.03551564677906494
wood_precip,0.08685557134608823
height_temp,-0.045363814353262984
lma_precip,-1.4388346456350453e-4
les_drought,7.691407400491523e-6
p_phylo_R,0.5732657338665654
EIVEres_N,0.09343147244595211
is_woody1,0.4076406915034528
logSSD:SIZE,0.12945409415532713
s(phh2o_5_15cm_mean).1,-3.754947984037978e-6
s(phh2o_5_15cm_mean).2,1.4577067701035427e-7
s(phh2o_5_15cm_mean).3,5.859704900027414e-6
s(phh2o_5_15cm_mean).4,-0.3913254070493162
s(phh2o_5_15cm_p90).1,-4.064775373198669e-6
s(phh2o_5_15cm_p90).2,2.829001506037928e-7
s(phh2o_5_15cm_p90).3,8.300911866575318e-7
s(phh2o_5_15cm_p90).4,0.09586909777812395
s(phh2o_15_30cm_mean).1,5.046050847540108e-6
s(phh2o_15_30cm_mean).2,4.6462173949538293e-7
s(phh2o_15_30cm_mean).3,1.5374278443305887e-5
s(phh2o_15_30cm_mean).4,0.6840698507539155
s(EIVEres_N).1,-0.718421547499763
s(EIVEres_N).2,0.8707151443078218
s(EIVEres_N).3,1.7803255098857753
s(EIVEres_N).4,0.7731755355016157
"ti(ph_rootzone_mean,drought_min).1",-0.022283800270400344
"ti(ph_rootzone_mean,drought_min).2",-0.0873767815764297
"ti(ph_rootzone_mean,drought_min).3",-0.1715164120166549
"ti(ph_rootzone_mean,drought_min).4",-0.0429747800354467
"ti(ph_rootzone_mean,drought_min).5",-0.16850866004066012
"ti(ph_rootzone_mean,drought_min).6",-0.3306030192316341
"ti(ph_rootzone_mean,drought_min).7",-0.0665184446883658
"ti(ph_rootzone_mean,drought_min).8",-0.26085616751404983
"ti(ph_rootzone_mean,drought_min).9",-0.5120169204351588
s(p_phylo_R).1,1.5657298523993985e-18
