"Model","AICc","AIC","R2","n_params","delta_AICc","weight"
"stage1_extended_phylo_gam",1696.03811037927,1693.87653563985,0.570876981226637,22.5096582085549,0,0.951883084285817
"stage1_core_phylo_gam",1702.01666641804,1700.91051112293,0.560848547103137,16.1717805391811,5.97855603877156,0.0479023324429951
"stage1_full_linear_phylo",1713.18206257761,1711.11199888335,0.573218227470576,26,17.143952198342,0.000180227762175803
"traits_stage1_climate_phylo",1716.49749073898,1715.84021374367,0.555414831715733,13,20.4593803597036,3.43467471089828e-05
"stage1_extended_gam",1733.26899122126,1731.4888335954,0.54358414249252,20.5618155487183,37.230880841985,7.83430645917539e-09
"stage1_core_gam",1737.54181403035,1736.57291004005,0.535401881705353,15.0083458559097,41.5037036510782,9.25057805537359e-10
"traits_stage1_climate",1750.36295264716,1749.79420264716,0.530289212531156,12,54.3248422678901,1.5208766615588e-12
"stage1_full_linear",1751.16587504413,1749.25808490104,0.546199232392934,25,55.1277646648562,1.01798554757225e-12
"traits_phylo",2088.25941519853,2088.08604058553,0.197500212193457,6,392.221304819258,6.43886656564027e-86
"traits_only",2156.0404349187,2155.91060493415,0.107080010443849,5,460.002324539422,1.23125499129141e-100
