fold,n_test,r2,rmse,mae,elapsed_sec
loso::abies_alba,1,NA,0.5384272529966774,0.5384272529966774,0.3105030059814453
loso::abies_grandis,1,NA,0.760239703164435,0.760239703164435,0.29253363609313965
loso::abies_lasiocarpa,1,NA,0.09864074968943282,0.09864074968943282,0.4242887496948242
loso::abutilon_theophrasti,1,NA,2.1035146008098575,2.1035146008098575,0.2977790832519531
loso::acacia_mearnsii,1,NA,2.2569537896884517,2.2569537896884517,0.29517555236816406
loso::acer_campestre,1,NA,0.17620667746164376,0.17620667746164376,0.3190805912017822
loso::acer_monspessulanum,1,NA,0.662217526683083,0.662217526683083,0.29534411430358887
loso::acer_rubrum,1,NA,1.4527065158429346,1.4527065158429346,0.28955674171447754
loso::acer_saccharinum,1,NA,0.05448391139552733,0.05448391139552733,0.288557767868042
loso::acer_saccharum,1,NA,0.28184537899606177,0.28184537899606177,0.30173301696777344
loso::achillea_leptophylla,1,NA,0.2853028828087476,0.2853028828087476,0.29422593116760254
loso::achillea_millefolium,1,NA,0.6449579227395774,0.6449579227395774,0.29433178901672363
loso::actaea_spicata,1,NA,0.29564346447941015,0.29564346447941015,0.30147790908813477
loso::aegilops_geniculata,1,NA,0.9889160519987863,0.9889160519987863,0.3007216453552246
loso::aegopodium_podagraria,1,NA,0.4016628459319138,0.4016628459319138,0.2944908142089844
loso::agrimonia_eupatoria,1,NA,0.5403482664573582,0.5403482664573582,0.30214571952819824
loso::agropyron_cristatum,1,NA,1.4132271354619155,1.4132271354619155,0.2967188358306885
loso::agropyron_desertorum,1,NA,0.3338017297515572,0.3338017297515572,0.2963097095489502
loso::agrostis_canina,1,NA,0.38854061685815333,0.38854061685815333,0.2904057502746582
loso::agrostis_hyemalis,1,NA,1.8223162025456858,1.8223162025456858,0.31639981269836426
loso::agrostis_scabra,1,NA,0.9168965240448936,0.9168965240448936,0.30368828773498535
loso::agrostis_stolonifera,1,NA,0.23522057811454822,0.23522057811454822,0.2910497188568115
loso::agrostis_vinealis,1,NA,1.2175544364282085,1.2175544364282085,0.4261748790740967
loso::aira_caryophyllea,1,NA,0.22389712230133085,0.22389712230133085,0.2965085506439209
loso::alchemilla_glaucescens,1,NA,0.6687126160841848,0.6687126160841848,0.29527711868286133
loso::alchemilla_monticola,1,NA,0.6823746453167834,0.6823746453167834,0.3038947582244873
loso::alchemilla_xanthochlora,1,NA,0.727877747389944,0.727877747389944,0.2922055721282959
loso::alliaria_petiolata,1,NA,0.015543903111031376,0.015543903111031376,0.2985575199127197
loso::allium_senescens,1,NA,1.566773913532876,1.566773913532876,0.300321102142334
loso::allium_sphaerocephalon,1,NA,0.5287042800698059,0.5287042800698059,0.3310732841491699
loso::alnus_cordata,1,NA,0.22294371758199194,0.22294371758199194,0.2910923957824707
loso::alnus_glutinosa,1,NA,0.12158609243819996,0.12158609243819996,0.3011174201965332
loso::alnus_incana,1,NA,1.5068212826478686,1.5068212826478686,0.36342287063598633
loso::alternanthera_pungens,1,NA,0.13468169136584063,0.13468169136584063,0.2944607734680176
loso::amaranthus_deflexus,1,NA,1.4506572501706536,1.4506572501706536,0.2985105514526367
loso::amaranthus_hybridus,1,NA,0.29507183402764525,0.29507183402764525,0.3040177822113037
loso::ambrosia_artemisiifolia,1,NA,0.23185212286623624,0.23185212286623624,0.29058408737182617
loso::ambrosia_trifida,1,NA,0.5907331625776422,0.5907331625776422,0.2954127788543701
loso::anaphalis_margaritacea,1,NA,1.5816413316974804,1.5816413316974804,0.33315491676330566
loso::andromeda_polifolia,1,NA,0.7504368397228132,0.7504368397228132,0.29708361625671387
loso::androsace_septentrionalis,1,NA,0.9132415083773715,0.9132415083773715,0.3067798614501953
loso::angelica_archangelica,1,NA,0.570180279021633,0.570180279021633,0.2961421012878418
loso::angelica_sylvestris,1,NA,0.5667930971414652,0.5667930971414652,0.3037590980529785
loso::antennaria_dioica,1,NA,1.458227675187194,1.458227675187194,0.3074314594268799
loso::anthemis_arvensis,1,NA,1.1265422619937908,1.1265422619937908,0.3069272041320801
loso::anthemis_cotula,1,NA,0.2585002784595085,0.2585002784595085,0.3043794631958008
loso::anthemis_cretica,1,NA,0.18517201724233434,0.18517201724233434,0.2925264835357666
loso::anthericum_ramosum,1,NA,0.0460186476224953,0.0460186476224953,0.289874792098999
loso::anthyllis_vulneraria,1,NA,0.14524679696789455,0.14524679696789455,0.3000354766845703
loso::aphyllanthes_monspeliensis,1,NA,1.0958030229260727,1.0958030229260727,0.2929344177246094
loso::aquilegia_atrata,1,NA,0.28472700584950594,0.28472700584950594,0.29601526260375977
loso::arabidopsis_thaliana,1,NA,1.2428055246856493,1.2428055246856493,0.2792015075683594
loso::arabis_alpina,1,NA,1.0418666978022602,1.0418666978022602,0.328352689743042
loso::arctium_lappa,1,NA,0.09410599354296334,0.09410599354296334,0.29300880432128906
loso::arenaria_aggregata,1,NA,2.0419275811213637,2.0419275811213637,0.4063689708709717
loso::arenaria_serpyllifolia,1,NA,0.36189428143035407,0.36189428143035407,0.29358673095703125
loso::aristida_adscensionis,1,NA,2.0552687381379666,2.0552687381379666,0.40683889389038086
loso::armeria_maritima,1,NA,0.5789266656674221,0.5789266656674221,0.3114805221557617
loso::arnica_montana,1,NA,0.21887955067868647,0.21887955067868647,0.2955772876739502
loso::arrhenatherum_elatius,1,NA,0.3123458403274837,0.3123458403274837,0.29538416862487793
loso::artemisia_dracunculus,1,NA,0.9352167410931118,0.9352167410931118,0.29231858253479004
loso::arum_maculatum,1,NA,0.11248345046868025,0.11248345046868025,0.3062312602996826
loso::aruncus_dioicus,1,NA,0.045478229030796236,0.045478229030796236,0.2911646366119385
loso::asclepias_syriaca,1,NA,0.33985278904074345,0.33985278904074345,0.2934718132019043
loso::aster_alpinus,1,NA,1.297564793911666,1.297564793911666,0.3600754737854004
loso::aster_amellus,1,NA,0.3159312573436406,0.3159312573436406,0.2925302982330322
loso::astragalus_alpinus,1,NA,1.0129257072748898,1.0129257072748898,0.2996671199798584
loso::avena_barbata,1,NA,1.4844186606110341,1.4844186606110341,0.36586642265319824
loso::avena_fatua,1,NA,0.3877101117914954,0.3877101117914954,0.2929544448852539
loso::bartsia_alpina,1,NA,0.05292465392662349,0.05292465392662349,0.3565382957458496
loso::bassia_prostrata,1,NA,0.4964502928438055,0.4964502928438055,0.3017456531524658
loso::bassia_scoparia,1,NA,0.0848068039282488,0.0848068039282488,0.2951946258544922
loso::berberis_vulgaris,1,NA,0.3476403647127384,0.3476403647127384,0.29080963134765625
loso::berteroa_incana,1,NA,0.17911240532363681,0.17911240532363681,0.2894856929779053
loso::berula_erecta,1,NA,1.5581968160647088,1.5581968160647088,0.2983815670013428
loso::betula_alleghaniensis,1,NA,0.3393971417935475,0.3393971417935475,0.2981529235839844
loso::betula_pubescens,1,NA,1.592308251687347,1.592308251687347,0.3756086826324463
loso::bidens_frondosa,1,NA,0.21800156708739582,0.21800156708739582,0.3029510974884033
loso::bidens_tripartita,1,NA,0.6725876608623054,0.6725876608623054,0.31096363067626953
loso::blackstonia_perfoliata,1,NA,0.9977223650357416,0.9977223650357416,0.3157217502593994
loso::blysmus_compressus,1,NA,1.5685287220384216,1.5685287220384216,0.35356807708740234
loso::brachypodium_pinnatum,1,NA,0.10417078422939063,0.10417078422939063,0.29232192039489746
