Feature,Gain,Cover,Frequency,trait
try_seed_mass,0.905355300336945,0.486738388249059,0.215364247888937,seed_mass_mg
p_phylo_T,0.0861618855692,0.0125732885076029,0.0927078860741377,seed_mass_mg
p_phylo_L,0.00768753499480336,0.0105991747567444,0.0264419636467726,seed_mass_mg
p_phylo_N,0.000199829181754519,0.0139241829865276,0.0306283097180478,seed_mass_mg
p_phylo_R,0.000133486288798311,0.0119457255235182,0.0180334907685702,seed_mass_mg
wc2_1_30s_bio_3_q50,9.45271302540312e-05,0.00787577065985848,0.0075855159582081,seed_mass_mg
p_phylo_M,6.85947835799971e-05,0.00829793811223718,0.0245098039215686,seed_mass_mg
try_logNmass,6.44158390569424e-05,0.00848182192662457,0.0187848862172606,seed_mass_mg
wc2_1_30s_bio_11_q50,5.13840203801429e-05,0.00195218834666836,0.00511664519822528,seed_mass_mg
wc2_1_30s_bio_14_q50,4.42298408999154e-05,0.00186376277788252,0.00497352225561758,seed_mass_mg
logSM,3.10567814314045e-05,0.00746828909141849,0.00533132961213683,seed_mass_mg
wc2_1_30s_srad_05_q50,2.10976130709028e-05,0.00237114972579283,0.00465149563475025,seed_mass_mg
wc2_1_30s_bio_10_q50,2.05832943629355e-05,0.00516105398727437,0.0137040217546873,seed_mass_mg
wc2_1_30s_bio_13_q50,1.85204277829663e-05,0.00238262953647731,0.00661943609560613,seed_mass_mg
wc2_1_30s_bio_19_q50,1.30070838312513e-05,0.00432240727700028,0.0083011306712466,seed_mass_mg
CSDI_q50,6.31433347478384e-06,0.00230278797027536,0.00626162873908688,seed_mass_mg
try_leaf_typeneedleleaved,6.08107063154379e-06,0.000240248650630991,0.00225418634607128,seed_mass_mg
wc2_1_30s_bio_1_q50,4.97522337385973e-06,0.00233412475079244,0.0106268784886217,seed_mass_mg
wc2_1_30s_srad_08_q50,4.67737028373053e-06,0.00544463633769632,0.0037211965078002,seed_mass_mg
wc2_1_30s_bio_12_q50,2.19198143573472e-06,0.00402734511589386,0.008587376556462,seed_mass_mg
wc2_1_30s_bio_7_q50,1.83605580073576e-06,0.00260508965163325,0.00379275797910405,seed_mass_mg
