wfo_taxon_id,wfo_scientific_name,leaf_area_mm2,nmass_mg_g,ldmc_frac,lma_g_m2,plant_height_m,seed_mass_mg,try_woodiness,try_growth_form,try_habitat_adaptation,try_leaf_type,p_phylo_T,p_phylo_M,p_phylo_L,p_phylo_N,p_phylo_R,wc2_1_30s_bio_1_q50,wc2_1_30s_bio_10_q50,wc2_1_30s_bio_11_q50,wc2_1_30s_bio_12_q50,wc2_1_30s_bio_13_q50,wc2_1_30s_bio_14_q50,wc2_1_30s_bio_15_q50,wc2_1_30s_bio_16_q50,wc2_1_30s_bio_18_q50,wc2_1_30s_bio_19_q50,wc2_1_30s_bio_2_q50,wc2_1_30s_bio_3_q50,wc2_1_30s_bio_4_q50,wc2_1_30s_bio_5_q50,wc2_1_30s_bio_6_q50,wc2_1_30s_bio_7_q50,wc2_1_30s_bio_8_q50,wc2_1_30s_bio_9_q50,wc2_1_30s_elev_q50,wc2_1_30s_srad_01_q50,wc2_1_30s_srad_02_q50,wc2_1_30s_srad_03_q50,wc2_1_30s_srad_04_q50,wc2_1_30s_srad_05_q50,wc2_1_30s_srad_06_q50,wc2_1_30s_srad_07_q50,wc2_1_30s_srad_08_q50,wc2_1_30s_srad_09_q50,wc2_1_30s_srad_10_q50,wc2_1_30s_srad_11_q50,wc2_1_30s_srad_12_q50,wc2_1_30s_vapr_01_q50,wc2_1_30s_vapr_02_q50,wc2_1_30s_vapr_03_q50,wc2_1_30s_vapr_04_q50,wc2_1_30s_vapr_05_q50,wc2_1_30s_vapr_06_q50,wc2_1_30s_vapr_07_q50,wc2_1_30s_vapr_08_q50,wc2_1_30s_vapr_09_q50,wc2_1_30s_vapr_10_q50,wc2_1_30s_vapr_11_q50,wc2_1_30s_vapr_12_q50,phh2o_0_5cm_q50,phh2o_5_15cm_q50,phh2o_15_30cm_q50,phh2o_30_60cm_q50,phh2o_60_100cm_q50,phh2o_100_200cm_q50,soc_0_5cm_q50,soc_5_15cm_q50,soc_15_30cm_q50,soc_30_60cm_q50,soc_60_100cm_q50,soc_100_200cm_q50,clay_0_5cm_q50,clay_5_15cm_q50,clay_15_30cm_q50,clay_30_60cm_q50,clay_60_100cm_q50,clay_100_200cm_q50,sand_0_5cm_q50,sand_5_15cm_q50,sand_15_30cm_q50,sand_30_60cm_q50,sand_60_100cm_q50,sand_100_200cm_q50,cec_0_5cm_q50,cec_5_15cm_q50,cec_15_30cm_q50,cec_30_60cm_q50,cec_60_100cm_q50,cec_100_200cm_q50,nitrogen_0_5cm_q50,nitrogen_5_15cm_q50,nitrogen_15_30cm_q50,nitrogen_30_60cm_q50,nitrogen_60_100cm_q50,nitrogen_100_200cm_q50,bdod_0_5cm_q50,bdod_5_15cm_q50,bdod_15_30cm_q50,bdod_30_60cm_q50,bdod_60_100cm_q50,bdod_100_200cm_q50,BEDD_q50,BEDD_1_q50,CDD_q50,CDD_1_q50,CFD_q50,CFD_1_q50,CSDI_q50,CSDI_1_q50,CSU_q50,CSU_1_q50,CWD_q50,CWD_1_q50,DTR_q50,DTR_1_q50,FD_q50,FD_1_q50,GSL_q50,GSL_1_q50,ID_1_q50,R10mm_q50,R10mm_1_q50,R20mm_q50,R20mm_1_q50,RR_q50,RR_1_q50,RR1_q50,RR1_1_q50,SDII_q50,SDII_1_q50,SU_q50,SU_1_q50,TG_q50,TG_1_q50,TN_q50,TN_1_q50,TNn_q50,TNn_1_q50,TNx_q50,TNx_1_q50,TR_q50,TR_1_q50,TX_q50,TX_1_q50,TXn_q50,TXn_1_q50,TXx_q50,TXx_1_q50,WSDI_q50,WSDI_1_q50,WW_q50,WW_1_q50,leaf_area_n,try_logNmass,try_ldmc,aust_ldmc,try_lma,try_sla,sla_mm2_mg,try_seed_mass,aust_seed_mass,try_height,aust_height,try_logLA,logLDMC,logSLA,logSM,logH,logLA,logNmass,phylo_depth,phylo_terminal,genus_code,family_code,phylo_proxy_fallback
wfo-0000510976,Abies alba,32.42,26.4,0.609898029405962,106.0445387,42.07407505,62.0067,woody,tree,terrestrial,needleleaved,3.50173557099262,4.41306547170893,6.06567066421769,4.96686379204068,3.87919467683134,7.566666603088379,15.950000762939451,-0.75,963,120,48,31.00018882751465,334,303,181,8.733333587646484,32.55735397338867,684.324462890625,22,-5,26.799999237060547,14.783332824707031,0.2833333313465118,679,3907,6747,10420,14674,18333,19774,19563,17006,12582,8096,4302,3108,0.4399999976158142,0.449999988079071,0.550000011920929,0.6899999976158142,0.9700000286102296,1.2200000286102295,1.350000023841858,1.3600000143051147,1.1200000047683716,0.8500000238418579,0.6100000143051147,0.4900000095367431,5.5,5.6,5.6,5.7,5.9,6.1,85.45,52.3,32,18.1,13.2,11.8,23.8,24.1,25,25.5,25.6,25.6,33.8,33.7,33.5,33.5,34,34.7,29.1,22.2,19.9,18.2,17.1,16.6,7.82,3.66,2.5,1.7,1.37,1.22,1.02,1.14,1.22,1.37,1.46,1.48,51.44194221496582,54.46263885498047,10.226890563964844,10.042016983032228,13.277311325073242,12.411765098571776,2.747899055480957,1.2521008253097534,2.218487501144409,2.747899055480957,9.176470756530762,8.924369812011719,8.34272289276123,8.450358390808105,3.3842592239379883,3.271296262741089,224.36666870117188,226.933334350586,0.8476851880550385,0.6861110925674438,0.7546296119689941,0.0898148119449615,0.0824074074625969,28.521936416625977,28.847576141357425,4.956944465637207,4.937036991119385,5.726804256439209,5.799173355102539,0.696064829826355,0.7840277552604675,280.86236572265625,281.22930908203125,276.7372589111328,276.9732971191406,272.7561340332031,272.8969421386719,280.7273864746094,281.1528625488281,0,0.001851851819083,285.1893920898437,285.6053161621094,280.6290283203125,281.0438842773437,289.4601135253906,289.881591796875,0.9495798349380492,1.823529362678528,2.7352941036224365,3.226890802383423,13,3.2733640101522705,0.558764542,0.39122,106.0445387,9.430000000556367,9.430000000556367,62.0067,35.96,42.07407505,30,3.4787755163075302,-0.4944635006966496,2.243896096704366,4.127242443722672,3.73943175647219,3.4787755163075302,3.2733640101522705,1.0000000000000002,2.5709143885508e-4,3,232,FALSE
wfo-0000511004,Abies balsamea,35,14.0810366,0.343719697741781,140.0280084,17.97748828,6.7106,woody,tree,terrestrial,needleleaved,3.24559240537286,4.17502540509197,6.95747838911879,5.05386290759125,3.7793875777331,5.358333110809326,17.266666412353516,-7.633333206176758,1044,109,66,16.80008602142334,308,284,225,10.658332824707031,27.138288497924805,1011.6859130859376,24.5,-14.399999618530272,39.70000076293945,14.483333587646484,-5.199999809265137,261,5096,8322,12127,16050,18495,20471,20263,17739.5,13226.5,8261,4746,3924,0.2599999904632568,0.270000010728836,0.3700000047683716,0.5600000023841858,0.8600000143051147,1.2799999713897705,1.590000033378601,1.5800000429153442,1.2300000190734863,0.7799999713897705,0.5299999713897705,0.3300000131130218,4.9,5.1,5.2,5.5,5.6,5.8,87.8,49.4,26.75,14.8,9.3,8.4,14.5,14.8,14.9,14.7,14.9,15.1,47.5,47.5,48.4,49.5,50.1,50.2,31.3,19.2,15.9,12.2,10.5,9.6,7.53,3.4,2.04,1.44,1.1,1.03,1.05,1.19,1.27,1.5,1.63,1.65,45.46550369262695,49.04415893554688,9.36974811553955,9.697479248046877,29.36134529113769,28.058822631835938,1.2773109674453735,0.3949579894542694,3.882352828979492,4.361344337463379,6.579832077026367,6.5714287757873535,11.116621017456056,10.919147491455078,4.872222423553467,4.655555725097656,185.13333129882807,195.7333374023437,1.9435185194015503,0.9074074029922484,0.9444444179534912,0.2231481522321701,0.2703703641891479,30.136032104492188,30.911725997924805,4.4666666984558105,4.436110973358154,6.8515496253967285,7.086586952209473,1.0689815282821655,1.1495370864868164,277.71923828125,278.55828857421875,272.7326965332031,273.7644958496094,267.1944580078125,268.2544860839844,278.65789794921875,279.4784240722656,0.0055555556900799,0.0074074072763323,283.84619140625,284.6156921386719,277.97589111328125,278.8275146484375,290.1048278808594,290.7391662597656,0.5210084319114685,0.7899159789085388,3.386554718017578,3.915966272354126,29,2.644828970179009,0.343731,0.36759,140.0280084,7.1414284286857,7.1414284286857,6.7106,12,17.97748828,20,3.5553480614894135,-1.0679287859108837,1.9659128163821655,1.9036883657639132,2.889120324068281,3.5553480614894135,2.644828970179009,1.0000000000000002,8.56971462850287e-5,3,232,FALSE
wfo-0000511077,Abies concolor,75.99,13.00345865,0.0559257246955503,208.8553158,43.94573342,34.7189,woody,tree,terrestrial,needleleaved,3.7337424447047,4.29830679314783,5.40885143606681,4.96972368788511,3.88844082487412,8.024999618530273,16.5,0.2999999523162842,708,124,10,68.5365104675293,333,80,296,13.97083330154419,43.77815246582031,657.19488525390625,25.89999961853028,-6.199999809265137,31.600000381469727,2.950000047683716,14,2126,9610,12478,17461.5,21720.5,24888,27154,25811,23302,19987,15480,10875,8874,0.3199999928474426,0.3400000035762787,0.3799999952316284,0.4099999964237213,0.5099999904632568,0.6299999952316284,0.7799999713897705,0.7699999809265137,0.6499999761581421,0.4900000095367431,0.3700000047683716,0.3199999928474426,6.2,6.2,6.2,6.2,6.3,6.4,67.3,33.7,19.3,11.4,6.3,4.5,15.3,15.8,16.8,18,17.9,18.1,53.4,53.2,52.7,52.3,52.1,52.4,22,19.8,18.5,17.5,16.1,15.8,4.65,1.98,1.34,0.92,0.72,0.64,1.12,1.22,1.28,1.42,1.48,1.5,66.8328628540039,70.73783874511719,31.168067932128903,32.369747161865234,12.915966033935549,12.51260471343994,1.470588207244873,0.8403361439704895,15.20168113708496,17.73109245300293,4.823529243469238,4.588235378265381,16.453310012817383,16.76763153076172,3.974074125289917,3.7981481552124015,265.9666748046875,270.79998779296875,0.0351851843297481,0.4018518626689911,0.4083333313465118,0.1444444507360458,0.1435185223817825,13.956311225891112,13.241663932800291,1.9657407999038696,1.872222185134888,8.450507164001465,8.211018562316895,2.200463056564331,2.52013897895813,283.54693603515625,284.01885986328125,275.7640380859375,276.0054931640625,271.0086364746094,271.0631408691406,280.6708068847656,280.903564453125,9.259259095415e-4,0.004629629664123,292.1921081542969,293.01373291015625,287.60479736328125,288.3443298339844,296.0478820800781,296.9000244140625,2.0084033012390137,2.680672168731689,0.924369752407074,0.9663865566253662,40,2.5652153720765116,0.055267351,0.277777778,208.8553158,4.788003581185364,4.788003581185364,34.7189,35.96,43.94573342,30,4.330601752681694,-2.883730813343004,1.5661135356456064,3.5472842072626136,3.782955541375577,4.330601752681694,2.5652153720765116,1,1.7139429257005e-4,3,232,FALSE
wfo-0000511178,Abies grandis,180,14.6,0.218258837357181,212.7659574,54.9171867,17.579,woody,tree,terrestrial,needleleaved,3.32025493453366,4.29830679314783,6.60689858045317,5.01407187153779,3.88844082487412,2.1624999046325684,10.866666793823242,-6.2833333015441895,853,107,40,33.122833251953125,299,170,260,10.866666793823242,35.188262939453125,728.96978759765625,19.200000762939453,-11.800000190734863,32,-2.5999999046325684,9.5,1804,4055,7207,11495,16089,19369,21037,22589,19523,14365,8325,4188,3140,0.2599999904632568,0.270000010728836,0.3199999928474426,0.3899999856948852,0.5099999904632568,0.6700000166893005,0.7799999713897705,0.7599999904632568,0.6100000143051147,0.4600000083446502,0.3400000035762787,0.2599999904632568,5.6,5.7,5.7,5.8,5.9,6,76.1,48.2,29.6,20.3,14.4,13.6,13.2,13.2,13.1,12.35,12.1,12.1,44.7,45.4,46.9,50.5,53,54.3,26.7,22.7,20.5,18.5,17.1,16.5,6.525,3.08,2.315,1.74,1.37,1.26,0.93,0.98,1.04,1.3,1.43,1.47,30.23201370239257,33.473854064941406,14.92436981201172,14.983193397521973,28.5210075378418,26.638654708862305,1.4369747638702393,0.9159663915634156,1.890756249427796,2.831932783126831,9.310924530029297,8.932772636413574,10.64613914489746,10.839547157287598,5.580555438995361,5.458333492279053,164.3333282470703,168,1.690740704536438,0.3064814805984497,0.3111111223697662,0.025925925001502,0.025925925001502,19.8403434753418,19.6815185546875,4.497222423553467,4.446296215057373,5.011537075042725,4.990333557128906,0.5201388597488403,0.6520833373069763,276.49224853515625,276.88800048828125,271.3941650390625,271.7338256835937,265.5278015136719,266.20025634765625,276.8271484375,277.12945556640625,0,0,282.9103698730469,283.50494384765625,277.7761535644531,277.83551025390625,287.9390563964844,288.0560913085937,1.4621849060058594,1.9327731132507324,3.773109197616577,4.008403301239014,1,2.681021528714291,0.21977261,0.332,212.7659574,4.700000001034001,4.700000001034001,17.579,23.0006,54.9171867,22.5,5.19295685089021,-1.522073593182173,1.547562508936013,2.866705007817754,4.005826354168913,5.19295685089021,2.681021528714291,1,8.56971462850287e-5,3,232,FALSE
wfo-0000511232,Abies lasiocarpa,35.04,13.43892689,0.224957450012507,276.0069609,26.65503063,12.6603,non-woody,tree,terrestrial,needleleaved,3.4599395499831,4.93673437471259,4.97027891959703,5.05386290759125,3.7793875777331,5.066666603088379,12.600000381469728,-1.2666666507720947,1890,299,48,54.74129486083984,829,189,723,8.833333015441895,36.12957000732422,577.5841064453125,19.89999961853028,-4.850000143051148,25.599998474121097,-0.2999999821186065,12.333333015441896,1146,3653,6680,10361.5,14981,18463,20176,21622,18649,13457.5,7558,3891,2841,0.4099999964237213,0.4199999868869781,0.4600000083446502,0.5299999713897705,0.6600000262260437,0.8199999928474426,0.949999988079071,0.949999988079071,0.8100000023841858,0.6499999761581421,0.5099999904632568,0.4099999964237213,5,5.1,5.2,5.4,5.4,5.5,83.4,62.7,40.9,30.9,23,20,13.6,13.3,13.2,12.8,12.8,13.1,44.8,45,46.7,48.6,50.7,51.9,30.9,27.2,23.7,20.6,18.9,18.4,7.69,3.66,2.49,1.89,1.51,1.38,0.87,0.91,0.95,1.08,1.21,1.26,40.68738555908203,43.01328659057617,13.882352828979492,13.571428298950195,12.352941513061523,11.016806602478027,1.5042016506195068,1.3445378541946411,2.445378065109253,3.24369740486145,14.63025188446045,14.084033966064451,9.179521560668944,9.3913116455078125,3.794444561004639,3.67037034034729,214.86666870117188,223.433334350586,0.3638888895511627,1.7148147821426392,1.7379629611968994,0.5657407641410828,0.5833333134651184,51.2900390625,50.01740264892578,5.271296501159668,5.261111259460449,8.902324676513672,9.250102996826172,0.6000000238418579,0.7259259223937988,280.1325378417969,280.4024353027344,275.2025756835937,275.412841796875,270.77935791015625,270.94696044921875,279.70654296875,279.99169921875,0,0,285.18463134765625,285.4945983886719,281.5290832519531,281.89312744140625,288.9748840332031,289.5096130371094,1.5798319578170776,2.2689075469970703,4.386554718017578,5.184874057769775,11,2.5981554874132144,0.225029,0.39122,276.0069609,3.623097028927142,3.623097028927142,12.6603,26.1,26.65503063,30,3.5564902660681907,-1.4918440057169915,1.2873291929308484,2.5384711131177324,3.2829778994018075,3.5564902660681907,2.5981554874132144,1.0000000000000002,1.7139429257005e-4,1163,206,FALSE
wfo-0000512325,Abutilon theophrasti,15964.06,39.3,0.22091,41.15677344,1.5,8.4909,non-woody,herbaceous non-graminoid,terrestrial,broadleaved,4.53315335248289,4.27114885126434,7.07802557676838,5.25165855228606,6.41088849015712,10.037500381469728,21.733333587646484,-2.2333333492279053,931,106,43,23.783302307128903,302,289,165,11.258333206176758,29.559335708618164,966.7082214355468,28.89999961853028,-8.300000190734863,37.09999847412109,19.96666717529297,-1.3333332538604736,205,5629,8869,12563,16199,19183,21271,21331,18451,14768,10072,6063.5,4709,0.3600000143051147,0.3899999856948852,0.5299999713897705,0.75,1.1299999952316284,1.6100000143051147,1.909999966621399,1.8799999952316284,1.4299999475479126,0.9399999976158142,0.6499999761581421,0.4399999976158142,6.2,6.2,6.2,6.2,6.5,6.8,50.5,23.5,14.1,8.4,5.1,4.2,25.5,25.8,28.2,30.4,30.5,28.5,28.2,27.75,27.5,27,28.6,31.9,25.1,18.6,17.4,17.1,16,13.4,5.695,2.23,1.54,1.08,0.94,0.78,1.32,1.45,1.5,1.58,1.63,1.65,73.3237533569336,76.44141387939453,11.277311325073242,11.672268867492676,14.36134433746338,13.243697166442873,1.1008403301239014,0.5210084319114685,11.252100944519045,12.042016983032228,6.344537734985352,6.352941036224365,11.197534561157228,11.103686332702637,3.530555486679077,3.400000095367432,229.8000030517578,238.7333374023437,0.8870370388031006,0.8888888955116272,0.9166666865348816,0.2064814865589141,0.2259259223937988,29.113983154296875,29.33491325378418,3.9648149013519287,3.930555582046509,7.284641265869141,7.515875339508057,1.967592597007752,2.080324172973633,282.5030822753906,283.0899963378906,277.9656677246094,278.6056823730469,272.3905334472656,273.1538391113281,283.6398010253906,284.12371826171875,0.3157407343387604,0.3814814686775207,288.7183532714844,289.2509155273437,282.82000732421875,283.4741516113281,294.5272216796875,295.1354675292969,1.2436975240707395,1.5714285373687744,3.02521014213562,3.621848821640015,10,3.6712245188752153,0.22091,0.221544715,41.15677344,24.2973371432491,24.2973371432491,8.4909,23.0006,1.5,1,9.678095224618088,-1.5099999002280435,3.1903667617595515,2.1389950017720416,0.4054651081081644,9.678095224618088,3.6712245188752153,1,8.56971462850287e-5,6,178,FALSE
wfo-0000210768,Acacia longifolia,38073.557708614,21.37849387,0.142074657495324,115.6069364,6.09,14.9061,woody,shrub,terrestrial,broadleaved,5.33401173381238,4.34480813094536,7.46356913669651,4.48279946996821,6.08816887215636,14.731250286102297,19.16666603088379,10.166666984558104,985,130.5,44,28.0195894241333,358.5,210.5,254.5,9.149999618530272,46.68839645385742,377.94044494628906,25.299999237060547,5.599999904632568,19.59999942779541,13.416666507720947,17.375,137.5,25050,21834,17694.5,13102,9432.5,7611,8219,11260,15682,20394,23153.5,24924.5,1.4950000047683716,1.5199999809265137,1.409999966621399,1.2400000095367432,1.1200000047683716,1,0.9300000071525574,0.9200000166893004,1.0099999904632568,1.100000023841858,1.2300000190734863,1.3450000286102295,5.4,5.4,5.4,5.5,5.6,5.6,70,47.7,27.4,19.2,15.8,15.1,16,18.4,23.6,30.2,31.6,30.4,4.9,63.7,58.1,50.6,49.5,51.5,24.4,27.9,21.3,21.5,21.2,20.8,2.89,2.08,1.24,0.85,1.68,0.5,1.03,1.08,1.15,1.24,1.29,1.31,102.36434936523438,104.63661193847656,16.79831886291504,16.226890563964844,0.1092436984181404,0.084033615887165,0.2773109376430511,0.1512605100870132,4.882352828979492,5.470588207244873,6.1008405685424805,6.201680660247803,9.68991756439209,9.711764335632324,0.0138888889923691,0.0101851848885416,365.26666259765625,365.23333740234375,0,0.7953703999519348,0.8083333373069763,0.2490740716457367,0.2935185134410858,26.79410171508789,27.864561080932617,3.1666667461395264,3.157407522201538,7.884075164794922,8.280983924865723,1.9060184955596924,2.0310184955596924,288.2425537109375,288.4725341796875,283.7411499023437,283.9963684082031,280.4532165527344,280.5908508300781,287.6502380371094,287.8827209472656,0.2175925970077514,0.2120370417833328,293.43115234375,293.7079162597656,289.32379150390625,289.56011962890625,298.302978515625,298.4676513671875,0.6890756487846375,0.756302535533905,1.378151297569275,1.8991596698760984,10,3.0623854573717955,0.141810375,0.184,115.6069364,8.650000001211,8.650000001211,14.9061,26.1,6.09,7.5,10.644829481945742,-1.9514026025333449,2.157559321083788,2.7017705251449016,1.8066480817218056,10.54727529677311,3.0623854573717955,1.0000000000000002,8.56971462850287e-5,7,164,FALSE
wfo-0000204086,Acacia melanoxylon,1088.96,24.1,0.422573061287106,120.0240296,9.205793452,12.9895,woody,tree,terrestrial,broadleaved,5.48774049871174,4.58387780120379,7.62714610086249,4.1970109985198,5.97901985010527,14.283333778381348,18.86666679382324,9.899999618530272,851,115,28,45.23380661010742,321,135,288,9.591667175292969,47.54386138916016,369.81646728515625,25,5.400000095367432,19.89999961853028,11.18333339691162,18.38333320617676,188,24325,21586,16870,14560,10407,8865,9492,12145,16044,18260,21922.5,24046,1.2899999618530271,1.309999942779541,1.2300000190734863,1.1200000047683716,1.1100000143051147,1.0199999809265137,0.959999978542328,0.959999978542328,1.0299999713897705,1.1100000143051147,1.1399999856948853,1.190000057220459,5.8,5.8,5.8,5.9,6,6,76.1,47,32.8,23.2,20.3,19.5,19.1,20.7,24.4,28.4,29.4,29.3,46.2,53.55,51.4,46.9,46.3,47.1,24.3,21.6,20.2,20.1,19.8,19.5,3.8,2.44,1.59,1.18,0.94,0.74,1.08,1.13,1.19,1.27,1.31,1.34,93.48193359375,96.71849822998048,16.554622650146484,15.991596221923828,0.2689075767993927,0.1974789947271347,0.5630252361297607,0.2016806751489639,4.4033613204956055,4.966386318206787,6.058823585510254,6.058823585510254,9.548681259155272,9.69249153137207,0.0453703701496124,0.0277777779847383,365.26666259765625,365.23333740234375,0,0.7953703999519348,0.8379629850387573,0.1583333313465118,0.1916666626930236,26.694573402404785,26.724992752075195,3.336111068725586,3.45462965965271,7.507753849029541,7.756444931030273,1.6847221851348877,1.7800925970077517,287.3213195800781,287.6532897949219,282.89129638671875,283.1303100585937,279.8135986328125,280.0295715332031,286.6844177246094,286.9565734863281,0.0462962947785854,0.0620370358228683,292.4327697753906,292.7164001464844,289.2999572753906,289.6063232421875,296.8998107910156,297.1405029296875,0.5042017102241516,0.6386554837226868,1.8571428060531616,2.2857143878936768,3,3.1822118404966093,0.42,0.422573061287106,120.0240296,8.331664945200274,8.331664945200274,12.9895,13.48,9.205793452,30,6.9929783913125405,-0.8613929210115794,2.120063309580112,2.5641413387946685,2.219833008906117,6.9929783913125405,3.1822118404966093,1.0000000000000002,8.56971462850287e-5,7,164,FALSE
wfo-0000514040,Acer campestre,3146.41,21.33122664,0.0690045352276555,72.14786871,12.21743343,122,woody,tree,terrestrial,broadleaved,4.56565547454263,4.54871524073558,5.20417358188787,5.32956333016359,6.32938191959303,9.670833587646484,17.700000762939453,2.283333301544189,724,83,41,22.515783309936523,229,193,164,8.158332824707031,32.78845977783203,653.96502685546875,23.700000762939453,-1.2999999523162842,25.700000762939453,13.550000190734863,5.099999904632568,146,2971,5631,9501,14127,18245,19603,19261,16571,11590,6845,3423,2268,0.5699999928474426,0.5699999928474426,0.6700000166893005,0.7900000214576721,1.0499999523162842,1.2999999523162842,1.4700000286102295,1.4500000476837158,1.25,1.0099999904632568,0.75,0.6299999952316284,6.1,6.2,6.2,6.3,6.4,6.6,68.9,34.2,22.4,13.3,9.1,7.9,25.5,26.2,27.3,28.6,28.8,28.8,30.6,30,30.2,29.7,29.9,30.8,28.5,21.4,19.3,18.2,17.6,17,6.38,2.69,2.14,1.68,1.42,1.25,1.15,1.25,1.32,1.42,1.47,1.5,58.4548225402832,60.02633285522461,12.235294342041016,11.453781127929688,7.798319339752197,7.4285712242126465,2.378151178359986,1.193277359008789,3.0084033012390137,3.3109242916107178,8.352941513061523,8.193277359008789,8.142756462097168,8.177982330322266,2.1870369911193848,2.157407522201538,263,266.6333312988281,0.4212962985038757,0.3259259164333343,0.3620370328426361,0.016666667535901,0.0194444451481103,22.57494735717773,22.7101993560791,4.559259414672852,4.587037086486816,4.790135383605957,4.907201290130615,0.8921296000480652,0.9444444179534912,282.5215148925781,282.64178466796875,278.7071533203125,278.8710021972656,275.1796569824219,275.3166198730469,282.4127197265625,282.64678955078125,0.0037037036381661,0.0092592593282461,286.6238708496094,286.7890930175781,282.6841735839844,282.92047119140625,290.364013671875,290.6966247558594,1.4033613204956057,1.4453781843185425,3.2689075469970703,3.689075708389282,32,3.0601720385653364,0.060557784,0.182608696,72.14786871,13.860423292883713,13.860423292883713,122,31.5,12.21743343,20,8.054017399347993,-2.673583048607828,2.6290375339075025,4.804021044733257,2.502863901405769,8.054017399347993,3.0601720385653364,1,8.56971462850287e-5,18,270,FALSE
wfo-0000514593,Acer monspessulanum,1232.88,19.56226216,0.0988303980291439,84.90352466,7.665796145,26.6805,woody,tree,terrestrial,broadleaved,5.45197065172271,3.92955989975217,5.69927616209654,5.45851284346369,7.15672007066669,12.25,20.39999961853028,4.916666507720947,708,88,28,30.90472221374512,228,122,184,9.69166660308838,35.955711364746094,643.9296875,27.700000762939453,0.4000000059604645,26.89999961853028,10.050000190734863,19.5,567,6242,9219,13384,17521,20955,23625,24625,21543,16166,11031,7039,5316,0.6299999952316284,0.6399999856948853,0.7099999785423279,0.8199999928474426,1.0800000429153442,1.2999999523162842,1.4700000286102295,1.4800000190734863,1.2999999523162842,1.0700000524520874,0.8100000023841858,0.6899999976158142,7,7.1,7.1,7.1,7,7,60.45,27.6,20.1,12.2,8.4,6.6,25.9,25.7,28,30,30.2,30.1,32.8,32.8,32,30.8,31.1,31.6,26,21.9,21,20.5,19.9,19.3,4.78,2.05,1.6,1.17,0.89,0.75,1.23,1.31,1.36,1.45,1.51,1.52,78.54502868652344,83.14180755615234,14.722688674926758,16.19327735900879,4.504201889038086,4.4033613204956055,1.1764706373214722,0.6974790096282959,6.647058963775635,8.806722640991211,8.302520751953125,8.36974811553955,9.602120399475098,9.891469955444336,1.4527777433395386,1.375925898551941,326.5333251953125,326.6333312988281,0.0388888902962207,0.595370352268219,0.5314815044403076,0.0851851850748062,0.0851851850748062,22.53187370300293,21.51997947692871,4.125,4.1046295166015625,6.401478290557861,6.328795909881592,1.497685194015503,1.7550926208496094,285.1293640136719,285.59912109375,280.5201721191406,280.8661804199219,276.5364990234375,276.84912109375,284.1006164550781,284.56085205078125,0.0324074067175388,0.0833333358168602,289.9398803710937,290.4866638183594,285.8978271484375,286.41180419921875,293.6067199707031,294.4053039550781,0.8823529481887817,1.7815126180648804,2.1764705181121826,2.6302521228790283,5,2.973602310271192,0.098648483,0.176360225,84.90352466,11.778074043504615,11.778074043504615,26.6805,21.3894,7.665796145,15,7.1171081748271225,-2.314350049189993,2.466239671096659,3.2839329615015047,2.0367683745098226,7.1171081748271225,2.973602310271192,1,8.56971462850287e-5,18,270,FALSE
