Feature,Gain,Cover,Frequency,trait
try_ldmc,0.996647720304916,0.654734223667958,0.377692842251564,ldmc_frac
p_phylo_R,0.000673244348997519,0.00627687618631081,0.0180681028492008,ldmc_frac
p_phylo_N,0.000471692138277066,0.0124427025761844,0.0375260597637248,ldmc_frac
wc2_1_30s_bio_16_q50,0.000326347026931687,0.000770514741433362,0.00486448922863099,ldmc_frac
WSDI_1_q50,0.000254844987237282,0.0040832155920748,0.00590687977762335,ldmc_frac
CDD_q50,0.00023497280017148,0.000153761256605327,0.00173731758165393,ldmc_frac
CWD_1_q50,0.000132525439479372,0.000104215962810277,0.00104239054899236,ldmc_frac
wc2_1_30s_elev_q50,0.000119433906729901,0.00699442871713567,0.0121612230715775,ldmc_frac
wc2_1_30s_vapr_05_q50,6.80523956534989e-05,0.000977238208647191,0.00625434329395414,ldmc_frac
genus_code,6.73561957918765e-05,0.00648530811193136,0.00972897845726199,ldmc_frac
soc_30_60cm_q50,6.70629935064038e-05,0.0018365927872303,0.00486448922863099,ldmc_frac
bdod_5_15cm_q50,5.13245680213139e-05,0.00129671993070493,0.00208478109798471,ldmc_frac
sand_0_5cm_q50,5.0301995665968e-05,0.00139581051829503,0.00799166087560806,ldmc_frac
phh2o_0_5cm_q50,4.90630247208214e-05,0.00866530103891356,0.00660180681028492,ldmc_frac
CSDI_q50,4.43426425047542e-05,0.00214240684203423,0.00486448922863099,ldmc_frac
try_height,4.23346896812015e-05,0.00406100563278737,0.00625434329395414,ldmc_frac
family_code,4.0753838579398e-05,0.00234742185084133,0.00764419735927728,ldmc_frac
p_phylo_T,3.8756415294768e-05,0.00487764875120233,0.0382209867963864,ldmc_frac
wc2_1_30s_bio_2_q50,3.83730680565095e-05,0.00147098268819096,0.00555941626129256,ldmc_frac
phh2o_15_30cm_q50,3.07578375877014e-05,0.0231632790783892,0.00833912439193885,ldmc_frac
cec_30_60cm_q50,2.94514574274375e-05,0.000519371355644661,0.00416956219596942,ldmc_frac
p_phylo_L,2.77822446244469e-05,0.00922225847950619,0.0152883947185546,ldmc_frac
R10mm_q50,2.56672419686559e-05,0.000107632879623729,0.000694927032661571,ldmc_frac
aust_height,2.53311696233447e-05,0.00353821736032925,0.00764419735927728,ldmc_frac
soc_0_5cm_q50,2.3577946656388e-05,0.00294367383478866,0.00521195274496178,ldmc_frac
cec_100_200cm_q50,2.02890458940789e-05,0.00634008914735966,0.00382209867963864,ldmc_frac
wc2_1_30s_bio_13_q50,1.93684069657382e-05,0.000194764258366748,0.00208478109798471,ldmc_frac
wc2_1_30s_bio_7_q50,1.81168553102015e-05,0.00211165459071316,0.00521195274496178,ldmc_frac
try_lma,1.79315887210488e-05,0.0177867604724229,0.019457956914524,ldmc_frac
cec_0_5cm_q50,1.78531904700298e-05,0.00263785977998473,0.00277970813064628,ldmc_frac
nitrogen_0_5cm_q50,1.72614145378473e-05,0.00177850520140162,0.00590687977762335,ldmc_frac
aust_seed_mass,1.6949924560697e-05,0.00780082108511027,0.0121612230715775,ldmc_frac
try_logLA,1.47053552802682e-05,0.00410371709295551,0.0128561501042391,ldmc_frac
cec_60_100cm_q50,1.45964833048374e-05,0.001433396603243,0.00521195274496178,ldmc_frac
leaf_area_n,1.43714867919408e-05,0.00716869147462171,0.0135510771369006,ldmc_frac
try_logNmass,1.42748368599792e-05,0.00252510152514082,0.00903405142460042,ldmc_frac
clay_0_5cm_q50,1.37913178398732e-05,0.00298296837814335,0.00590687977762335,ldmc_frac
wc2_1_30s_vapr_06_q50,1.2804884417774e-05,0.000608211192794406,0.00451702571230021,ldmc_frac
wc2_1_30s_bio_12_q50,1.10724857386705e-05,0.00101311583518843,0.00729673384294649,ldmc_frac
try_growth_formfern,8.46694989180432e-06,0.0016982076562855,0.0111188325225851,ldmc_frac
wc2_1_30s_bio_4_q50,8.20992615138681e-06,0.00204844162966431,0.00833912439193885,ldmc_frac
wc2_1_30s_bio_14_q50,8.09314981961697e-06,0.00151198568995239,0.00347463516330785,ldmc_frac
try_growth_formshrub/tree,7.83656252930802e-06,0.000213557300840732,0.0024322446143155,ldmc_frac
BEDD_1_q50,7.69747394611361e-06,0.000365610099039334,0.0024322446143155,ldmc_frac
clay_15_30cm_q50,7.4058316456824e-06,0.00031777326365101,0.00173731758165393,ldmc_frac
bdod_100_200cm_q50,7.10422949615661e-06,0.000339983222938446,0.00138985406532314,ldmc_frac
wc2_1_30s_srad_04_q50,6.73722320924001e-06,0.00161620165276266,0.00486448922863099,ldmc_frac
DTR_1_q50,6.37291124551835e-06,0.00407467330004117,0.00660180681028492,ldmc_frac
cec_15_30cm_q50,6.13936218305216e-06,0.00402683646465285,0.00625434329395414,ldmc_frac
wc2_1_30s_srad_05_q50,5.17839015115591e-06,0.000859354578583107,0.00451702571230021,ldmc_frac
clay_5_15cm_q50,4.86081652042963e-06,0.0028411663303851,0.00382209867963864,ldmc_frac
wc2_1_30s_srad_03_q50,4.75677466488843e-06,0.00226370738891176,0.00451702571230021,ldmc_frac
