Feature,Gain,Cover,Frequency,trait
try_logLA,0.560643860904071,0.279369712897453,0.101535805488616,leaf_area_mm2
p_phylo_N,0.152216001757455,0.0161161854016174,0.0435564507427256,leaf_area_mm2
p_phylo_R,0.0794409021219842,0.0173359451063238,0.0224076538503039,leaf_area_mm2
CSDI_q50,0.0729012458312861,0.011822488814483,0.0118692227457469,leaf_area_mm2
sand_15_30cm_q50,0.0665181604764121,0.0062726518232381,0.00438801568176096,leaf_area_mm2
clay_0_5cm_q50,0.0175754032450979,0.0042777510039912,0.00571880732295076,leaf_area_mm2
wc2_1_30s_bio_14_q50,0.0132286018549347,0.00436103958390388,0.00553897061468187,leaf_area_mm2
try_growth_formtree,0.0119943439204061,3.15815433126159e-05,0.00136675898284358,leaf_area_mm2
try_woodinessnon-woody,0.0108737091343822,0.000224941090358975,0.0150343488112794,leaf_area_mm2
cec_30_60cm_q50,0.006305503346325,0.0285387235390401,0.0106463331295184,leaf_area_mm2
p_phylo_M,0.00363861438794404,0.0107703899500098,0.0544905226054742,leaf_area_mm2
try_habitat_adaptationterrestrial,0.00222058100375385,0.000179581324718797,0.00913570478005971,leaf_area_mm2
wc2_1_30s_srad_07_q50,0.00168905409454762,0.00652840039947556,0.00525123188145164,leaf_area_mm2
wc2_1_30s_bio_10_q50,0.000657396562154921,0.00396998576818002,0.0125526022371687,leaf_area_mm2
wc2_1_30s_vapr_06_q50,4.98791714212879e-05,0.00363141304649035,0.00471172175664497,leaf_area_mm2
p_phylo_L,1.31863176127063e-05,0.0141702050122077,0.0255008452325289,leaf_area_mm2
p_phylo_T,9.72081322247309e-06,0.0186312528166015,0.0920763946336726,leaf_area_mm2
TXx_q50,4.40742921997097e-06,0.00174782168627174,0.00172643239938136,leaf_area_mm2
nitrogen_0_5cm_q50,4.01011212208403e-06,0.00455517318838437,0.00586267668956587,leaf_area_mm2
try_height,2.18937484669941e-06,0.0111925608745858,0.0132719490702442,leaf_area_mm2
wc2_1_30s_vapr_09_q50,1.5443424550905e-06,0.00382291485569479,0.00251771391576449,leaf_area_mm2
phh2o_0_5cm_q50,1.50096555679351e-06,0.00286215476844923,0.00255368125741826,leaf_area_mm2
wc2_1_30s_bio_3_q50,1.25615804574495e-06,0.00400899826286031,0.00539510124806676,leaf_area_mm2
sand_100_200cm_q50,1.04873150756715e-06,0.0047034825927642,0.00309319138222494,leaf_area_mm2
wc2_1_30s_srad_04_q50,9.99151455259023e-07,0.00293305842941579,0.00327302809049383,leaf_area_mm2
wc2_1_30s_bio_6_q50,9.83503752273144e-07,0.00388251727812302,0.0029852893572636,leaf_area_mm2
nitrogen_100_200cm_q50,9.1118965305038e-07,0.0021167374593794,0.00205013847426537,leaf_area_mm2
try_seed_mass,6.45027903551202e-07,0.0126946967312638,0.0135237204618207,leaf_area_mm2
TR_q50,5.51359266673971e-07,0.00194845737319894,0.00187030176599648,leaf_area_mm2
try_lma,4.11965699384601e-07,0.0102907839638212,0.0123727655288998,leaf_area_mm2
try_logNmass,3.74769365208257e-07,0.00998023212124712,0.0148185447613567,leaf_area_mm2
wc2_1_30s_bio_8_q50,3.45960343210828e-07,0.00557383277170306,0.0084882926302917,leaf_area_mm2
wc2_1_30s_bio_9_q50,2.71756083521033e-07,0.00466694708187314,0.00445995036506852,leaf_area_mm2
aust_seed_mass,2.63892677279429e-07,0.0133198255150694,0.00773297845556235,leaf_area_mm2
BEDD_q50,2.45886051158338e-07,0.00114142509237214,0.00194223644930403,leaf_area_mm2
TR_1_q50,1.97808914737368e-07,0.00238394208564202,0.00190626910765025,leaf_area_mm2
wc2_1_30s_bio_2_q50,1.347323902277e-07,0.00410250440090354,0.00834442326367658,leaf_area_mm2
leaf_area_n,1.21875907576276e-07,0.0154037429392416,0.0134877531201669,leaf_area_mm2
CSU_1_q50,1.16738495230329e-07,0.00499948215557657,0.00208610581591915,leaf_area_mm2
wc2_1_30s_bio_11_q50,1.10247192953667e-07,0.00349657224146443,0.00507139517318275,leaf_area_mm2
sand_0_5cm_q50,7.71495101650423e-08,0.0060347065679857,0.00593461137287343,leaf_area_mm2
try_growth_formherbaceous graminoid,7.22461949095304e-08,0.000778082532790234,0.0123008308455922,leaf_area_mm2
wc2_1_30s_bio_7_q50,5.65091085142014e-08,0.00339501590610621,0.00338093011545517,leaf_area_mm2
wc2_1_30s_bio_4_q50,5.19115870711279e-08,0.0049378671838196,0.00629428478941122,leaf_area_mm2
clay_30_60cm_q50,5.09968984684419e-08,0.0033931581682643,0.00366866884868539,leaf_area_mm2
wc2_1_30s_bio_13_q50,5.0734141389446e-08,0.00410142072049576,0.00654605618098766,leaf_area_mm2
wc2_1_30s_elev_q50,4.56491383374706e-08,0.00973005675853542,0.0167967485523145,leaf_area_mm2
R20mm_q50,3.98578870433045e-08,0.005449828770755,0.00388447289860806,leaf_area_mm2
bdod_5_15cm_q50,3.51870045568248e-08,0.00189179636902043,0.0013307916411898,leaf_area_mm2
WSDI_1_q50,3.32167995804398e-08,0.0100310102889262,0.0074812070639859,leaf_area_mm2
soc_0_5cm_q50,2.95922666097754e-08,0.00418424486594796,0.00514332985649031,leaf_area_mm2
WW_1_q50,2.78624812751319e-08,0.00607340943969233,0.00438801568176096,leaf_area_mm2
genus_code,2.69137021340493e-08,0.013767385523485,0.0156817609610474,leaf_area_mm2
RR1_1_q50,2.65336365764932e-08,0.00278273647570721,0.0029852893572636,leaf_area_mm2
wc2_1_30s_srad_05_q50,2.63541479283103e-08,0.00497951147377594,0.00456785239002985,leaf_area_mm2
wc2_1_30s_bio_1_q50,2.3893648826855e-08,0.00198034853948521,0.0101427903463655,leaf_area_mm2
clay_100_200cm_q50,2.38620342002981e-08,0.00490117686144171,0.00345286479876272,leaf_area_mm2
sand_5_15cm_q50,2.36988072812373e-08,0.00434896428793141,0.00345286479876272,leaf_area_mm2
wc2_1_30s_bio_19_q50,2.2669839638949e-08,0.00550710902088082,0.00722943567240945,leaf_area_mm2
cec_15_30cm_q50,2.23912528063861e-08,0.00631568941657588,0.00561090529798943,leaf_area_mm2
try_ldmc,2.13086098638456e-08,0.0173630371165184,0.0131640470452829,leaf_area_mm2
wc2_1_30s_vapr_07_q50,2.1197663207097e-08,0.00175711037548133,0.00187030176599648,leaf_area_mm2
BEDD_1_q50,1.99066846254079e-08,0.00128787675891006,0.0013307916411898,leaf_area_mm2
phh2o_30_60cm_q50,1.46182809277468e-08,0.00202725641999366,0.00151062834945869,leaf_area_mm2
cec_100_200cm_q50,1.41957368389266e-08,0.00794043597082051,0.00424414631514585,leaf_area_mm2
aust_height,1.34831922257659e-08,0.00528278717646915,0.00654605618098766,leaf_area_mm2
sand_30_60cm_q50,1.28959270686704e-08,0.00500753235289155,0.00388447289860806,leaf_area_mm2
bdod_100_200cm_q50,1.2294429158545e-08,0.00204196351124218,0.00161853037442003,leaf_area_mm2
try_habitat_adaptationsemiaquatic,1.21255687920393e-08,0.0068470024393646,0.00194223644930403,leaf_area_mm2
wc2_1_30s_bio_15_q50,1.19688981772911e-08,0.00672346287287701,0.00989101895478905,leaf_area_mm2
bdod_30_60cm_q50,1.14537654578022e-08,0.00112904017342602,0.00158256303276625,leaf_area_mm2
wc2_1_30s_srad_11_q50,9.69729300996854e-09,0.00518324339043968,0.00276948530734093,leaf_area_mm2
clay_15_30cm_q50,9.22246959384809e-09,0.00279868205885035,0.00294932201560983,leaf_area_mm2
bdod_0_5cm_q50,9.19866231769197e-09,0.00127022824941183,0.00179836708268892,leaf_area_mm2
bdod_15_30cm_q50,8.00870243508024e-09,0.00121186431887822,0.00129482429953602,leaf_area_mm2
RR_q50,7.79351970287956e-09,0.00246459887027866,0.00230190986584182,leaf_area_mm2
wc2_1_30s_srad_08_q50,7.55698363357984e-09,0.00381378097797203,0.00327302809049383,leaf_area_mm2
try_woodinesswoody,7.5373605362313e-09,3.74643798120248e-05,0.000467575441499119,leaf_area_mm2
