Feature,Gain,Cover,Frequency,trait
try_sla,0.612657112549066,0.130210456283218,0.0448713642775576,lma_g_m2
try_lma,0.246097090890157,0.0600208557991717,0.0463491636998724,lma_g_m2
sla_mm2_mg,0.13110145186834,0.0362355899530654,0.0120910861825754,lma_g_m2
wc2_1_30s_bio_15_q50,0.00503374540010302,0.00999633771295437,0.0120910861825754,lma_g_m2
try_leaf_typescale-shaped,0.00273460481294869,0.00297447396818057,0.00853093302881709,lma_g_m2
soc_30_60cm_q50,0.000982514318302892,0.00167543280501788,0.00275408074158662,lma_g_m2
try_woodinessnon-woody,0.000481287276040458,0.000297265915794983,0.0133001948008329,lma_g_m2
p_phylo_T,0.000357147497603088,0.0179143547496669,0.0634782024585209,lma_g_m2
p_phylo_M,0.000291056407818266,0.0164153214990768,0.0382884395781554,lma_g_m2
wc2_1_30s_bio_3_q50,4.40416283262768e-05,0.00460126985901465,0.00819506952374555,lma_g_m2
p_phylo_R,3.95461369510515e-05,0.0242378795176525,0.0252569355813797,lma_g_m2
WSDI_q50,2.70914932853598e-05,0.00612099194623516,0.00557533418418755,lma_g_m2
p_phylo_L,1.6595383904473e-05,0.0159746855750535,0.0326459326929536,lma_g_m2
wc2_1_30s_bio_8_q50,1.32708120643585e-05,0.00617942883566494,0.0094713508430174,lma_g_m2
wc2_1_30s_bio_12_q50,1.16714494533348e-05,0.00302819235101043,0.0103445959562034,lma_g_m2
wc2_1_30s_vapr_05_q50,1.1450999363372e-05,0.00104823438927462,0.0025525626385437,lma_g_m2
soc_0_5cm_q50,1.10471711106741e-05,0.0106522101303433,0.00638140659635924,lma_g_m2
p_phylo_N,7.12321952818571e-06,0.0142444455010673,0.0263316987976087,lma_g_m2
wc2_1_30s_bio_10_q50,6.96607868407418e-06,0.00302057014804133,0.00913548733794586,lma_g_m2
wc2_1_30s_bio_14_q50,6.15111846629092e-06,0.0018148102307386,0.00617988849331632,lma_g_m2
CWD_q50,5.2326746825901e-06,0.00815720902512387,0.00557533418418755,lma_g_m2
leaf_area_n,5.20756644199139e-06,0.0112206086946106,0.0140390945119903,lma_g_m2
cec_0_5cm_q50,4.75673087205775e-06,0.00561502285390524,0.00456774366897293,lma_g_m2
try_logNmass,4.59148038867453e-06,0.021986062983352,0.0214280916235642,lma_g_m2
wc2_1_30s_srad_01_q50,4.53760070020046e-06,0.00221588329173183,0.00510512527708739,lma_g_m2
cec_15_30cm_q50,3.24349779484207e-06,0.0113759564503619,0.00759051521461678,lma_g_m2
wc2_1_30s_srad_06_q50,2.90087440364688e-06,0.0056444227796432,0.00665009740041647,lma_g_m2
GSL_1_q50,2.867757264637e-06,0.00165002546178754,0.00147779942231477,lma_g_m2
clay_30_60cm_q50,2.73966685673462e-06,0.00254690467781855,0.0042990528649157,lma_g_m2
DTR_q50,2.63160383831958e-06,0.0036630129697228,0.0051722979781017,lma_g_m2
CSDI_q50,2.45887494228894e-06,0.00948746492425527,0.00886679653388863,lma_g_m2
aust_seed_mass,1.99431272066706e-06,0.00623459906667939,0.00678444280244509,lma_g_m2
wc2_1_30s_bio_2_q50,1.77690950965285e-06,0.00458348471875341,0.00879962383287432,lma_g_m2
try_logLA,1.6408066561259e-06,0.0137624319037831,0.0161214482434339,lma_g_m2
wc2_1_30s_bio_9_q50,1.54587293866278e-06,0.00289643712825881,0.00382884395781554,lma_g_m2
bdod_30_60cm_q50,1.49236216038216e-06,0.00150084806082082,0.00167931752535769,lma_g_m2
TR_1_q50,1.46451139174439e-06,0.00249971961181935,0.0025525626385437,lma_g_m2
