Feature,Gain,Cover,Frequency,trait
try_logNmass,0.984300361171342,0.201121565742082,0.114892949572583,nmass_mg_g
wc2_1_30s_bio_15_q50,0.0131234707556998,0.011198387734185,0.021566935926594,nmass_mg_g
clay_5_15cm_q50,0.000687304042901421,0.00345915839595938,0.00360756019135754,nmass_mg_g
family_code,0.000487291513870742,0.00829828524060288,0.0107442553525214,nmass_mg_g
p_phylo_N,0.000401049200375884,0.0116365558300856,0.0246255195670928,nmass_mg_g
wc2_1_30s_bio_13_q50,0.000396775406366178,0.00352020473012701,0.00792094737667634,nmass_mg_g
aust_height,0.00023452436659522,0.00589137286779613,0.00988157791545761,nmass_mg_g
wc2_1_30s_bio_12_q50,0.000113764478043862,0.00482828308791636,0.0115285075680339,nmass_mg_g
p_phylo_T,5.04080471198147e-05,0.0180749359816732,0.0540349776488119,nmass_mg_g
wc2_1_30s_bio_11_q50,3.54579028400673e-05,0.00171251032164992,0.00807779781977884,nmass_mg_g
wc2_1_30s_bio_19_q50,1.98543634800468e-05,0.0100461381767709,0.0101168535801114,nmass_mg_g
wc2_1_30s_bio_1_q50,1.76173442522473e-05,0.00180046523732566,0.0144302407654302,nmass_mg_g
wc2_1_30s_elev_q50,1.5384593280184e-05,0.020801538367621,0.0142733903223277,nmass_mg_g
p_phylo_R,1.25498090699196e-05,0.0209505396174644,0.0265861501058741,nmass_mg_g
wc2_1_30s_bio_8_q50,9.63472321439626e-06,0.00733760871870171,0.00752882126892009,nmass_mg_g
wc2_1_30s_vapr_08_q50,8.44580149215726e-06,0.00299729468350689,0.00250960708964003,nmass_mg_g
wc2_1_30s_vapr_11_q50,8.4291792010025e-06,0.000675927502658729,0.00235275664653753,nmass_mg_g
cec_15_30cm_q50,6.28644135960973e-06,0.00420416464517622,0.00596031683789507,nmass_mg_g
p_phylo_M,5.98134242201234e-06,0.0231590514042263,0.0394478864402792,nmass_mg_g
try_height,5.56530245339021e-06,0.015643123130456,0.0153713434240452,nmass_mg_g
p_phylo_L,3.90840367712273e-06,0.0165483760068629,0.0297231589679241,nmass_mg_g
try_seed_mass,2.9765750515646e-06,0.0242904166894252,0.0170182730766214,nmass_mg_g
try_ldmc,2.94327526913714e-06,0.0180407982290137,0.0180378009567877,nmass_mg_g
wc2_1_30s_bio_2_q50,2.15782801799578e-06,0.00200529175328285,0.00776409693357384,nmass_mg_g
aust_ldmc,2.07269760753228e-06,0.00944210076500696,0.00682299427495883,nmass_mg_g
sand_100_200cm_q50,1.99906646073619e-06,0.00444353053441246,0.00486236373617756,nmass_mg_g
wc2_1_30s_vapr_07_q50,1.86788255036971e-06,0.00237759406758151,0.00235275664653753,nmass_mg_g
aust_seed_mass,1.67737252076415e-06,0.0161335019068947,0.0119206336757901,nmass_mg_g
sand_0_5cm_q50,1.67049906848415e-06,0.00392704641770472,0.00705826993961258,nmass_mg_g
R10mm_q50,1.53781935943298e-06,0.00217316917224384,0.0046270880715238,nmass_mg_g
clay_30_60cm_q50,1.51493766543052e-06,0.00402102564267332,0.00486236373617756,nmass_mg_g
try_lma,1.50169285367263e-06,0.0128032637298025,0.018743627950749,nmass_mg_g
clay_60_100cm_q50,1.47594677159515e-06,0.00203661816160571,0.00321543408360129,nmass_mg_g
CSDI_1_q50,1.26654823697021e-06,0.00513712934433024,0.00494078895772881,nmass_mg_g
try_logLA,1.21339851288268e-06,0.0138085201404708,0.0143518155438789,nmass_mg_g
soc_15_30cm_q50,1.21279681084518e-06,0.00749424076031603,0.00509763940083131,nmass_mg_g
TR_1_q50,1.01803689095617e-06,0.00269768570134206,0.00290173319739628,nmass_mg_g
leaf_area_n,9.3544672351422e-07,0.0293825645243687,0.0175672496274802,nmass_mg_g
clay_0_5cm_q50,9.24568772452531e-07,0.00851475875452627,0.00588189161634382,nmass_mg_g
TR_q50,8.99550875389554e-07,0.00316637696432645,0.00290173319739628,nmass_mg_g
genus_code,8.75273095697408e-07,0.0106469626235787,0.0144302407654302,nmass_mg_g
CSDI_q50,8.00750757523483e-07,0.00668015576454108,0.00713669516116383,nmass_mg_g
wc2_1_30s_bio_4_q50,7.60177581359992e-07,0.00414392155224763,0.00486236373617756,nmass_mg_g
CSU_1_q50,7.20886925981884e-07,0.00179122796307661,0.00180378009567877,nmass_mg_g
WSDI_1_q50,7.15559388283125e-07,0.005343160722146,0.00917575092149635,nmass_mg_g
wc2_1_30s_bio_7_q50,7.09679382486654e-07,0.00469896124842966,0.00525448984393381,nmass_mg_g
wc2_1_30s_srad_05_q50,7.0642433944161e-07,0.00627371569758289,0.00713669516116383,nmass_mg_g
try_growth_formherbaceous non-graminoid,6.95720548902413e-07,0.000444995646432484,0.00439181240687005,nmass_mg_g
R10mm_1_q50,6.86306127283531e-07,0.00292259324827544,0.00321543408360129,nmass_mg_g
try_habitat_adaptationaquatic/semiaquatic,6.5964810190418e-07,0.00106308977987977,0.00133322876637127,nmass_mg_g
sand_30_60cm_q50,5.5346657653746e-07,0.00245229550281295,0.00274488275429378,nmass_mg_g
wc2_1_30s_bio_3_q50,5.4626892732417e-07,0.0181022461838009,0.00988157791545761,nmass_mg_g
RR1_q50,4.95414832953574e-07,0.015381668107146,0.00517606462238256,nmass_mg_g
wc2_1_30s_bio_18_q50,4.95312889126735e-07,0.00677614309260729,0.00690141949651008,nmass_mg_g
phylo_terminal,4.62150743835458e-07,0.00686409800828302,0.00823464826288134,nmass_mg_g
wc2_1_30s_bio_10_q50,4.58978189688467e-07,0.00157756579348989,0.00807779781977884,nmass_mg_g
soc_0_5cm_q50,4.49485429556341e-07,0.00466964294320442,0.00650929338875382,nmass_mg_g
DTR_q50,4.2287920616737e-07,0.00192858221495378,0.00345070974825504,nmass_mg_g
wc2_1_30s_srad_04_q50,4.20244593771265e-07,0.0039989365085995,0.00548976550858756,nmass_mg_g
wc2_1_30s_srad_06_q50,4.10429530318917e-07,0.0069998457776821,0.00619559250254882,nmass_mg_g
wc2_1_30s_vapr_06_q50,4.06128875641294e-07,0.000573112624060609,0.00298015841894753,nmass_mg_g
wc2_1_30s_srad_09_q50,3.8974782560348e-07,0.0106594128627839,0.0039996862991138,nmass_mg_g
cec_0_5cm_q50,3.72358621155976e-07,0.00666810714595536,0.00517606462238256,nmass_mg_g
WW_q50,3.33526401719781e-07,0.00809345872464569,0.00729354560426633,nmass_mg_g
wc2_1_30s_bio_16_q50,3.24799154125527e-07,0.00202738088735666,0.00360756019135754,nmass_mg_g
wc2_1_30s_bio_14_q50,3.23194719118497e-07,0.0021221633535643,0.00533291506548506,nmass_mg_g
clay_100_200cm_q50,3.14946296231524e-07,0.00160206465128085,0.00329385930515254,nmass_mg_g
FD_1_q50,3.08556337841714e-07,0.000463470194930584,0.000470551329307505,nmass_mg_g
