Feature,Gain,Cover,Frequency,trait
clay_0_5cm_q50,0.686498527449973,0.00224052779157652,0.033453670276775,plant_height_m
try_height,0.300899483361864,0.387833000110846,0.144043321299639,plant_height_m
p_phylo_N,0.00909391846578125,0.01098659172924,0.0293622141997593,plant_height_m
try_woodinessnon-woody,0.00345350569299642,0.0010361029801175,0.0261131167268351,plant_height_m
p_phylo_T,2.1533863597e-05,0.0134539434520755,0.0997593261131167,plant_height_m
cec_30_60cm_q50,1.72510435594819e-05,0.00630796326478666,0.00637785800240674,plant_height_m
p_phylo_L,4.27660162142264e-06,0.0131793941235154,0.0288808664259928,plant_height_m
cec_100_200cm_q50,3.52574582148413e-06,0.00407923852845665,0.0210589651022864,plant_height_m
try_logLA,1.72188002508798e-06,0.0233536277460065,0.0227436823104693,plant_height_m
try_lma,1.6212162972247e-06,0.00727889285289083,0.0115523465703971,plant_height_m
p_phylo_R,1.14909537238575e-06,0.0115362035626753,0.0205776173285199,plant_height_m
wc2_1_30s_bio_12_q50,4.95415756285147e-07,0.00450260898838579,0.00770156438026474,plant_height_m
wc2_1_30s_bio_19_q50,4.48751024316807e-07,0.00472635386175441,0.00746089049338147,plant_height_m
wc2_1_30s_srad_11_q50,4.26407101624693e-07,0.00162882162401829,0.00120336943441637,plant_height_m
R10mm_1_q50,1.77551949029034e-07,0.00250276088857505,0.00445246690734055,plant_height_m
wc2_1_30s_bio_2_q50,1.41031350461076e-07,0.00163651926874428,0.00673886883273165,plant_height_m
cec_15_30cm_q50,1.36997211310466e-07,0.00728145873446615,0.00770156438026474,plant_height_m
cec_60_100cm_q50,1.2616935880259e-07,0.00237036139928812,0.00300842358604091,plant_height_m
RR_q50,1.15864810238057e-07,0.000952968417076866,0.00252707581227437,plant_height_m
wc2_1_30s_bio_15_q50,1.04450540766451e-07,0.0160490760773624,0.0117930204572804,plant_height_m
CDD_1_q50,1.02713016062082e-07,0.00100120699069303,0.00276774969915764,plant_height_m
try_leaf_typeneedleleaved,9.25764288525736e-08,2.8737873643675e-05,0.00180505415162455,plant_height_m
wc2_1_30s_bio_7_q50,8.1714697685928e-08,0.010760280974296,0.00734055354993983,plant_height_m
CSDI_q50,8.12253991216028e-08,0.00260642250421831,0.0049338146811071,plant_height_m
phh2o_30_60cm_q50,6.74158191372429e-08,0.00288969583013453,0.00156438026474128,plant_height_m
