Feature,Gain,Cover,Frequency,trait
try_seed_mass,0.904945507630776,0.400978430006576,0.152757340060262,seed_mass_mg
p_phylo_T,0.0864606850882525,0.0182878125956261,0.0585102655735408,seed_mass_mg
p_phylo_L,0.00787728246677198,0.00851419009980924,0.028659519304884,seed_mass_mg
p_phylo_N,0.000207857628192019,0.00816834100512393,0.0262069932029991,seed_mass_mg
wc2_1_30s_bio_3_q50,0.000110149668597651,0.00287565188517706,0.00623642351622171,seed_mass_mg
try_logNmass,7.28885502322102e-05,0.019246189604995,0.0244551888445099,seed_mass_mg
p_phylo_M,6.55317099796362e-05,0.014793903367992,0.0340550767290309,seed_mass_mg
p_phylo_R,4.28855138717992e-05,0.00989576347880437,0.0196202088150795,seed_mass_mg
wc2_1_30s_bio_11_q50,3.60867274278632e-05,0.00158340549373995,0.00469483568075117,seed_mass_mg
wc2_1_30s_bio_14_q50,3.58765122118164e-05,0.00212197170443966,0.00455469133207204,seed_mass_mg
wc2_1_30s_bio_10_q50,3.26019502196434e-05,0.00244620523070713,0.0114217644173499,seed_mass_mg
wc2_1_30s_bio_1_q50,2.51014833845787e-05,0.000728679041362562,0.0105108261509355,seed_mass_mg
wc2_1_30s_bio_19_q50,2.32327974844172e-05,0.00730996855325438,0.00924952701282321,seed_mass_mg
wc2_1_30s_bio_13_q50,1.73135789284841e-05,0.00205556242797523,0.0076378670030131,seed_mass_mg
wc2_1_30s_srad_05_q50,1.21005982654008e-05,0.00338635224261522,0.00518534090112816,seed_mass_mg
try_leaf_typeneedleleaved,1.09400415314707e-05,5.00022787496826e-05,0.00217223740452666,seed_mass_mg
CSDI_q50,5.03464999258573e-06,0.00410122857161459,0.00882909396678579,seed_mass_mg
wc2_1_30s_srad_08_q50,4.18755056132497e-06,0.00740632711126158,0.00525541307546773,seed_mass_mg
wc2_1_30s_bio_4_q50,2.26836772175891e-06,0.00531690897371625,0.00476490785509074,seed_mass_mg
wc2_1_30s_bio_7_q50,2.0400756632253e-06,0.00107400727897756,0.00420433046037418,seed_mass_mg
wc2_1_30s_bio_12_q50,1.67008587550826e-06,0.00563671521488609,0.0114918365916894,seed_mass_mg
phh2o_30_60cm_q50,1.47789809407801e-06,0.000651592194956802,0.00119122696377269,seed_mass_mg
aust_seed_mass,1.17791821034513e-06,0.0270121685233051,0.0227734566603602,seed_mass_mg
try_ldmc,1.00249100082407e-06,0.0144446687023497,0.0152056618316866,seed_mass_mg
CWD_q50,9.97489127713115e-07,0.00397518116059977,0.0053254852498073,seed_mass_mg
wc2_1_30s_bio_2_q50,8.30002736113588e-07,0.00227406196896994,0.0105108261509355,seed_mass_mg
try_logLA,7.59565079750416e-07,0.02335653317534,0.0212318688248896,seed_mass_mg
family_code,4.8056321623835e-07,0.0133328992857747,0.0151355896573471,seed_mass_mg
wc2_1_30s_bio_18_q50,4.73605128340531e-07,0.00577708619533442,0.00840866092074837,seed_mass_mg
soc_15_30cm_q50,3.246667880744e-07,0.000702636187847102,0.0030131034966015,seed_mass_mg
wc2_1_30s_elev_q50,2.47801317523021e-07,0.00460281393032235,0.0106509704996146,seed_mass_mg
WSDI_q50,1.54718537053074e-07,0.0074159629670623,0.00756779482867353,seed_mass_mg
try_growth_formherbaceous graminoid,1.50970734877056e-07,0.000148183836502966,0.00721743395697569,seed_mass_mg
nitrogen_15_30cm_q50,1.10303107583157e-07,0.00217041141197841,0.00315324784528064,seed_mass_mg
try_growth_formshrub/tree,8.19679373373965e-08,0.00152090264530285,0.00742765047999439,seed_mass_mg
cec_5_15cm_q50,7.0286274579145e-08,0.00130917424622216,0.00497512437810945,seed_mass_mg
soc_30_60cm_q50,6.97981613163219e-08,0.00336473667419739,0.00343353654263892,seed_mass_mg
phh2o_100_200cm_q50,6.32115073758068e-08,0.000798994745854303,0.0014014434867914,seed_mass_mg
soc_100_200cm_q50,3.42822636365673e-08,0.00301836672244178,0.00224230957886623,seed_mass_mg
try_height,3.27426283126213e-08,0.0100624377413033,0.0122626305094247,seed_mass_mg
clay_5_15cm_q50,2.45643812452975e-08,0.0028381501761148,0.00378389741433677,seed_mass_mg
aust_ldmc,2.43191619381533e-08,0.00424680812276601,0.00644664003924042,seed_mass_mg
sand_0_5cm_q50,2.07593786983747e-08,0.00189045073668722,0.00455469133207204,seed_mass_mg
wc2_1_30s_bio_16_q50,1.82343359213924e-08,0.00386475946169422,0.00476490785509074,seed_mass_mg
genus_code,1.79400315795942e-08,0.0113919254132675,0.0144348679139514,seed_mass_mg
try_woodinessnon-woody,1.33206366757077e-08,0.000141412694588946,0.0107911148482937,seed_mass_mg
wc2_1_30s_srad_06_q50,1.23715903271241e-08,0.00726829998762965,0.00616635134188214,seed_mass_mg
clay_15_30cm_q50,7.56934127039616e-09,0.0024217249484026,0.00399411393735548,seed_mass_mg
phh2o_0_5cm_q50,4.78587392703015e-09,0.00401815186890028,0.00329339219395978,seed_mass_mg
wc2_1_30s_bio_8_q50,3.92128064743552e-09,0.00463719049696275,0.00714736178263612,seed_mass_mg
wc2_1_30s_bio_9_q50,3.88925121190337e-09,0.0075180509528429,0.00658678438791956,seed_mass_mg
