Feature,Gain,Cover,Frequency,trait
logLDMC,0.774113097318256,0.609059853058168,0.414070351758794,ldmc_frac
try_ldmc,0.22557075149047,0.272622958491272,0.212562814070352,ldmc_frac
wc2_1_30s_bio_12_q50,0.000170668768664324,0.000452992652908419,0.0155778894472362,ldmc_frac
wc2_1_30s_bio_10_q50,3.86647600614921e-05,0.000348167906780851,0.00904522613065327,ldmc_frac
CWD_q50,1.18735923087697e-05,0.000527867471570967,0.00251256281407035,ldmc_frac
clay_15_30cm_q50,9.86429818914694e-06,0.0042454022181665,0.00703517587939699,ldmc_frac
try_growth_formherbaceous non-graminoid,5.25311381955663e-06,4.30530207309654e-05,0.00100502512562814,ldmc_frac
aust_height,5.07377993268799e-06,0.000634564088165099,0.00552763819095477,ldmc_frac
wc2_1_30s_srad_01_q50,4.88812445582129e-06,0.000600870419766952,0.00452261306532663,ldmc_frac
wc2_1_30s_bio_2_q50,3.51845166404777e-06,0.00353034769993916,0.00552763819095477,ldmc_frac
leaf_area_n,3.16442065918753e-06,0.00432589264822874,0.0110552763819095,ldmc_frac
wc2_1_30s_bio_4_q50,2.84185267153255e-06,0.000531611212504095,0.00603015075376884,ldmc_frac
try_growth_formfern,2.7923378708585e-06,0.00141513407272217,0.00904522613065327,ldmc_frac
wc2_1_30s_bio_15_q50,2.55322938246055e-06,0.000776826243623941,0.00452261306532663,ldmc_frac
soc_30_60cm_q50,2.54174800527421e-06,0.00118863774626796,0.00251256281407035,ldmc_frac
try_seed_mass,2.53165456205049e-06,0.0072067012962703,0.0125628140703518,ldmc_frac
try_growth_formherbaceous graminoid,2.34635628598568e-06,0.000505405025972203,0.0165829145728643,ldmc_frac
wc2_1_30s_bio_13_q50,2.12731711744061e-06,0.000610229772099771,0.00552763819095477,ldmc_frac
aust_ldmc,2.06434373231891e-06,0.00073564509335954,0.00351758793969849,ldmc_frac
nitrogen_0_5cm_q50,2.0194167294442e-06,0.000503533155505639,0.00301507537688442,ldmc_frac
wc2_1_30s_bio_14_q50,1.88613185925946e-06,0.00114371285507043,0.00904522613065327,ldmc_frac
wc2_1_30s_bio_8_q50,1.82749979618218e-06,0.00744255697505733,0.014572864321608,ldmc_frac
