Feature,Gain,Cover,Frequency,trait
try_sla,0.612599716528714,0.114066801414759,0.0413060081466395,lma_g_m2
try_lma,0.246281738923297,0.0554577602366395,0.0479251527494908,lma_g_m2
sla_mm2_mg,0.131129378218615,0.0324173673854543,0.0127927698574338,lma_g_m2
wc2_1_30s_bio_15_q50,0.00503668586703622,0.00750725703639889,0.0176298370672098,lma_g_m2
try_leaf_typescale-shaped,0.0025965263667029,0.00365140326093786,0.00821028513238289,lma_g_m2
soc_30_60cm_q50,0.000982532307614796,0.00230190228286064,0.00400967413441955,lma_g_m2
try_woodinessnon-woody,0.000481493315468055,0.000350213205844669,0.0154022403258656,lma_g_m2
wc2_1_30s_bio_13_q50,0.000316222151107549,0.00164198322740288,0.00878309572301426,lma_g_m2
cec_15_30cm_q50,0.000288170236620623,0.0169795992833706,0.00891038696537678,lma_g_m2
wc2_1_30s_bio_11_q50,5.0049064347259e-05,0.00488831292602496,0.0148930753564155,lma_g_m2
wc2_1_30s_bio_3_q50,4.13033411468006e-05,0.016377092228871,0.0124745417515275,lma_g_m2
WSDI_q50,2.83029439422722e-05,0.00616509203622187,0.00827393075356416,lma_g_m2
wc2_1_30s_bio_12_q50,2.03036587853484e-05,0.00322304594267794,0.0171206720977597,lma_g_m2
try_seed_mass,1.97195016646422e-05,0.014028941389683,0.0170570264765784,lma_g_m2
wc2_1_30s_bio_8_q50,1.18281959226857e-05,0.00855662083168938,0.0116471486761711,lma_g_m2
wc2_1_30s_vapr_05_q50,1.13959795871422e-05,0.00223906803736756,0.00369144602851324,lma_g_m2
soc_0_5cm_q50,1.05976940004932e-05,0.00968508560607776,0.00757382892057026,lma_g_m2
leaf_area_n,8.23742260666663e-06,0.0166427822110829,0.0159114052953157,lma_g_m2
wc2_1_30s_bio_10_q50,7.46155685058462e-06,0.00847273551917832,0.023485234215886,lma_g_m2
sand_0_5cm_q50,6.9050971099546e-06,0.00724475660979583,0.00852851323828921,lma_g_m2
