Feature,Gain,Cover,Frequency,trait
try_logNmass,0.615080621218953,0.121809373240921,0.0858051689860835,nmass_mg_g
logNmass,0.374541701012842,0.125419262556031,0.0459642147117296,nmass_mg_g
wc2_1_30s_bio_15_q50,0.00444754063001279,0.0167085699451051,0.0198011928429423,nmass_mg_g
wc2_1_30s_bio_13_q50,0.00431230350493675,0.00603797467817476,0.0182107355864811,nmass_mg_g
clay_0_5cm_q50,0.000546425512516287,0.00627425062982176,0.00882703777335984,nmass_mg_g
wc2_1_30s_bio_1_q50,0.000497115300388218,0.00409092509458462,0.0507355864811133,nmass_mg_g
wc2_1_30s_bio_10_q50,0.000448185851640533,0.00350681021950757,0.0170178926441352,nmass_mg_g
wc2_1_30s_vapr_05_q50,2.28584369546221e-05,0.00131966693998888,0.00453280318091451,nmass_mg_g
try_growth_formherbaceous graminoid,1.99805056051466e-05,0.000785182740571974,0.0123260437375746,nmass_mg_g
wc2_1_30s_bio_11_q50,1.31050782680945e-05,0.0060549424305372,0.0118489065606362,nmass_mg_g
sand_100_200cm_q50,1.26970217112426e-05,0.00389028142289875,0.00548707753479125,nmass_mg_g
sand_0_5cm_q50,5.33170102688635e-06,0.0085882278582497,0.00882703777335984,nmass_mg_g
wc2_1_30s_bio_12_q50,4.29248976422491e-06,0.00700556075664298,0.0210735586481113,nmass_mg_g
try_seed_mass,4.20814216419458e-06,0.0316359500859629,0.0209940357852883,nmass_mg_g
wc2_1_30s_elev_q50,3.71596041582891e-06,0.00840455193892627,0.0144731610337972,nmass_mg_g
wc2_1_30s_bio_8_q50,2.247348640196e-06,0.0129489402153971,0.0100198807157058,nmass_mg_g
genus_code,1.92692830034859e-06,0.0173295896815704,0.0164612326043738,nmass_mg_g
try_ldmc,1.91014185158323e-06,0.0141765570988198,0.0179721669980119,nmass_mg_g
aust_seed_mass,1.71844728723715e-06,0.00593828913304542,0.0107355864811133,nmass_mg_g
leaf_area_n,1.13290935656652e-06,0.0257791061642572,0.0170974155069583,nmass_mg_g
logLDMC,9.71586936589285e-07,0.00693047845243918,0.00238568588469185,nmass_mg_g
wc2_1_30s_srad_03_q50,9.39335523243599e-07,0.00317975679272151,0.00413518886679921,nmass_mg_g
