Feature,Gain,Cover,Frequency,trait
wc2_1_30s_bio_19_q50,0.536694862049898,0.00424622284219372,0.0393211425839608,plant_height_m
logH,0.443836567368646,0.136887007814973,0.0356161109119159,plant_height_m
try_height,0.0115629921000837,0.242334637019122,0.121309907971794,plant_height_m
wc2_1_30s_bio_1_q50,0.00751700655676952,0.00437667076895244,0.0656149157404088,plant_height_m
try_woodinessnon-woody,0.000379795161583947,0.00115879654646255,0.0294012190749373,plant_height_m
clay_0_5cm_q50,5.21450390460469e-06,0.00958459000549881,0.0101589578104458,plant_height_m
try_lma,4.10223354891942e-07,0.00382060077459408,0.0108760607147126,plant_height_m
wc2_1_30s_srad_05_q50,3.70315353652958e-07,0.0011826009126594,0.00466116887773396,plant_height_m
wc2_1_30s_srad_03_q50,2.26596681583653e-07,0.0024180475182758,0.00322696306920043,plant_height_m
CDD_1_q50,1.96745040255235e-07,0.0029822109971411,0.00370503167204494,plant_height_m
wc2_1_30s_bio_12_q50,1.60604925149555e-07,0.00495130816894435,0.0138639894824907,plant_height_m
wc2_1_30s_bio_10_q50,1.60071438549168e-07,0.00171581871546879,0.0270108760607147,plant_height_m
R10mm_1_q50,1.39785337800545e-07,0.00211668424222371,0.00358551452133381,plant_height_m
wc2_1_30s_srad_02_q50,1.1733552367196e-07,0.00306885889009762,0.00322696306920043,plant_height_m
wc2_1_30s_bio_14_q50,1.10193970618433e-07,0.000810776712664637,0.0044221345763117,plant_height_m
clay_15_30cm_q50,9.02927116609955e-08,0.00415767059994144,0.00478068602844508,plant_height_m
wc2_1_30s_bio_2_q50,8.95128966613213e-08,0.00580778926470693,0.0102784749611569,plant_height_m
CSDI_1_q50,8.60880277503411e-08,0.00733126870130519,0.00621489183697861,plant_height_m
wc2_1_30s_bio_5_q50,8.02642305722746e-08,0.00660380727032952,0.00346599737062268,plant_height_m
SU_q50,8.00416308520345e-08,0.00387915951543832,0.00346599737062268,plant_height_m
wc2_1_30s_bio_15_q50,7.56458122732495e-08,0.00767976462242705,0.0130273694275129,plant_height_m
try_logNmass,6.73552082330002e-08,0.0123987421772902,0.0142225409346241,plant_height_m
WW_q50,6.67362350270837e-08,0.00229807351264369,0.00382454882275607,plant_height_m
wc2_1_30s_bio_7_q50,6.65471849344956e-08,0.00463042531261084,0.00657344328911199,plant_height_m
cec_60_100cm_q50,6.50408415014463e-08,0.00243375839996572,0.00501972032986734,plant_height_m
try_logLA,6.4107135405188e-08,0.0177423463011586,0.0198398470180471,plant_height_m
wc2_1_30s_bio_4_q50,6.40027545617622e-08,0.00131923797462931,0.00537827178200072,plant_height_m
CSDI_q50,5.9360937060675e-08,0.0123520856195443,0.00872475200191228,plant_height_m
wc2_1_30s_elev_q50,4.60903390742634e-08,0.00561354563654065,0.0106370264132903,plant_height_m
RR_1_q50,4.26853750084709e-08,0.0059258589210433,0.00298792876777818,plant_height_m
clay_100_200cm_q50,4.02561063462927e-08,0.00273416950136994,0.00358551452133381,plant_height_m
