Feature,Gain,Cover,Frequency,trait
try_seed_mass,0.904950746900682,0.40263899903313,0.156096519325219,seed_mass_mg
leaf_area_n,0.084654719409289,0.0159439075043903,0.0170118869670439,seed_mass_mg
WW_q50,0.00551319114153172,0.00476281993490498,0.00697558545092177,seed_mass_mg
wc2_1_30s_bio_19_q50,0.00215482661157383,0.00314462183290694,0.0138799914584668,seed_mass_mg
wc2_1_30s_vapr_05_q50,0.00177212227418484,0.00105756466449179,0.00313189550857712,seed_mass_mg
wc2_1_30s_bio_1_q50,0.000156687541635423,0.00208030905289389,0.043775357676703,seed_mass_mg
wc2_1_30s_bio_3_q50,0.000129391306555578,0.0070050837603091,0.0125275820343085,seed_mass_mg
wc2_1_30s_bio_10_q50,0.000111348484502915,0.0044977539572299,0.0222791657769236,seed_mass_mg
try_leaf_typeneedleleaved,9.32193372385521e-05,3.48202760896992e-05,0.00185066552779557,seed_mass_mg
wc2_1_30s_bio_11_q50,8.93278994153699e-05,0.00131615245126646,0.00882625097871735,seed_mass_mg
WSDI_1_q50,6.72934298532161e-05,0.00565842982688654,0.00825681543170333,seed_mass_mg
try_logNmass,6.57691224729049e-05,0.0206241305053151,0.0268346501530358,seed_mass_mg
logSM,6.18527424223886e-05,0.0172279389257756,0.00825681543170333,seed_mass_mg
wc2_1_30s_elev_q50,5.56176119927006e-05,0.00603227542676432,0.0103210192896292,seed_mass_mg
wc2_1_30s_bio_2_q50,5.04167455629161e-05,0.00455875692154209,0.0130258381379458,seed_mass_mg
wc2_1_30s_bio_13_q50,2.42442569992861e-05,0.002195566865997,0.0110328137233967,seed_mass_mg
wc2_1_30s_bio_14_q50,1.25594343527018e-05,0.00230839535751246,0.00861271264858709,seed_mass_mg
wc2_1_30s_bio_12_q50,9.86832804456914e-06,0.00300048208537284,0.0149476831091181,seed_mass_mg
wc2_1_30s_srad_05_q50,8.00986740245114e-06,0.00210109324869937,0.00590789380027048,seed_mass_mg
try_growth_formtree,5.91916041572783e-06,0.00021971864137221,0.00277599829169336,seed_mass_mg
wc2_1_30s_srad_08_q50,4.37918000044625e-06,0.00856767739041195,0.00533845825325646,seed_mass_mg
wc2_1_30s_bio_4_q50,2.2671534221252e-06,0.0101885747386185,0.0090397893088476,seed_mass_mg
CWD_q50,1.24983320941596e-06,0.00769204192037332,0.00726030322442878,seed_mass_mg
try_ldmc,1.01738152322891e-06,0.00462650800137554,0.0128122998078155,seed_mass_mg
try_logLA,6.66246894397711e-07,0.0145116874661582,0.018435475834579,seed_mass_mg
try_growth_formshrub/tree,5.756447686453e-07,0.0013795847371663,0.0051249199231262,seed_mass_mg
aust_seed_mass,5.13776690058928e-07,0.0251081183068816,0.02477044629511,seed_mass_mg
family_code,4.91808210079599e-07,0.00976668255622935,0.0164424514200299,seed_mass_mg
wc2_1_30s_bio_18_q50,4.3181938501044e-07,0.00923682052550005,0.0103210192896292,seed_mass_mg
