Feature,Gain,Cover,Frequency,trait
logLDMC,0.673464999697094,0.564414558951293,0.387031917567228,ldmc_frac
try_ldmc,0.326290033595837,0.344754307845599,0.259110329228449,ldmc_frac
wc2_1_30s_bio_12_q50,8.36630127880466e-05,0.000285219440707194,0.01030409650666,ldmc_frac
p_phylo_L,3.38625710162446e-05,0.000900692970654297,0.00955013822568485,ldmc_frac
CWD_1_q50,2.87137820673358e-05,0.000756206806611837,0.00276451369690877,ldmc_frac
CWD_q50,1.07730859075565e-05,9.94515155097453e-05,0.00125659713495853,ldmc_frac
clay_15_30cm_q50,9.17766335101606e-06,0.00482621316775594,0.00804222166373461,ldmc_frac
aust_ldmc,7.68554431953028e-06,0.000388423843594666,0.0037697914048756,ldmc_frac
wc2_1_30s_bio_13_q50,5.02713961936461e-06,0.00109302844876277,0.00452374968585072,ldmc_frac
try_growth_formherbaceous non-graminoid,4.8430261561663e-06,9.94515155097453e-05,0.00175923598894195,ldmc_frac
p_phylo_R,4.73024546707434e-06,0.00416007565820954,0.0216134707212868,ldmc_frac
wc2_1_30s_bio_15_q50,3.1432462357898e-06,0.000958862725009054,0.00678562452877608,ldmc_frac
p_phylo_T,3.13434953235669e-06,0.00177136284228678,0.012817290776577,ldmc_frac
wc2_1_30s_bio_14_q50,2.97026288312659e-06,0.000313366096040141,0.00804222166373461,ldmc_frac
wc2_1_30s_bio_4_q50,2.74580796181315e-06,0.000835017441544088,0.00879617994470973,ldmc_frac
nitrogen_0_5cm_q50,2.51321920704639e-06,0.000205470583930512,0.00226187484292536,ldmc_frac
try_logNmass,2.36362597968284e-06,0.00369471762337148,0.00955013822568485,ldmc_frac
p_phylo_N,2.32502867275334e-06,0.00197589520437286,0.00955013822568485,ldmc_frac
try_growth_formherbaceous graminoid,2.08146895409295e-06,0.000822820557566478,0.0150791656195024,ldmc_frac
wc2_1_30s_srad_01_q50,2.03698100593043e-06,0.000701789939634807,0.00351847197788389,ldmc_frac
try_logLA,1.98275649578251e-06,0.00423982451498622,0.00552902739381754,ldmc_frac
try_growth_formfern,1.8075875538597e-06,0.00118966529873922,0.0077909022367429,ldmc_frac
leaf_area_n,1.68751418224081e-06,0.00223109154605825,0.00728826338275949,ldmc_frac
wc2_1_30s_bio_10_q50,1.66757838833554e-06,0.000134165723753713,0.00326715255089218,ldmc_frac
try_lma,1.59572700295784e-06,0.000789044571166942,0.00753958280975119,ldmc_frac
cec_60_100cm_q50,1.57170047571715e-06,0.000318057205262299,0.00125659713495853,ldmc_frac
wc2_1_30s_bio_8_q50,1.37110979638008e-06,0.00549235067730235,0.00728826338275949,ldmc_frac
wc2_1_30s_bio_16_q50,1.17046945295187e-06,0.00127785815211578,0.00175923598894195,ldmc_frac
family_code,1.09212481075209e-06,0.000971059608986664,0.00502638853983413,ldmc_frac
try_height,1.05583633018564e-06,0.000605153089658356,0.00427243025885901,ldmc_frac
CDD_q50,1.00312029757155e-06,0.000270207891196289,0.00226187484292536,ldmc_frac
try_seed_mass,1.00287760817455e-06,0.00113055732254003,0.00728826338275949,ldmc_frac
sand_5_15cm_q50,9.21717898206934e-07,0.00108833733954061,0.00452374968585072,ldmc_frac
WSDI_1_q50,8.71380110908562e-07,0.000779662352722626,0.00552902739381754,ldmc_frac
phylo_terminal,8.19525537957024e-07,0.000455975816393738,0.00477506911284242,ldmc_frac
genus_code,7.65671662243863e-07,0.00194024277428447,0.00980145765267655,ldmc_frac
CSDI_q50,7.23865667314943e-07,0.000725245485745596,0.0040211108318673,ldmc_frac
WW_q50,6.92207347809812e-07,0.000752453919234111,0.00351847197788389,ldmc_frac
WW_1_q50,6.90314527444325e-07,0.000205470583930512,0.00150791656195024,ldmc_frac
CFD_q50,5.82754475917282e-07,0.000350894969817403,0.00150791656195024,ldmc_frac
CSDI_1_q50,4.38413964690527e-07,0.000287095884396057,0.00251319426991706,ldmc_frac
wc2_1_30s_srad_04_q50,4.33244237434647e-07,0.000267393225662994,0.00201055541593365,ldmc_frac
try_leaf_typescale-shaped,4.10983831739588e-07,3.28377645551046e-05,0.00175923598894195,ldmc_frac
WSDI_q50,3.8818210591367e-07,0.00100202092985291,0.00251319426991706,ldmc_frac
cec_5_15cm_q50,3.78360824189178e-07,0.00184642058984131,0.00427243025885901,ldmc_frac
aust_seed_mass,3.67929057240368e-07,0.00526248632541662,0.00527770796682584,ldmc_frac
wc2_1_30s_bio_11_q50,3.37482938502357e-07,0.000242999457707774,0.00201055541593365,ldmc_frac
p_phylo_M,3.17774256270337e-07,0.00202186807475001,0.00477506911284242,ldmc_frac
RR1_q50,2.72041497972303e-07,0.000552612666370189,0.00100527770796683,ldmc_frac
wc2_1_30s_vapr_07_q50,2.59005089455914e-07,0.000179200372286428,0.00175923598894195,ldmc_frac
clay_30_60cm_q50,2.4990137538272e-07,9.85132936653138e-05,0.000753958280975119,ldmc_frac
wc2_1_30s_srad_10_q50,2.49880166600308e-07,2.15791024219259e-05,0.000251319426991706,ldmc_frac
GSL_q50,2.45896354145097e-07,0.000250505232463226,0.00150791656195024,ldmc_frac
wc2_1_30s_bio_7_q50,2.26425445672808e-07,0.000308674986817983,0.00226187484292536,ldmc_frac
wc2_1_30s_srad_05_q50,2.26055180487802e-07,0.000425952717371928,0.00175923598894195,ldmc_frac
sand_0_5cm_q50,2.02879658526159e-07,0.00238214526301173,0.0037697914048756,ldmc_frac
try_growth_formshrub; shrub/tree,1.9294850192347e-07,2.90848771773783e-05,0.00100527770796683,ldmc_frac
BEDD_1_q50,1.86956524712678e-07,0.000410941167861023,0.00150791656195024,ldmc_frac
bdod_30_60cm_q50,1.84877279380568e-07,0.000142609720353597,0.00125659713495853,ldmc_frac
wc2_1_30s_vapr_04_q50,1.81670206848803e-07,0.00145987318993551,0.00326715255089218,ldmc_frac
cec_15_30cm_q50,1.61814240123471e-07,0.000516022014437358,0.00251319426991706,ldmc_frac
wc2_1_30s_bio_19_q50,1.60615886221909e-07,0.002734916676518,0.00427243025885901,ldmc_frac
sand_60_100cm_q50,1.45536211145751e-07,0.00124408216571625,0.00226187484292536,ldmc_frac
wc2_1_30s_srad_02_q50,1.3863381406361e-07,0.000349956747972972,0.000753958280975119,ldmc_frac
clay_5_15cm_q50,1.33913740688599e-07,0.00129099325793783,0.00226187484292536,ldmc_frac
phh2o_30_60cm_q50,1.33844667907577e-07,0.000265516781974131,0.00125659713495853,ldmc_frac
phh2o_0_5cm_q50,1.29631170569931e-07,0.000279590109640605,0.00100527770796683,ldmc_frac
try_woodinessnon-woody,1.28207747407787e-07,8.44399659988404e-06,0.000753958280975119,ldmc_frac
wc2_1_30s_srad_03_q50,1.19525866554747e-07,0.000397806062038981,0.00201055541593365,ldmc_frac
try_growth_formshrub,1.13451638962544e-07,0.000356524300883993,0.00301583312390048,ldmc_frac
DTR_q50,1.10023801237574e-07,0.000182015037819723,0.00201055541593365,ldmc_frac
cec_30_60cm_q50,1.0751038743591e-07,0.000106957290265198,0.000753958280975119,ldmc_frac
wc2_1_30s_srad_06_q50,1.05866533713146e-07,0.000515083792592926,0.00175923598894195,ldmc_frac
wc2_1_30s_srad_11_q50,1.05471159545262e-07,0.000295539880995941,0.00125659713495853,ldmc_frac
try_leaf_typeneedleleaved,1.04706304848086e-07,2.81466553329468e-05,0.00125659713495853,ldmc_frac
wc2_1_30s_bio_5_q50,1.04525095534158e-07,0.000337759863995361,0.00251319426991706,ldmc_frac
wc2_1_30s_srad_09_q50,1.019611175951e-07,0.000341512751373088,0.00175923598894195,ldmc_frac
SDII_1_q50,1.00855203060189e-07,0.00043908782319397,0.00226187484292536,ldmc_frac
wc2_1_30s_bio_3_q50,9.18245023551739e-08,0.00105268490945221,0.00150791656195024,ldmc_frac
wc2_1_30s_vapr_09_q50,9.13464623999116e-08,0.000182953259664154,0.00125659713495853,ldmc_frac
wc2_1_30s_vapr_05_q50,8.82168284637767e-08,0.000590141540147451,0.00150791656195024,ldmc_frac
R20mm_q50,8.74078888083821e-08,0.000271146113040721,0.00175923598894195,ldmc_frac
TXx_1_q50,8.08176923883435e-08,6.84901946435039e-05,0.000502638853983413,ldmc_frac
wc2_1_30s_bio_9_q50,7.77951870354049e-08,0.000292725215462647,0.00175923598894195,ldmc_frac
soc_60_100cm_q50,7.73088966560813e-08,3.00230990218099e-05,0.000502638853983413,ldmc_frac
clay_0_5cm_q50,7.52161044738349e-08,0.000542292226081441,0.00201055541593365,ldmc_frac
phh2o_100_200cm_q50,7.44207635943233e-08,0.000262702116440837,0.00100527770796683,ldmc_frac
sand_100_200cm_q50,7.36091295696723e-08,0.000603276645969493,0.00125659713495853,ldmc_frac
wc2_1_30s_bio_2_q50,7.22418669864187e-08,0.000187644368886312,0.00100527770796683,ldmc_frac
soc_0_5cm_q50,6.59143686841146e-08,0.000131351058220418,0.00125659713495853,ldmc_frac
bdod_5_15cm_q50,6.54830388219994e-08,0.00185861747381892,0.00125659713495853,ldmc_frac
cec_0_5cm_q50,6.31830629138495e-08,2.81466553329468e-05,0.000251319426991706,ldmc_frac
cec_100_200cm_q50,6.16916747199278e-08,0.00031899542710673,0.00150791656195024,ldmc_frac
wc2_1_30s_bio_18_q50,6.09110922912895e-08,0.000124783505309397,0.00125659713495853,ldmc_frac
try_woodinesswoody,5.71992784318455e-08,5.62933106658936e-05,0.000502638853983413,ldmc_frac
DTR_1_q50,5.66604391977313e-08,5.5355088821462e-05,0.000502638853983413,ldmc_frac
CSU_q50,4.99284681829662e-08,0.000463481591149191,0.00125659713495853,ldmc_frac
clay_60_100cm_q50,4.84031147817376e-08,0.000727121929434459,0.000753958280975119,ldmc_frac
wc2_1_30s_bio_1_q50,4.70976236426886e-08,0.000110710177642924,0.00125659713495853,ldmc_frac
RR_q50,4.59359033548173e-08,0.000846276103677267,0.00100527770796683,ldmc_frac
phh2o_5_15cm_q50,4.53536541971804e-08,0.000121030617931671,0.000502638853983413,ldmc_frac
soc_30_60cm_q50,3.87809163667988e-08,0.000382794512528076,0.000753958280975119,ldmc_frac
try_woodinesssemi-woody,3.8727467465747e-08,0.000161374157242228,0.000753958280975119,ldmc_frac
SDII_q50,3.55338783193186e-08,0.000470987365904643,0.000753958280975119,ldmc_frac
bdod_100_200cm_q50,3.37081921736758e-08,0.000164188822775523,0.000502638853983413,ldmc_frac
R10mm_1_q50,3.22910722201243e-08,0.000683025502746175,0.00100527770796683,ldmc_frac
wc2_1_30s_vapr_08_q50,3.21554277481707e-08,0.000462543369304759,0.000753958280975119,ldmc_frac
wc2_1_30s_srad_08_q50,3.20774179693363e-08,0.000166065266464386,0.000753958280975119,ldmc_frac
wc2_1_30s_elev_q50,2.90451592304706e-08,5.25404232881673e-05,0.000502638853983413,ldmc_frac
logH,2.75820561442138e-08,0.000135103945598145,0.000753958280975119,ldmc_frac
soc_5_15cm_q50,2.3733924220502e-08,0.000330254089239909,0.000753958280975119,ldmc_frac
nitrogen_30_60cm_q50,2.35793657956259e-08,3.56524300883993e-05,0.000251319426991706,ldmc_frac
phh2o_60_100cm_q50,2.31909150605204e-08,9.19457407542928e-05,0.000502638853983413,ldmc_frac
aust_height,2.28041721055004e-08,4.6911092221578e-05,0.000251319426991706,ldmc_frac
wc2_1_30s_vapr_06_q50,2.22637592328108e-08,0.000342450973217519,0.000753958280975119,ldmc_frac
FD_q50,2.05387902831348e-08,2.90848771773783e-05,0.000502638853983413,ldmc_frac
R10mm_q50,1.96435413838624e-08,0.000358400744572856,0.000502638853983413,ldmc_frac
nitrogen_5_15cm_q50,1.7429750674753e-08,0.000457852260082601,0.000502638853983413,ldmc_frac
RR1_1_q50,1.73207296865972e-08,0.000376226959617055,0.000502638853983413,ldmc_frac
clay_100_200cm_q50,1.60712260406189e-08,1.59497713553365e-05,0.000251319426991706,ldmc_frac
TNn_q50,1.37883250485595e-08,0.000563871328503367,0.000502638853983413,ldmc_frac
sand_30_60cm_q50,1.04713091254591e-08,0.000350894969817403,0.000251319426991706,ldmc_frac
TX_q50,1.0031777159074e-08,5.25404232881673e-05,0.000251319426991706,ldmc_frac
sand_15_30cm_q50,9.73025012250547e-09,6.56755291102092e-05,0.000251319426991706,ldmc_frac
logNmass,7.8321693904882e-09,4.31582048438517e-05,0.000251319426991706,ldmc_frac
bdod_15_30cm_q50,7.46953584773825e-09,9.56986281320191e-05,0.000251319426991706,ldmc_frac
RR_1_q50,7.1050358629017e-09,9.28839625987244e-05,0.000251319426991706,ldmc_frac
wc2_1_30s_vapr_10_q50,6.47747283772801e-09,1.21968839776103e-05,0.000251319426991706,ldmc_frac
CSU_1_q50,6.45255857639737e-09,0.00011446306502065,0.000251319426991706,ldmc_frac
