Feature,Gain,Cover,Frequency,trait
logLA,0.793254260953049,0.223353282207384,0.0538034849761853,leaf_area_mm2
p_phylo_M,0.135049094428635,0.011985408906036,0.0679354750191105,leaf_area_mm2
try_logLA,0.0275284728139631,0.119646692119318,0.0748544659832611,leaf_area_mm2
wc2_1_30s_srad_07_q50,0.0194812401185915,0.0033631246692243,0.00954546345479135,leaf_area_mm2
wc2_1_30s_bio_19_q50,0.0174788760620604,0.0041805717474329,0.00658578176757679,leaf_area_mm2
wc2_1_30s_bio_14_q50,0.0050066736997813,0.00537383878591903,0.00523334444030655,leaf_area_mm2
p_phylo_L,0.00157282245535615,0.0113145780098616,0.0276171622336777,leaf_area_mm2
p_phylo_T,0.000220199496356799,0.0197510401552028,0.0628197338246536,leaf_area_mm2
try_habitat_adaptationterrestrial,0.000205833729919972,0.00210374115624491,0.00978066994649052,leaf_area_mm2
cec_100_200cm_q50,0.000158846665610453,0.00501905237074345,0.00421411630961015,leaf_area_mm2
wc2_1_30s_bio_7_q50,2.36513791403056e-05,0.00524887478266626,0.00491973578470766,leaf_area_mm2
sand_15_30cm_q50,3.01396365897687e-06,0.00336884703075939,0.00311648601501401,leaf_area_mm2
try_habitat_adaptationsemiaquatic,2.91131929306475e-06,0.00270087731535254,0.00160724435994433,leaf_area_mm2
p_phylo_N,2.60733971471887e-06,0.0203344117149423,0.0245202767596386,leaf_area_mm2
p_phylo_R,2.22112688441047e-06,0.0138358968997482,0.0429643858170486,leaf_area_mm2
try_growth_formshrub,1.79836467205495e-06,0.000136254067903089,0.00288127952331484,leaf_area_mm2
wc2_1_30s_vapr_10_q50,1.10550614281023e-06,0.00255054933124153,0.00170524706481899,leaf_area_mm2
clay_5_15cm_q50,7.63305156961432e-07,0.00532017231422508,0.00350849683451263,leaf_area_mm2
sand_100_200cm_q50,6.93926193499397e-07,0.00670421051361752,0.00531174660420628,leaf_area_mm2
sand_5_15cm_q50,6.25434801950226e-07,0.00502036696731232,0.00360649953938729,leaf_area_mm2
wc2_1_30s_bio_8_q50,3.94828230273808e-07,0.00262277481331955,0.00566455634175503,leaf_area_mm2
try_lma,3.76476048470485e-07,0.00896748182995554,0.0160332425174935,leaf_area_mm2
cec_5_15cm_q50,3.52051921424657e-07,0.00681363134567363,0.00503733903055724,leaf_area_mm2
wc2_1_30s_vapr_09_q50,2.62803975466723e-07,0.00277070559192262,0.00225406221211706,leaf_area_mm2
phh2o_0_5cm_q50,1.78589479740698e-07,0.00128134500860055,0.0026656735725906,leaf_area_mm2
try_growth_formherbaceous non-graminoid,1.77577767537856e-07,0.000361978031699408,0.00442972226033439,leaf_area_mm2
R20mm_q50,1.58824132422596e-07,0.00200158926992256,0.00295968168721457,leaf_area_mm2
SDII_q50,1.55103054970945e-07,0.0035908591924789,0.00635057527587761,leaf_area_mm2
wc2_1_30s_vapr_06_q50,1.44970459106946e-07,0.00241251669150996,0.00274407573649033,leaf_area_mm2
try_seed_mass,1.2879627286258e-07,0.0145818144587682,0.0150924165506968,leaf_area_mm2
try_ldmc,9.77829062986842e-08,0.00625044270972687,0.0121523354044572,leaf_area_mm2
aust_seed_mass,9.5489373780732e-08,0.00806497262081993,0.00656618122660185,leaf_area_mm2
wc2_1_30s_elev_q50,8.79295234855726e-08,0.0166086903803391,0.0192477312373822,leaf_area_mm2
wc2_1_30s_bio_3_q50,8.39773189151199e-08,0.00351399395780485,0.00535094768615614,leaf_area_mm2
wc2_1_30s_bio_10_q50,8.14141570921886e-08,0.002306421015481,0.00609576824320351,leaf_area_mm2
TR_q50,7.25204788901277e-08,0.00261705245178446,0.00307728493306415,leaf_area_mm2
wc2_1_30s_srad_03_q50,7.06374894225001e-08,0.00197947311588153,0.00243046708089143,leaf_area_mm2
cec_15_30cm_q50,6.93042695248552e-08,0.00313461685387037,0.00382210549011153,leaf_area_mm2
aust_height,6.31671912907302e-08,0.0146153753358794,0.00972186832356573,leaf_area_mm2
DTR_1_q50,6.21038705021721e-08,0.00445377584612848,0.0037437033262118,leaf_area_mm2
wc2_1_30s_srad_06_q50,5.14907687226972e-08,0.0050069890139938,0.00397890981791097,leaf_area_mm2
wc2_1_30s_bio_1_q50,4.81455625935097e-08,0.00175382648129515,0.015896038730669,leaf_area_mm2
try_height,4.76719157824602e-08,0.00955951426120755,0.0114271153883847,leaf_area_mm2
logLDMC,4.71356592182066e-08,0.00725301591651662,0.00309688547403908,leaf_area_mm2
R10mm_q50,4.35863025809239e-08,0.00322192153188546,0.00343009467061291,leaf_area_mm2
wc2_1_30s_srad_05_q50,4.2837717784073e-08,0.00454355505886145,0.00476293145690821,leaf_area_mm2
aust_ldmc,4.25026704831357e-08,0.00670459715966719,0.00793821909484702,leaf_area_mm2
bdod_15_30cm_q50,4.09292831290544e-08,0.00231461791173397,0.00172484760579392,leaf_area_mm2
nitrogen_5_15cm_q50,4.04577187497089e-08,0.00158880594729674,0.00209725788431761,leaf_area_mm2
try_logNmass,3.53127482199563e-08,0.00984656028848126,0.012779552715655,leaf_area_mm2
leaf_area_n,3.47035761455984e-08,0.0114940591061176,0.0117015229620338,leaf_area_mm2
genus_code,3.39544973412265e-08,0.0130011280785145,0.016444853877967,leaf_area_mm2
nitrogen_60_100cm_q50,2.76076350132375e-08,0.00339985604394279,0.00344969521158784,leaf_area_mm2
CWD_q50,2.69998955606906e-08,0.00322625196764175,0.00350849683451263,leaf_area_mm2
WW_q50,2.63416058385397e-08,0.00618610480706207,0.00562535525980517,leaf_area_mm2
wc2_1_30s_bio_4_q50,2.56913456386345e-08,0.0142071544366397,0.00791861855387209,leaf_area_mm2
TXx_q50,2.53865733986207e-08,0.00180339450486262,0.00139163840922009,leaf_area_mm2
WSDI_1_q50,2.53145319018229e-08,0.0105417498857848,0.0094474607499167,leaf_area_mm2
wc2_1_30s_bio_2_q50,2.47865442634598e-08,0.00671774312535591,0.0070365942100002,leaf_area_mm2
wc2_1_30s_bio_15_q50,2.25488516956446e-08,0.00369664555166813,0.00889864560261863,leaf_area_mm2
sand_0_5cm_q50,2.19576120943002e-08,0.0029770199240256,0.00537054822713107,leaf_area_mm2
clay_30_60cm_q50,2.14387027941505e-08,0.00480253058292924,0.00343009467061291,leaf_area_mm2
nitrogen_100_200cm_q50,2.14141487203263e-08,0.0026915978101605,0.00264607303161567,leaf_area_mm2
cec_30_60cm_q50,1.82338879023536e-08,0.00188049172716646,0.00360649953938729,leaf_area_mm2
CSU_q50,1.44222636221695e-08,0.00269585091670685,0.0027244751955154,leaf_area_mm2
clay_0_5cm_q50,1.42551902785566e-08,0.00479758151349348,0.00560575471883024,leaf_area_mm2
WW_1_q50,1.39664020318915e-08,0.00172969976779585,0.00294008114623964,leaf_area_mm2
wc2_1_30s_bio_18_q50,1.38441085700312e-08,0.00461415662753087,0.00635057527587761,leaf_area_mm2
CSU_1_q50,1.37792662828379e-08,0.00201612716139008,0.00143083949116996,leaf_area_mm2
CWD_1_q50,1.37360206744439e-08,0.00360771696024443,0.00390050765401125,leaf_area_mm2
wc2_1_30s_bio_11_q50,1.34057566963304e-08,0.00371443126995287,0.00633097473490268,leaf_area_mm2
R20mm_1_q50,1.30355313098233e-08,0.00171647647289719,0.0024108665399165,leaf_area_mm2
soc_100_200cm_q50,1.2986460212739e-08,0.00203515014703376,0.00174444814676885,leaf_area_mm2
CSDI_q50,1.17531305358757e-08,0.00442230285768549,0.00701699366902527,leaf_area_mm2
clay_100_200cm_q50,1.11074437055978e-08,0.00421552455032291,0.00309688547403908,leaf_area_mm2
CDD_1_q50,1.10329027207465e-08,0.00521918036605173,0.0045669260471589,leaf_area_mm2
nitrogen_30_60cm_q50,1.00887612466373e-08,0.00222677192924934,0.00213645896626747,leaf_area_mm2
sand_60_100cm_q50,9.7839529060739e-09,0.00318171034271997,0.0032340892608636,leaf_area_mm2
wc2_1_30s_bio_12_q50,9.35982749896438e-09,0.00226095144004001,0.00748740665242361,leaf_area_mm2
soc_15_30cm_q50,9.22373507702137e-09,0.00379129650462692,0.00299888276916443,leaf_area_mm2
cec_60_100cm_q50,9.05428479722068e-09,0.00387380677162612,0.00364570062133715,leaf_area_mm2
clay_15_30cm_q50,8.5548574436745e-09,0.00470347186500423,0.00366530116231208,leaf_area_mm2
CDD_q50,8.03950024760397e-09,0.00270551706794856,0.00382210549011153,leaf_area_mm2
try_growth_formtree,6.84792655645585e-09,0.00068946723576841,0.00111723083557106,leaf_area_mm2
family_code,6.78898718413168e-09,0.00951164748025863,0.0110351045688861,leaf_area_mm2
bdod_60_100cm_q50,6.68383720827283e-09,0.00253353690505612,0.00227366275309199,leaf_area_mm2
nitrogen_0_5cm_q50,6.36643262593759e-09,0.00592341748091747,0.00615456986612831,leaf_area_mm2
wc2_1_30s_vapr_01_q50,5.93156113022393e-09,0.000284726150975694,0.00064681785217272,leaf_area_mm2
nitrogen_15_30cm_q50,5.88041377652956e-09,0.00296410594596668,0.00268527411356553,leaf_area_mm2
RR_1_q50,5.832487921881e-09,0.00203491815940396,0.00237166545796664,leaf_area_mm2
soc_0_5cm_q50,5.7379002068276e-09,0.00932188159908145,0.005958564456379,leaf_area_mm2
RR1_q50,5.12634977126031e-09,0.00361444460150866,0.00341049412963798,leaf_area_mm2
bdod_30_60cm_q50,5.01787901984422e-09,0.00146917765952939,0.00160724435994433,leaf_area_mm2
sand_30_60cm_q50,5.01138899603667e-09,0.00297957178795341,0.00278327681844019,leaf_area_mm2
phylo_terminal,4.83251599777953e-09,0.00817462544050585,0.00674258609537623,leaf_area_mm2
phh2o_5_15cm_q50,4.47322812779097e-09,0.00106188471080886,0.00121523354044572,leaf_area_mm2
TNx_1_q50,4.08535859766009e-09,0.00159731216038944,0.000823222720947098,leaf_area_mm2
wc2_1_30s_bio_13_q50,4.04646975559579e-09,0.00781744181982232,0.00519414335835669,leaf_area_mm2
wc2_1_30s_srad_04_q50,3.96472837362176e-09,0.00470787962997045,0.00421411630961015,leaf_area_mm2
wc2_1_30s_srad_08_q50,3.80109693241015e-09,0.00285576772284964,0.00219526058919226,leaf_area_mm2
wc2_1_30s_srad_10_q50,3.64469391374787e-09,0.00318480351111731,0.00235206491699171,leaf_area_mm2
RR_q50,3.3908602617501e-09,0.00380018936376929,0.00311648601501401,leaf_area_mm2
phh2o_60_100cm_q50,3.37491355646902e-09,0.000422062827817853,0.0010780297536212,leaf_area_mm2
bdod_0_5cm_q50,3.32068126830798e-09,0.000635491447234723,0.00115643191752092,leaf_area_mm2
WSDI_q50,3.03080430506777e-09,0.0055390139783373,0.005958564456379,leaf_area_mm2
