Feature,Gain,Cover,Frequency,trait
try_sla,0.772869676391974,0.136294838303844,0.0497314098449272,lma_g_m2
try_lma,0.125711480060396,0.0583461375846885,0.045913713301125,lma_g_m2
sla_mm2_mg,0.0912916134629707,0.0221699555213739,0.01020304740025,lma_g_m2
wc2_1_30s_bio_15_q50,0.00433006388963341,0.0118168908339302,0.0166559681070306,lma_g_m2
soc_30_60cm_q50,0.00240584541282256,0.00332583429441451,0.00385148146896855,lma_g_m2
try_leaf_typescale-shaped,0.00219410372308729,0.00241004895609453,0.0032771377411399,lma_g_m2
try_woodinessnon-woody,0.00046084531248394,0.000354937506715371,0.0167573228825298,lma_g_m2
p_phylo_M,0.000293825399279489,0.013234644961035,0.0347309030710497,lma_g_m2
p_phylo_T,0.000225908192983075,0.0162496178683591,0.0679414845096118,lma_g_m2
wc2_1_30s_bio_3_q50,2.91586498619409e-05,0.00418157631505677,0.00641913578161424,lma_g_m2
p_phylo_R,2.83200719450793e-05,0.0279013479974306,0.0257441129767898,lma_g_m2
p_phylo_L,2.46488361831007e-05,0.0119595976665271,0.0250346295482956,lma_g_m2
clay_100_200cm_q50,2.33319835728317e-05,0.00450541105056512,0.00385148146896855,lma_g_m2
WSDI_q50,2.17173994627027e-05,0.0111479317655097,0.00787188756376905,lma_g_m2
aust_ldmc,1.99953228736701e-05,0.0102101915298671,0.0110138856042434,lma_g_m2
wc2_1_30s_bio_8_q50,9.748467920268e-06,0.00409325775082722,0.00810838203993378,lma_g_m2
try_logNmass,7.42178391524106e-06,0.0221900808439196,0.0183452143653502,lma_g_m2
wc2_1_30s_bio_10_q50,4.51934386495978e-06,0.00435771446857672,0.0101016926247508,lma_g_m2
try_height,4.38725692380591e-06,0.00698115837364774,0.0110814554545762,lma_g_m2
leaf_area_n,4.33518344342873e-06,0.0117139356714855,0.0161491942295348,lma_g_m2
wc2_1_30s_bio_1_q50,4.16867253718886e-06,0.00329988759757871,0.0110476705294098,lma_g_m2
try_leaf_typeneedleleaved,3.1899900595655e-06,0.000106281662038951,0.0084124463664313,lma_g_m2
CSDI_q50,2.64404690367668e-06,0.00625315393742788,0.00834487651609852,lma_g_m2
wc2_1_30s_srad_03_q50,2.08307652299819e-06,0.00310894652086397,0.00341227744180547,lma_g_m2
wc2_1_30s_bio_2_q50,1.8903158313586e-06,0.00401907680987358,0.00777053278826987,lma_g_m2
p_phylo_N,1.75495129951419e-06,0.0136980263545257,0.0242575762694686,lma_g_m2
clay_30_60cm_q50,1.25667523877905e-06,0.00101757622590658,0.00331092266630629,lma_g_m2
genus_code,1.14686559806515e-06,0.0118471619802386,0.0154397108010406,lma_g_m2
cec_0_5cm_q50,1.10288520215962e-06,0.00616117622364456,0.00452717997229636,lma_g_m2
wc2_1_30s_srad_08_q50,1.03428328199484e-06,0.00274768866491937,0.00337849251663908,lma_g_m2
wc2_1_30s_srad_05_q50,9.77881514809145e-07,0.0101271953649885,0.00706104935977567,lma_g_m2
wc2_1_30s_srad_06_q50,8.28173028494122e-07,0.00682764041736925,0.00655427548227981,lma_g_m2
wc2_1_30s_srad_02_q50,8.22807667384212e-07,0.00281821045631924,0.00418933072063245,lma_g_m2
CWD_q50,8.17286472692762e-07,0.00560265694175599,0.0058447920537856,lma_g_m2
wc2_1_30s_bio_14_q50,7.90759074671383e-07,0.0017083238666699,0.00543937295178891,lma_g_m2
clay_60_100cm_q50,7.88038253030037e-07,0.0028088962574551,0.00334470759147268,lma_g_m2
DTR_q50,7.58501795728727e-07,0.00197926725862836,0.00354741714247103,lma_g_m2
WSDI_1_q50,7.12633960919499e-07,0.00444603303280627,0.00797324233926822,lma_g_m2
wc2_1_30s_bio_4_q50,5.80385873675628e-07,0.00132062033895035,0.00557451265245448,lma_g_m2
wc2_1_30s_bio_16_q50,5.7111404801027e-07,0.00893048713592709,0.00445961012196358,lma_g_m2
clay_15_30cm_q50,4.95207201680473e-07,0.00509004335426921,0.00483124429879388,lma_g_m2
DTR_1_q50,4.70553030467508e-07,0.00260398388244417,0.00347984729213825,lma_g_m2
phh2o_0_5cm_q50,4.53149797619887e-07,0.00163863370016862,0.00344606236697186,lma_g_m2
R10mm_1_q50,4.5265255590909e-07,0.00319693243513409,0.00300685833980878,lma_g_m2
cec_30_60cm_q50,4.43961201253761e-07,0.011737720143585,0.0062164262306159,lma_g_m2
wc2_1_30s_bio_19_q50,3.95687799044631e-07,0.00185868164833377,0.00597993175445116,lma_g_m2
try_seed_mass,3.85132071761658e-07,0.014049471036667,0.0172640967600257,lma_g_m2
phh2o_5_15cm_q50,3.37963557797409e-07,0.00254493851464475,0.00216223521064901,lma_g_m2
sand_60_100cm_q50,3.20708484907996e-07,0.00565521563534645,0.00283793371397682,lma_g_m2
try_woodinessnon-woody; semi-woody,3.02997081163545e-07,1.29733484179002e-05,0.000202709550998345,lma_g_m2
wc2_1_30s_srad_01_q50,2.97808508529664e-07,0.00169767906796804,0.00408797594513328,lma_g_m2
try_ldmc,2.84020596611372e-07,0.00943594874928605,0.0129058414135613,lma_g_m2
family_code,2.80284109623668e-07,0.00820996732379449,0.0121963579850671,lma_g_m2
soc_0_5cm_q50,2.78601906089598e-07,0.00655819395022825,0.00577722220345282,lma_g_m2
aust_seed_mass,2.76318208541927e-07,0.0144433285886361,0.00956113382208858,lma_g_m2
TR_1_q50,2.21143290265457e-07,0.000733160510591076,0.00152032163248758,lma_g_m2
wc2_1_30s_elev_q50,2.13237346850426e-07,0.00878628337851274,0.010371972026082,lma_g_m2
CDD_1_q50,2.01465758923598e-07,0.00691146820714645,0.00459474982262914,lma_g_m2
soc_5_15cm_q50,1.64426257486806e-07,0.00478450436652969,0.00422311564579884,lma_g_m2
