Feature,Gain,Cover,Frequency,trait
try_logNmass,0.848966487444922,0.160425810508193,0.106200225159488,nmass_mg_g
logNmass,0.141316633122614,0.0771298549632079,0.0255180753033399,nmass_mg_g
wc2_1_30s_bio_15_q50,0.00457538304548031,0.0114149708124052,0.0154275945461368,nmass_mg_g
wc2_1_30s_bio_13_q50,0.00402726731114415,0.00348683327970135,0.0159696451653254,nmass_mg_g
wc2_1_30s_bio_10_q50,0.000634728733966342,0.00286238417343513,0.00767210107159238,nmass_mg_g
wc2_1_30s_bio_1_q50,0.000230086557283418,0.0063981857850282,0.0163866071800859,nmass_mg_g
clay_0_5cm_q50,0.000107976398770674,0.00217394703683982,0.00487845557269733,nmass_mg_g
p_phylo_N,3.18721224847578e-05,0.0185756634797473,0.0323979485468874,nmass_mg_g
wc2_1_30s_bio_11_q50,1.66175317092288e-05,0.00284386673700549,0.00854772130258933,nmass_mg_g
wc2_1_30s_vapr_05_q50,1.56626276178764e-05,0.00295744034710729,0.00304382270775132,nmass_mg_g
wc2_1_30s_elev_q50,1.16587262332319e-05,0.00644550812257062,0.00875620230996956,nmass_mg_g
try_growth_formherbaceous graminoid,1.08958453832101e-05,0.000277144298563623,0.00754701246716424,nmass_mg_g
sand_100_200cm_q50,6.19908776450497e-06,0.00514805307673379,0.00454488596088896,nmass_mg_g
p_phylo_L,4.51304713992137e-06,0.0124959776013089,0.0331484801734562,nmass_mg_g
p_phylo_M,3.93270557371448e-06,0.0163157132381565,0.0346495434265938,nmass_mg_g
p_phylo_R,3.36948008212788e-06,0.0203864630132725,0.0233081766251095,nmass_mg_g
p_phylo_T,3.12458827488374e-06,0.0218398760237056,0.0549972897469041,nmass_mg_g
try_ldmc,1.8075937790996e-06,0.00912333517959033,0.0138431388900471,nmass_mg_g
try_lma,1.73285939862121e-06,0.0112658025744998,0.0162615185756578,nmass_mg_g
logLDMC,1.64445033876064e-06,0.0126496723236749,0.00475336696826919,nmass_mg_g
try_logLA,1.41961949806118e-06,0.0108442222717849,0.0170120502022266,nmass_mg_g
wc2_1_30s_bio_3_q50,1.21802596930274e-06,0.00214226164561577,0.00583746820664638,nmass_mg_g
sand_0_5cm_q50,1.04516871274068e-06,0.013347368178485,0.0074219238627361,nmass_mg_g
family_code,9.19728054227593e-07,0.0158704717666704,0.0145936705166159,nmass_mg_g
wc2_1_30s_vapr_09_q50,8.75073269150922e-07,0.00460322894711502,0.00250177208856273,nmass_mg_g
wc2_1_30s_vapr_10_q50,8.59728871451385e-07,0.00480136551691218,0.0023766834841346,nmass_mg_g
wc2_1_30s_bio_18_q50,7.76286864762974e-07,0.002387926302249,0.00475336696826919,nmass_mg_g
genus_code,7.52115871429849e-07,0.02056608214664,0.0189300754701247,nmass_mg_g
clay_30_60cm_q50,7.38432952431651e-07,0.00398454082107136,0.00366926572989201,nmass_mg_g
CSU_q50,7.30904069741819e-07,0.00160278699763224,0.00300212650627528,nmass_mg_g
try_seed_mass,6.45227851300454e-07,0.0126134604479903,0.0126339490472418,nmass_mg_g
cec_30_60cm_q50,5.86213276059239e-07,0.00800508776853369,0.0065879998332152,nmass_mg_g
WSDI_1_q50,5.26079176215553e-07,0.00283399077090968,0.00662969603469124,nmass_mg_g
wc2_1_30s_vapr_07_q50,5.25212847039558e-07,0.00226591697110704,0.00258516449151482,nmass_mg_g
wc2_1_30s_bio_7_q50,5.03963143117836e-07,0.00403597814448703,0.00592086060959847,nmass_mg_g
nitrogen_100_200cm_q50,5.01211058208316e-07,0.00203527201291118,0.00308551890922737,nmass_mg_g
phylo_terminal,4.7575787430484e-07,0.0095903860762046,0.00963182254096652,nmass_mg_g
soc_15_30cm_q50,4.74942046001226e-07,0.00589903799860255,0.00483675937122128,nmass_mg_g
aust_ldmc,4.71490763223886e-07,0.0117731803326719,0.00867280990701747,nmass_mg_g
CSU_1_q50,4.45924802898561e-07,0.00162027568759356,0.00175124046199391,nmass_mg_g
wc2_1_30s_bio_8_q50,4.37789856581342e-07,0.0104329294337533,0.00829754409373306,nmass_mg_g
wc2_1_30s_srad_04_q50,4.29001189760853e-07,0.00149065363258608,0.00433640495350874,nmass_mg_g
RR1_q50,4.20418991770183e-07,0.00197478172057435,0.0023766834841346,nmass_mg_g
aust_height,4.11349486940441e-07,0.0124579139819813,0.00846432889963724,nmass_mg_g
aust_seed_mass,4.02734622859163e-07,0.00952104856424028,0.00858941750406538,nmass_mg_g
try_height,3.43937360845626e-07,0.0127461687424027,0.0116749364132928,nmass_mg_g
cec_15_30cm_q50,3.26521204725762e-07,0.00394400821021981,0.00533711378893383,nmass_mg_g
TR_q50,3.23198964967059e-07,0.0024965619293029,0.0028353417003711,nmass_mg_g
WW_1_q50,3.11360018875343e-07,0.0051953754142762,0.00542050619188592,nmass_mg_g
leaf_area_n,3.04749879951156e-07,0.0123587428224359,0.0143017971062836,nmass_mg_g
wc2_1_30s_vapr_08_q50,2.78014027048012e-07,0.0048431326235257,0.00266855689446691,nmass_mg_g
wc2_1_30s_srad_03_q50,2.71010885019074e-07,0.00245150283399077,0.00325230371513155,nmass_mg_g
nitrogen_15_30cm_q50,2.60544871591555e-07,0.00127358812777196,0.00254346829003878,nmass_mg_g
wc2_1_30s_bio_19_q50,2.58911221528838e-07,0.00202848228622031,0.00800567068340074,nmass_mg_g
WW_q50,2.57011830559771e-07,0.00414872875741418,0.00437810115498478,nmass_mg_g
CDD_1_q50,2.47962871611266e-07,0.0100150526183244,0.00562898719926615,nmass_mg_g
wc2_1_30s_srad_01_q50,2.30848843605275e-07,0.00137831451824626,0.00429470875203269,nmass_mg_g
R20mm_1_q50,2.01260249580133e-07,0.00388598690940694,0.00412792394612851,nmass_mg_g
try_habitat_adaptationaquatic/semiaquatic,1.92248435352236e-07,7.05720077262975e-05,0.000583746820664638,nmass_mg_g
cec_0_5cm_q50,1.88297140779509e-07,0.00377508804012276,0.00479506316974524,nmass_mg_g
CDD_q50,1.87957163590758e-07,0.00301669614368214,0.00500354417712546,nmass_mg_g
WSDI_q50,1.85443270032735e-07,0.00792093630742566,0.0065879998332152,nmass_mg_g
CWD_q50,1.81245265408723e-07,0.00180112931672306,0.00408622774465246,nmass_mg_g
R20mm_q50,1.75914193974622e-07,0.00546346674391867,0.0046699745653171,nmass_mg_g
RR_1_q50,1.72475735760926e-07,0.00605869945048479,0.0037526581328441,nmass_mg_g
cec_60_100cm_q50,1.69920590963989e-07,0.00812977184049327,0.00441979735646083,nmass_mg_g
sand_30_60cm_q50,1.67960838162723e-07,0.00309570387244861,0.00246007588708669,nmass_mg_g
cec_5_15cm_q50,1.60408233352575e-07,0.00720204827536827,0.00475336696826919,nmass_mg_g
wc2_1_30s_srad_06_q50,1.53895122551876e-07,0.00863426910855415,0.00567068340074219,nmass_mg_g
soc_5_15cm_q50,1.52435009434305e-07,0.00461104742027421,0.00412792394612851,nmass_mg_g
nitrogen_0_5cm_q50,1.51554181192055e-07,0.00430694996424077,0.00554559479631406,nmass_mg_g
SDII_q50,1.48361329984274e-07,0.00777773479903644,0.00592086060959847,nmass_mg_g
wc2_1_30s_bio_2_q50,1.42262871214934e-07,0.00341173478751447,0.00883959471292165,nmass_mg_g
cec_100_200cm_q50,1.38974799283308e-07,0.00719073206421682,0.00446149355793687,nmass_mg_g
wc2_1_30s_srad_07_q50,1.38683635174624e-07,0.00290229953640569,0.0037526581328441,nmass_mg_g
soc_0_5cm_q50,1.37647928730604e-07,0.00707880444846433,0.00662969603469124,nmass_mg_g
wc2_1_30s_bio_16_q50,1.36521971911756e-07,0.00584327994001997,0.00425301255055664,nmass_mg_g
wc2_1_30s_bio_12_q50,1.28543285925447e-07,0.00560543375654591,0.0103406579660593,nmass_mg_g
clay_15_30cm_q50,1.28245290909289e-07,0.00559535204115644,0.00341908852103573,nmass_mg_g
wc2_1_30s_srad_02_q50,1.28171400159173e-07,0.00541655590496358,0.00325230371513155,nmass_mg_g
sand_15_30cm_q50,1.27010969850074e-07,0.00137522827884132,0.00187632906642205,nmass_mg_g
clay_100_200cm_q50,1.25357491550096e-07,0.00585994563280664,0.00371096193136805,nmass_mg_g
wc2_1_30s_bio_4_q50,1.24811351194701e-07,0.00250911263621632,0.00592086060959847,nmass_mg_g
CSDI_q50,1.23323183513551e-07,0.01067036411864,0.00854772130258933,nmass_mg_g
SDII_1_q50,1.22527196736902e-07,0.00197745646139197,0.00287703790184714,nmass_mg_g
wc2_1_30s_bio_14_q50,1.20825623000833e-07,0.00161986418900624,0.00408622774465246,nmass_mg_g
soc_30_60cm_q50,1.17101502615602e-07,0.00186059086259157,0.00271025309594296,nmass_mg_g
wc2_1_30s_srad_09_q50,1.07675009776939e-07,0.0014999123508009,0.0022932910811825,nmass_mg_g
wc2_1_30s_srad_05_q50,1.07578539820987e-07,0.00411231113243588,0.0060459492140266,nmass_mg_g
R10mm_1_q50,1.06970030888201e-07,0.0114336939981285,0.00567068340074219,nmass_mg_g
RR_q50,1.02944380425745e-07,0.00617186156199926,0.00416962014760455,nmass_mg_g
wc2_1_30s_vapr_06_q50,1.01568670213567e-07,0.00123943374502395,0.00200141767085019,nmass_mg_g
DTR_1_q50,1.00323079485989e-07,0.00815343300926448,0.00371096193136805,nmass_mg_g
R10mm_q50,9.71172375932733e-08,0.00431641443174926,0.00358587332693992,nmass_mg_g
TNx_q50,9.69443983575489e-08,0.00168879020238324,0.00112579743985323,nmass_mg_g
bdod_30_60cm_q50,9.31627069778037e-08,0.00302821810412725,0.00204311387232623,nmass_mg_g
wc2_1_30s_bio_5_q50,9.13121025093969e-08,0.00490897239749776,0.00266855689446691,nmass_mg_g
clay_5_15cm_q50,8.97512467962769e-08,0.00263461970535055,0.00366926572989201,nmass_mg_g
try_growth_formherbaceous non-graminoid,8.82112160481624e-08,0.000940685770625749,0.00454488596088896,nmass_mg_g
logSM,8.79001373191462e-08,0.00581673828113748,0.00150106325313764,nmass_mg_g
DTR_q50,8.58663675155834e-08,0.0042594218774047,0.00350248092398782,nmass_mg_g
CSDI_1_q50,8.38799954386909e-08,0.0134934501769855,0.00758870866864029,nmass_mg_g
SU_q50,8.32407540671201e-08,0.000899330162599552,0.00133427844723346,nmass_mg_g
sand_60_100cm_q50,8.22424182686613e-08,0.00284489548347381,0.00166784805904182,nmass_mg_g
sand_5_15cm_q50,8.15360373162301e-08,0.00543095835551997,0.00346078472251178,nmass_mg_g
soc_60_100cm_q50,8.00257555688592e-08,0.00199700264428992,0.00341908852103573,nmass_mg_g
bdod_60_100cm_q50,7.82335859256787e-08,0.00304200330680265,0.00371096193136805,nmass_mg_g
CWD_1_q50,7.64167771726575e-08,0.00322285693593214,0.00371096193136805,nmass_mg_g
wc2_1_30s_srad_12_q50,7.49513548186345e-08,0.00220480943088922,0.00187632906642205,nmass_mg_g
phh2o_30_60cm_q50,7.23776575959494e-08,0.00553691924175624,0.00225159487970646,nmass_mg_g
clay_60_100cm_q50,7.20313943775572e-08,0.00208670933632685,0.0028353417003711,nmass_mg_g
wc2_1_30s_vapr_03_q50,6.90936788929268e-08,0.000896655421781937,0.0013759746487095,nmass_mg_g
wc2_1_30s_bio_9_q50,6.83779353445503e-08,0.00400079501527071,0.00471167076679315,nmass_mg_g
SU_1_q50,6.65616781142143e-08,0.00482461518709606,0.00208481007380228,nmass_mg_g
bdod_100_200cm_q50,6.63614222206682e-08,0.00155855089949476,0.00145936705166159,nmass_mg_g
wc2_1_30s_bio_6_q50,6.19232859484845e-08,0.0024430671129506,0.00246007588708669,nmass_mg_g
TXn_1_q50,6.15896944621489e-08,0.00708291943433758,0.00266855689446691,nmass_mg_g
BEDD_q50,6.04718443622892e-08,0.00207415862941343,0.00220989867823041,nmass_mg_g
RR1_1_q50,5.83133772730547e-08,0.00291629048837475,0.00204311387232623,nmass_mg_g
wc2_1_30s_srad_08_q50,5.70346021564415e-08,0.00144621178515494,0.00254346829003878,nmass_mg_g
try_sla,5.61697016235465e-08,0.00364546598511527,0.00212650627527832,nmass_mg_g
nitrogen_60_100cm_q50,5.52430538068883e-08,0.00660084883928593,0.00446149355793687,nmass_mg_g
wc2_1_30s_srad_11_q50,5.02353441100391e-08,0.00165463581963523,0.00208481007380228,nmass_mg_g
TXx_q50,4.5919180734359e-08,0.00145670499913174,0.0013759746487095,nmass_mg_g
TG_1_q50,4.4704986930729e-08,0.00106742733552196,0.000875620230996956,nmass_mg_g
TX_q50,4.20658578540522e-08,0.00259346984661802,0.00179293666346996,nmass_mg_g
soc_100_200cm_q50,4.19212060789384e-08,0.00188363478348179,0.00266855689446691,nmass_mg_g
FD_q50,3.88636938867128e-08,0.000444829972898703,0.000667139223616729,nmass_mg_g
