Feature,Gain,Cover,Frequency,trait
p_phylo_T,0.536910753868033,0.0361399347539619,0.127092159177721,plant_height_m
logH,0.443704439793827,0.159156599228121,0.0469477047017154,plant_height_m
try_height,0.0114712498256651,0.249599669700981,0.13605111466074,plant_height_m
p_phylo_N,0.00762192134041184,0.00930663416263383,0.0269463157163692,plant_height_m
try_woodinessnon-woody,0.000284981045443496,0.000645271284778812,0.0347246336551149,plant_height_m
wc2_1_30s_bio_19_q50,2.76256531866713e-06,0.00181973990949228,0.00965344815612195,plant_height_m
p_phylo_R,9.74886068756285e-07,0.0123118260378571,0.0213209250642406,plant_height_m
RR1_q50,5.53699196669627e-07,0.00267469315915086,0.00458365164247517,plant_height_m
wc2_1_30s_bio_15_q50,1.92485381049334e-07,0.00238663007882794,0.00597263698867977,plant_height_m
wc2_1_30s_bio_2_q50,1.87979294897819e-07,0.00159458141863329,0.00576428918674908,plant_height_m
wc2_1_30s_srad_05_q50,1.78627390127878e-07,0.00800036544571022,0.00604208625599,plant_height_m
CSDI_q50,1.47281617519386e-07,0.00390083341092398,0.00569483991943885,plant_height_m
try_lma,1.46768212634383e-07,0.00534664048304734,0.0122925203139107,plant_height_m
p_phylo_L,1.24100695044609e-07,0.00647343142288933,0.0176401138967984,plant_height_m
cec_60_100cm_q50,1.23744723712381e-07,0.00472633133694469,0.00416695603861379,plant_height_m
CSDI_1_q50,1.1048631277702e-07,0.00150721393326672,0.00437530384054448,plant_height_m
wc2_1_30s_bio_14_q50,1.07334310507647e-07,0.00100322835339499,0.00479199944440586,plant_height_m
try_logLA,8.58214019160815e-08,0.0211569102563687,0.0173623168275575,plant_height_m
wc2_1_30s_bio_18_q50,8.42417711061628e-08,0.00338811108251559,0.00687547746371276,plant_height_m
wc2_1_30s_srad_03_q50,7.92709966655985e-08,0.00193157029076149,0.00284741995971942,plant_height_m
R10mm_1_q50,4.87117531778588e-08,0.00111406024911715,0.00277797069240919,plant_height_m
CSU_q50,4.86926259768122e-08,0.00171989135478763,0.00243072435585805,plant_height_m
wc2_1_30s_bio_10_q50,4.74182216496341e-08,0.000662994403238888,0.00472255017709563,plant_height_m
wc2_1_30s_elev_q50,4.67605636505634e-08,0.0080740037548049,0.00916730328495034,plant_height_m
try_ldmc,3.75087653877112e-08,0.00942720129243969,0.0122230710466005,plant_height_m
wc2_1_30s_bio_7_q50,3.46007793484678e-08,0.000978266214718825,0.00430585457323425,plant_height_m
wc2_1_30s_bio_4_q50,2.7727304118966e-08,0.00467191387463065,0.00444475310785471,plant_height_m
try_logNmass,2.75572710038909e-08,0.00720631981442148,0.01208417251198,plant_height_m
wc2_1_30s_bio_5_q50,2.37817877702701e-08,0.000416618094505159,0.00173623168275575,plant_height_m
family_code,2.08794628690546e-08,0.0136720129743212,0.0121536217792902,plant_height_m
p_phylo_M,1.68596168050166e-08,0.00981037012111879,0.0220848670046531,plant_height_m
R10mm_q50,1.67623360530496e-08,0.00103293329841962,0.00284741995971942,plant_height_m
sand_0_5cm_q50,1.47716613717146e-08,0.00483891058237418,0.00625043405792069,plant_height_m
aust_height,1.47650342458487e-08,0.0171023100711995,0.0125703173831516,plant_height_m
clay_0_5cm_q50,1.47510258175654e-08,0.00540430302338927,0.0067365789290923,plant_height_m
wc2_1_30s_srad_02_q50,1.42497423148359e-08,0.00219641858211558,0.00291686922702966,plant_height_m
try_leaf_typescale-shaped,1.37748469682482e-08,0.000111331138495687,0.0129175637197028,plant_height_m
wc2_1_30s_bio_8_q50,1.36926337009983e-08,0.00557479443054747,0.00715327453295368,plant_height_m
WSDI_1_q50,1.21889187841259e-08,0.00333119740633394,0.00513924578095701,plant_height_m
WW_1_q50,1.19387126900668e-08,0.0026497310204747,0.00291686922702966,plant_height_m
soc_60_100cm_q50,1.18513293018629e-08,0.00134196457523052,0.00222237655392736,plant_height_m
cec_30_60cm_q50,1.1344039665449e-08,0.00349195357940843,0.00402805750399333,plant_height_m
wc2_1_30s_bio_1_q50,1.11392518484053e-08,0.000537934088471311,0.00944510035419126,plant_height_m
wc2_1_30s_srad_07_q50,1.11034669733601e-08,0.00340483571542862,0.00298631849433988,plant_height_m
CDD_1_q50,1.07006701027642e-08,0.000606829591217521,0.0020834780193069,plant_height_m
cec_5_15cm_q50,1.0004813863684e-08,0.00585811470452192,0.00576428918674908,plant_height_m
wc2_1_30s_bio_3_q50,9.76898686766002e-09,0.00246051800930938,0.00520869504826724,plant_height_m
phh2o_0_5cm_q50,9.75354550392924e-09,0.00300194679719535,0.00263907215778874,plant_height_m
nitrogen_5_15cm_q50,9.60391928309151e-09,0.00292406492452573,0.00298631849433988,plant_height_m
clay_15_30cm_q50,8.76932986044746e-09,0.00116997543975176,0.00277797069240919,plant_height_m
try_seed_mass,8.37480085087441e-09,0.0229843884288505,0.0186818529064518,plant_height_m
bdod_100_200cm_q50,8.25061685622739e-09,0.0012685758875226,0.00180568095006598,plant_height_m
aust_ldmc,7.78138906619139e-09,0.0041512036618459,0.00659768039447184,plant_height_m
CDD_q50,7.74316675671752e-09,0.00491479548394972,0.00479199944440586,plant_height_m
CWD_1_q50,7.13138435448574e-09,0.00449068874784171,0.0039586082366831,plant_height_m
sand_60_100cm_q50,6.44904552661497e-09,0.00317842911763583,0.00180568095006598,plant_height_m
wc2_1_30s_bio_13_q50,6.43219329111237e-09,0.00178928610030736,0.00451420237516494,plant_height_m
wc2_1_30s_srad_01_q50,6.41506746603104e-09,0.000749613024445173,0.00236127508854782,plant_height_m
RR_1_q50,6.23898609570891e-09,0.00676698617372101,0.00347246336551149,plant_height_m
genus_code,5.98436566187814e-09,0.0065822663475174,0.0150010417390097,plant_height_m
CWD_q50,5.89793582562233e-09,0.00497320688845194,0.00590318772136954,plant_height_m
FD_q50,5.12061126921553e-09,0.00100971850945079,0.00145843461351483,plant_height_m
sla_mm2_mg,5.1026835298118e-09,0.00348945736554082,0.00145843461351483,plant_height_m
TR_q50,5.03278339823557e-09,0.000609325805085137,0.00263907215778874,plant_height_m
wc2_1_30s_bio_9_q50,4.94333123956607e-09,0.00644347685647794,0.00444475310785471,plant_height_m
wc2_1_30s_vapr_05_q50,4.37763022809386e-09,0.00358606084221757,0.00201402875199667,plant_height_m
