Feature,Gain,Cover,Frequency,trait
try_growth_formherbaceous non-graminoid,0.0754332652952706,0.00752630979066145,0.00816675740841565,ldmc_frac
EIVEres_N,0.0521868606061899,0.0223098159897674,0.0239169324103601,ldmc_frac
family_code,0.04357917182573,0.0367482238516774,0.0236447071634129,ldmc_frac
EIVEres_M,0.0367612689927771,0.027792130491496,0.021000233335926,ldmc_frac
EIVEres_T,0.0324307376619659,0.0233495434570622,0.0166057400637785,ldmc_frac
SDII_q50,0.0307699075008813,0.00825492108118148,0.0082056467294081,ldmc_frac
genus_code,0.0263002855648374,0.0388762247297257,0.0297892198802209,ldmc_frac
EIVEres_L,0.0257639410036281,0.0304518149850774,0.024850276114179,ldmc_frac
CWD_1_q50,0.0242584335386031,0.00732199468949592,0.00653340592673252,ldmc_frac
EIVEres_R,0.0216842168620481,0.0238046089096581,0.0216224624718052,ldmc_frac
CSDI_q50,0.0201248243763904,0.0142001106003234,0.0106945632729253,ldmc_frac
soc_15_30cm_q50,0.0188201113027149,0.00680002026265466,0.00665007388970989,ldmc_frac
wc2_1_30s_bio_8_q50,0.0155052929691198,0.0104137380798602,0.0145834953721708,ldmc_frac
WSDI_q50,0.0150745555860177,0.0163680035797357,0.0113945710507895,ldmc_frac
CWD_q50,0.0134446425375678,0.00882311968896825,0.00758341759352882,ldmc_frac
cec_100_200cm_q50,0.0127363003030469,0.0151627977660423,0.00812786808742319,ldmc_frac
wc2_1_30s_bio_1_q50,0.0113099936713992,0.00354659777364082,0.0463560706230069,ldmc_frac
wc2_1_30s_bio_2_q50,0.0109167037006006,0.0101714305012052,0.0167612973477483,ldmc_frac
wc2_1_30s_elev_q50,0.0107095814936156,0.0125330851158137,0.0155946177179746,ldmc_frac
ID_1_q50,0.0102883828527308,0.00143527137182393,0.00202224469160768,ldmc_frac
WW_1_q50,0.0102080884538997,0.011462752597208,0.00719452438360426,ldmc_frac
wc2_1_30s_bio_12_q50,0.0101350341864051,0.00830979910422181,0.0208446760519561,ldmc_frac
cec_5_15cm_q50,0.0098260776779652,0.0126766122529961,0.00847787197635529,ldmc_frac
cec_30_60cm_q50,0.00955994009646768,0.00451688343485768,0.00579450882787587,ldmc_frac
WSDI_1_q50,0.00902307529538232,0.0075719007636488,0.00937232635918177,ldmc_frac
try_leaf_typeneedleleaved,0.0088418399516182,0.0125240091350801,0.00241113790153224,ldmc_frac
try_growth_formsucculent,0.00870410227341025,0.00318250319770019,0.00147779419771331,ldmc_frac
wc2_1_30s_srad_09_q50,0.00838402886067992,0.00718479963189511,0.00486116512405693,ldmc_frac
cec_15_30cm_q50,0.00819813865924919,0.00546817285732981,0.00773897487749864,ldmc_frac
DTR_q50,0.00788701322071377,0.00753834074186644,0.00750563895154391,ldmc_frac
CDD_q50,0.00777110286628561,0.00879019287514405,0.00785564284047601,ldmc_frac
wc2_1_30s_srad_06_q50,0.00775591353031224,0.0134024796423641,0.00964455160612896,ldmc_frac
nitrogen_60_100cm_q50,0.0076201233389873,0.0124832727564387,0.00948899432215913,ldmc_frac
WW_q50,0.00758844103388173,0.00653913858389372,0.00773897487749864,ldmc_frac
R20mm_q50,0.00758087328792945,0.00519504915804449,0.0056778408648985,ldmc_frac
wc2_1_30s_bio_10_q50,0.00755910966699162,0.00486810278231577,0.0194446604962277,ldmc_frac
nitrogen_5_15cm_q50,0.00741868812738222,0.00669891805866883,0.00583339814886832,ldmc_frac
wc2_1_30s_srad_04_q50,0.0072604404091623,0.0129187087623317,0.00898343314925721,ldmc_frac
wc2_1_30s_bio_16_q50,0.00719101037835528,0.00618813030575502,0.00509450105001167,ldmc_frac
soc_5_15cm_q50,0.00675081388158812,0.00878301651828494,0.00762230691452127,ldmc_frac
wc2_1_30s_srad_03_q50,0.00670024520057359,0.00691631945763628,0.00645562728474761,ldmc_frac
wc2_1_30s_bio_4_q50,0.00642045473498157,0.00276078669756721,0.00735008166757408,ldmc_frac
try_growth_formfern,0.00633950548610238,0.00396768106581564,0.00256669518550206,ldmc_frac
try_growth_formherbaceous graminoid,0.00627233083924787,0.00162164558084166,0.0123279147546084,ldmc_frac
wc2_1_30s_bio_3_q50,0.00605370154806537,0.00380579089784667,0.00898343314925721,ldmc_frac
wc2_1_30s_bio_18_q50,0.00604619940087297,0.00487886731760445,0.0129501438904877,ldmc_frac
nitrogen_0_5cm_q50,0.00604382078225594,0.0131453972113522,0.0089056545072723,ldmc_frac
wc2_1_30s_srad_08_q50,0.00595917714772624,0.00929739244962831,0.00610562339581551,ldmc_frac
wc2_1_30s_bio_19_q50,0.00582899583996308,0.00479359531257256,0.0104223380259781,ldmc_frac
nitrogen_30_60cm_q50,0.00567889715612839,0.00580271772855641,0.00540561561795131,ldmc_frac
wc2_1_30s_bio_14_q50,0.00541799572073043,0.00690745454622207,0.00851676129734775,ldmc_frac
wc2_1_30s_bio_15_q50,0.00519128981922707,0.00668878673133831,0.0163724041378238,ldmc_frac
clay_30_60cm_q50,0.00509087138927163,0.00412978230310399,0.0049778330870343,ldmc_frac
wc2_1_30s_vapr_09_q50,0.00493109631957883,0.00840731312977808,0.00373337481527573,ldmc_frac
