Feature,Gain,Cover,Frequency,trait
genus_code,0.473769238334069,0.0643557795809163,0.0371160522619458,leaf_area_mm2
wc2_1_30s_bio_1_q50,0.22848770209889,0.00377077435947575,0.0665597752630324,leaf_area_mm2
cec_30_60cm_q50,0.0772949152253929,0.0210917313110503,0.00866615429464925,leaf_area_mm2
wc2_1_30s_vapr_04_q50,0.050805714136618,0.0049947739257587,0.00280921209551321,leaf_area_mm2
try_habitat_adaptationterrestrial,0.0497455325841908,0.00016974894609691,0.0051811411761588,leaf_area_mm2
family_code,0.0255282370488289,0.0176206820015301,0.0206185567010309,leaf_area_mm2
CSDI_q50,0.011632717697361,0.0170327389957813,0.0104815413563724,leaf_area_mm2
EIVEres_N,0.011523037196325,0.0348610892939695,0.029205204992977,leaf_area_mm2
wc2_1_30s_bio_15_q50,0.00526647783427726,0.00980219073448778,0.0187236636366046,leaf_area_mm2
clay_15_30cm_q50,0.00487087193721998,0.00467272974685783,0.00598945220364138,leaf_area_mm2
wc2_1_30s_vapr_10_q50,0.00407991047535307,0.00591789000978798,0.00242493308244772,leaf_area_mm2
CWD_q50,0.00385123371594503,0.00753645161683941,0.0058834442000371,leaf_area_mm2
wc2_1_30s_bio_2_q50,0.00372863562123119,0.00980497097200347,0.014019558476665,leaf_area_mm2
wc2_1_30s_bio_13_q50,0.00361512568637072,0.00848513044024907,0.0122174224153924,leaf_area_mm2
EIVEres_M,0.0028050627747441,0.0278565897884656,0.0235205257996979,leaf_area_mm2
wc2_1_30s_vapr_07_q50,0.00267959310432708,0.00699476867419895,0.00463785015768691,leaf_area_mm2
wc2_1_30s_bio_19_q50,0.00251150424382989,0.0170756009908149,0.0139400524739618,leaf_area_mm2
WW_q50,0.00217326815218836,0.00487043552575141,0.00626772321310259,leaf_area_mm2
wc2_1_30s_bio_10_q50,0.00185804963603712,0.00566604682815831,0.0252696578591684,leaf_area_mm2
bdod_15_30cm_q50,0.00172506225338029,0.00367632351276214,0.00204065406938224,leaf_area_mm2
try_woodinessnon-woody,0.0015797669934632,0.000445146917790076,0.0181803726181327,leaf_area_mm2
EIVEres_T,0.00144522752588762,0.0113997461025318,0.0118463944027774,leaf_area_mm2
bdod_5_15cm_q50,0.00115643954813613,0.00134393592355706,0.00223941907614025,leaf_area_mm2
sand_100_200cm_q50,0.00114483957149837,0.00595364695339256,0.00551241618742215,leaf_area_mm2
wc2_1_30s_bio_9_q50,0.00113313216685014,0.0106060655206219,0.00763257625950759,leaf_area_mm2
wc2_1_30s_srad_01_q50,0.000996690286617019,0.00514058193769272,0.0063869822171574,leaf_area_mm2
wc2_1_30s_bio_14_q50,0.000959734239058674,0.00635786259664608,0.010521294357724,leaf_area_mm2
EIVEres_L,0.000911207070525846,0.0302764776305951,0.0219304057456338,leaf_area_mm2
wc2_1_30s_bio_18_q50,0.000834203359658943,0.0116569180727332,0.012257175416744,leaf_area_mm2
wc2_1_30s_elev_q50,0.000825517555179679,0.00879141993989435,0.0143110804865767,leaf_area_mm2
phh2o_0_5cm_q50,0.000802091378500711,0.00210541208757686,0.00592319720138871,leaf_area_mm2
wc2_1_30s_srad_04_q50,0.000796793553672643,0.00568126090567473,0.00808311027482575,leaf_area_mm2
wc2_1_30s_srad_10_q50,0.000788646513157527,0.00659055303094543,0.00392229613335807,leaf_area_mm2
cec_0_5cm_q50,0.000769930180323728,0.00364921619698415,0.00548591418652108,leaf_area_mm2
wc2_1_30s_bio_12_q50,0.000749233924273668,0.00655858029951499,0.0236795378051043,leaf_area_mm2
wc2_1_30s_srad_02_q50,0.000701005118302483,0.00326546619099892,0.00365727612434739,leaf_area_mm2
try_habitat_adaptationsemiaquatic,0.000673807094209318,0.00999626675884699,0.00225267007659078,leaf_area_mm2
phylo_terminal,0.000658764924249961,0.00807079782159123,0.0090769353086158,leaf_area_mm2
wc2_1_30s_bio_8_q50,0.000596994380351731,0.00665619752784369,0.0106008003604272,leaf_area_mm2
try_growth_formshrub,0.000532440389193794,0.00432025741292412,0.00263694908965627,leaf_area_mm2
wc2_1_30s_bio_16_q50,0.000444923161132249,0.00526407082068132,0.00606895820634458,leaf_area_mm2
R10mm_1_q50,0.000425672124113768,0.00660530373554257,0.00532690218111467,leaf_area_mm2
DTR_q50,0.000414533244736073,0.00851100209490897,0.00602920520499298,leaf_area_mm2
