Feature,Gain,Cover,Frequency,trait
try_leaf_typeneedleleaved,0.116870209277601,0.00408706711344857,0.00173442261557414,lma_g_m2
try_woodinesswoody,0.0729446474089354,0.0021724641688465,0.000810477857744926,lma_g_m2
EIVEres_L,0.0575827793939271,0.0297728414775534,0.0238928872463204,lma_g_m2
wc2_1_30s_srad_05_q50,0.0559719020011582,0.00937212836904345,0.00912598067820787,lma_g_m2
try_leaf_typescale-shaped,0.0503071851375385,0.00444641779777003,0.00134539324385658,lma_g_m2
try_growth_formherbaceous non-graminoid,0.0479318130307006,0.00375301745666272,0.00797510212021008,lma_g_m2
EIVEres_R,0.0470526238032649,0.0323798935968141,0.0198404979575958,lma_g_m2
EIVEres_N,0.0398057957478569,0.025943825821639,0.0241522401607988,lma_g_m2
WSDI_1_q50,0.0394156020749489,0.0140690834094029,0.0128865979381443,lma_g_m2
try_woodinessnon-woody,0.0327036139338166,0.00302375814043916,0.0136160280101148,lma_g_m2
FD_1_q50,0.0273319342654861,0.00410647090900219,0.00157232704402516,lma_g_m2
wc2_1_30s_bio_10_q50,0.0254827121897252,0.00406357330216551,0.0229527329313363,lma_g_m2
wc2_1_30s_elev_q50,0.0214183672174678,0.0243463417710358,0.019013810542696,lma_g_m2
EIVEres_T,0.0182055651019747,0.0171872923781986,0.0139240095960578,lma_g_m2
EIVEres_M,0.0156248564303362,0.0228686095763248,0.0212993581015367,lma_g_m2
wc2_1_30s_bio_19_q50,0.0155689619668406,0.0133074844339233,0.0131945795240874,lma_g_m2
wc2_1_30s_srad_07_q50,0.0150513943152526,0.00909752661530178,0.00729430071970434,lma_g_m2
family_code,0.0129912141265394,0.0254582553495741,0.0205375089152564,lma_g_m2
WW_1_q50,0.0129048498268863,0.0133134767825501,0.007667120534267,lma_g_m2
clay_5_15cm_q50,0.0119651591540633,0.00445973412805192,0.00434416131751281,lma_g_m2
phh2o_0_5cm_q50,0.0107796336265874,0.00422688858140848,0.00711599559100046,lma_g_m2
wc2_1_30s_srad_04_q50,0.0103584549955797,0.0038283498394003,0.00591648836153796,lma_g_m2
wc2_1_30s_bio_1_q50,0.00975965858613627,0.00558115937107733,0.0611100304739675,lma_g_m2
wc2_1_30s_bio_14_q50,0.00878839093825686,0.00610087671865077,0.0113953186798937,lma_g_m2
genus_code,0.00813236298792869,0.0369533872321313,0.0287719639499449,lma_g_m2
nitrogen_30_60cm_q50,0.00694164891335388,0.00444832013066744,0.00468456201776568,lma_g_m2
CSDI_1_q50,0.00645531930151545,0.0083725475480974,0.00831550282046294,lma_g_m2
try_growth_formtree,0.00620523730377682,0.00117906592981704,0.00192893730143292,lma_g_m2
wc2_1_30s_bio_7_q50,0.00586764206048795,0.0048092877979517,0.00718083381962005,lma_g_m2
wc2_1_30s_bio_15_q50,0.00575718498501102,0.00976315289610685,0.0186409907281333,lma_g_m2
wc2_1_30s_vapr_07_q50,0.00571372661037488,0.00561121623085647,0.00452246644621669,lma_g_m2
WSDI_q50,0.00499378098566305,0.0159055955885661,0.0103092783505155,lma_g_m2
wc2_1_30s_bio_2_q50,0.00487805286892111,0.00610059136871616,0.0135673993386501,lma_g_m2
soc_30_60cm_q50,0.00469176797716954,0.00764671243108918,0.0055112494326655,lma_g_m2
CSDI_q50,0.00448270984297503,0.0156484001808358,0.010228230564741,lma_g_m2
SDII_q50,0.0043908333652637,0.00369908631902104,0.00648382286195941,lma_g_m2
