Feature,Gain,Cover,Frequency,trait
EIVEres_N,0.10596481746648,0.0247862873765618,0.0204301075268817,nmass_mg_g
try_growth_formherbaceous non-graminoid,0.0812954668509901,0.00415697286183564,0.00802867383512545,nmass_mg_g
family_code,0.0499634853771627,0.021163638159305,0.0213620071684588,nmass_mg_g
genus_code,0.0312242530846218,0.0198496576445541,0.0255197132616487,nmass_mg_g
EIVEres_M,0.0310190114175155,0.0317767130959235,0.023673835125448,nmass_mg_g
wc2_1_30s_bio_15_q50,0.0251946902165746,0.0158401540683678,0.0208064516129032,nmass_mg_g
EIVEres_L,0.022518505671942,0.0271383888138823,0.0230465949820789,nmass_mg_g
EIVEres_R,0.0202107845575143,0.0201832030912435,0.0203763440860215,nmass_mg_g
wc2_1_30s_bio_2_q50,0.0180512297036772,0.014469722221287,0.0186559139784946,nmass_mg_g
wc2_1_30s_bio_16_q50,0.0169379502040239,0.0117587115179797,0.00724014336917563,nmass_mg_g
wc2_1_30s_bio_19_q50,0.0159597424145891,0.0103070256657161,0.0120430107526882,nmass_mg_g
phylo_terminal,0.0154223000893244,0.00940593670492563,0.0111290322580645,nmass_mg_g
EIVEres_T,0.0144733206145186,0.0156101962553575,0.0134229390681004,nmass_mg_g
WSDI_1_q50,0.0131748385276457,0.0136420312154544,0.0112365591397849,nmass_mg_g
wc2_1_30s_bio_1_q50,0.0120934799411909,0.00480116898027346,0.058584229390681,nmass_mg_g
wc2_1_30s_elev_q50,0.0119450220697306,0.00937462473331515,0.0147849462365591,nmass_mg_g
wc2_1_30s_bio_8_q50,0.0114987535417523,0.00590875983268858,0.0110752688172043,nmass_mg_g
WSDI_q50,0.0110622120697612,0.00850080748973383,0.00906810035842294,nmass_mg_g
wc2_1_30s_bio_10_q50,0.0107405652804451,0.00977517106549365,0.0227956989247312,nmass_mg_g
cec_5_15cm_q50,0.010655619208709,0.0106210432161323,0.00775985663082437,nmass_mg_g
cec_0_5cm_q50,0.0105084945402369,0.00316621269919296,0.00593189964157706,nmass_mg_g
wc2_1_30s_srad_06_q50,0.0104438180432066,0.0151455669992021,0.0104301075268817,nmass_mg_g
clay_15_30cm_q50,0.010224800818308,0.00549642942517281,0.00663082437275986,nmass_mg_g
wc2_1_30s_bio_3_q50,0.0102062293967209,0.0127752844170755,0.0105913978494624,nmass_mg_g
clay_5_15cm_q50,0.00993486365527288,0.00398413975688891,0.00537634408602151,nmass_mg_g
clay_0_5cm_q50,0.00961948824582892,0.00614556363232338,0.0101612903225806,nmass_mg_g
cec_30_60cm_q50,0.00953108737106427,0.0111268606213238,0.00770609318996416,nmass_mg_g
CSDI_q50,0.00902760636199988,0.00707369985174511,0.00924731182795699,nmass_mg_g
nitrogen_0_5cm_q50,0.00891073151928726,0.0103601101193783,0.00863799283154122,nmass_mg_g
WW_q50,0.00852142053115574,0.0116909250274681,0.00847670250896058,nmass_mg_g
soc_5_15cm_q50,0.00825237632654195,0.00599023829644918,0.00609318996415771,nmass_mg_g
wc2_1_30s_bio_18_q50,0.0075396828532589,0.0071754918168014,0.0127777777777778,nmass_mg_g
wc2_1_30s_srad_07_q50,0.00717482396040639,0.00914332016883774,0.00632616487455197,nmass_mg_g
BEDD_1_q50,0.00707256851352687,0.00228779405476565,0.00168458781362007,nmass_mg_g
soc_15_30cm_q50,0.00696367804627448,0.00922266627610874,0.00587813620071685,nmass_mg_g
wc2_1_30s_bio_12_q50,0.00664375560267012,0.00708582061494917,0.0251254480286738,nmass_mg_g
R10mm_q50,0.00658850538334963,0.00766705610229924,0.00682795698924731,nmass_mg_g
cec_15_30cm_q50,0.00647654819998963,0.00844199934233637,0.00707885304659498,nmass_mg_g
sand_0_5cm_q50,0.00632229870965391,0.0101218473389874,0.00915770609318996,nmass_mg_g
soc_0_5cm_q50,0.00628931306754622,0.00439792914516073,0.00774193548387097,nmass_mg_g
clay_100_200cm_q50,0.00622243464652349,0.0133461948098443,0.00664874551971326,nmass_mg_g
clay_60_100cm_q50,0.00616728919757536,0.00722857627046361,0.00494623655913979,nmass_mg_g
cec_60_100cm_q50,0.00614395858182381,0.00601447982285729,0.00578853046594982,nmass_mg_g
TR_q50,0.00610756571989835,0.00522326333592583,0.00422939068100358,nmass_mg_g
wc2_1_30s_srad_04_q50,0.00597257520671836,0.0101990610897688,0.00765232974910394,nmass_mg_g
wc2_1_30s_vapr_07_q50,0.00581240837306043,0.0057166232900465,0.00397849462365591,nmass_mg_g
R20mm_q50,0.00580466584254307,0.00724911423033715,0.00593189964157706,nmass_mg_g
CSDI_1_q50,0.0057118445311513,0.00787928168765916,0.00759856630824373,nmass_mg_g
wc2_1_30s_srad_01_q50,0.00565181547322156,0.00318708734693328,0.00639784946236559,nmass_mg_g
sand_5_15cm_q50,0.00549565697939281,0.00912760806838804,0.00543010752688172,nmass_mg_g
wc2_1_30s_srad_02_q50,0.00541125178470402,0.00639864067885252,0.0043010752688172,nmass_mg_g
soc_30_60cm_q50,0.00530439910119402,0.00653915174858844,0.00551971326164875,nmass_mg_g
CDD_1_q50,0.00529058600068487,0.00830867094709175,0.00627240143369176,nmass_mg_g
TR_1_q50,0.00523240002822223,0.00438255373257781,0.00385304659498208,nmass_mg_g
wc2_1_30s_bio_4_q50,0.0050154328102761,0.0117796983950089,0.00896057347670251,nmass_mg_g
sand_100_200cm_q50,0.0049626241771748,0.00498174590615611,0.00482078853046595,nmass_mg_g
wc2_1_30s_bio_14_q50,0.00485493289414271,0.00672343224100566,0.012258064516129,nmass_mg_g
wc2_1_30s_bio_5_q50,0.00476802150483844,0.00671883084015968,0.00512544802867384,nmass_mg_g
wc2_1_30s_bio_11_q50,0.00464982349963157,0.00517915722537774,0.015573476702509,nmass_mg_g
wc2_1_30s_vapr_08_q50,0.00462064058549731,0.00323826390268374,0.00268817204301075,nmass_mg_g
try_growth_formherbaceous graminoid,0.0044991754908457,0.000556096126630551,0.0148028673835125,nmass_mg_g
wc2_1_30s_srad_05_q50,0.00432856523377963,0.00610549777617664,0.00908602150537634,nmass_mg_g
R20mm_1_q50,0.00413901205684776,0.00395271555598951,0.00453405017921147,nmass_mg_g
WW_1_q50,0.0040987811069482,0.00785919264494132,0.00609318996415771,nmass_mg_g
BEDD_q50,0.00408769771118224,0.00345868222613528,0.00301075268817204,nmass_mg_g
cec_100_200cm_q50,0.00406546762088367,0.0042929947600145,0.00401433691756272,nmass_mg_g
CDD_q50,0.00404682373312232,0.010825973897712,0.00806451612903226,nmass_mg_g
