Feature,Gain,Cover,Frequency,trait
WSDI_1_q50,0.898172818411894,0.0165083577929108,0.0180497646267653,plant_height_m
CFD_q50,0.0596144772537423,0.0432209147806187,0.00879623402824479,plant_height_m
wc2_1_30s_srad_01_q50,0.0164882486886048,0.00557150822287488,0.0130464021519839,plant_height_m
try_growth_formtree,0.0105958498545914,0.0205790924352219,0.0106792199058507,plant_height_m
wc2_1_30s_bio_1_q50,0.0104428743542829,0.00457493392806413,0.0640215198386012,plant_height_m
WW_q50,0.00076300124384722,0.00457705623413766,0.00777404169468729,plant_height_m
CFD_1_q50,0.000683467184430392,0.00234908963680976,0.00667114996637525,plant_height_m
wc2_1_30s_bio_15_q50,0.000498983269707899,0.010878637746305,0.0193678547410894,plant_height_m
try_woodinessnon-woody,0.000466685198002647,0.00799942637098699,0.0211701412239408,plant_height_m
try_leaf_typeneedleleaved,0.000393649470690973,0.00826804968257881,0.0039004707464694,plant_height_m
wc2_1_30s_vapr_03_q50,0.000191957618451868,0.000632901989783219,0.00129119031607263,plant_height_m
try_growth_formshrub/tree,0.000168660572407034,0.00822742268059991,0.00320107599193006,plant_height_m
CSDI_q50,0.000140938393017041,0.00404071917069981,0.00723604572965703,plant_height_m
WW_1_q50,0.000103227656240618,0.00346496785161078,0.00476126429051782,plant_height_m
wc2_1_30s_srad_08_q50,8.87419119761454e-05,0.0033082203887519,0.00847343644922663,plant_height_m
EIVEres_L,7.79880306481115e-05,0.0286471905670165,0.0238601210490921,plant_height_m
EIVEres_M,7.36573451422172e-05,0.022225850354986,0.0187491593813046,plant_height_m
genus_code,6.80922384057791e-05,0.0248891928839684,0.0247209145931406,plant_height_m
TNn_q50,6.02561965081634e-05,0.000862869012178702,0.00153328850033625,plant_height_m
wc2_1_30s_bio_19_q50,5.70497682836119e-05,0.0111227029447603,0.0107061197041022,plant_height_m
EIVEres_N,5.34945390419762e-05,0.0254038521067981,0.0293476798924008,plant_height_m
wc2_1_30s_bio_16_q50,5.26451526453405e-05,0.00601188673313123,0.00610625420309348,plant_height_m
wc2_1_30s_srad_12_q50,5.11830581576097e-05,0.00213155326427349,0.00153328850033625,plant_height_m
phylo_terminal,3.57392490516269e-05,0.0142879708601312,0.0124008069939475,plant_height_m
wc2_1_30s_elev_q50,3.27312276771133e-05,0.00892596456537142,0.0153328850033625,plant_height_m
clay_100_200cm_q50,3.22349509174127e-05,0.00882409387384224,0.00570275722932078,plant_height_m
phh2o_30_60cm_q50,3.10043683352181e-05,0.000492678195639631,0.00156018829858776,plant_height_m
EIVEres_T,2.91425581555516e-05,0.0211874363118686,0.0144451916610625,plant_height_m
wc2_1_30s_srad_03_q50,2.89553123070497e-05,0.00847376177841973,0.00559515803631473,plant_height_m
phh2o_60_100cm_q50,2.78263651702322e-05,0.00314935061981949,0.00268997982515131,plant_height_m
TR_q50,2.47110391136955e-05,0.00243049523405853,0.00317417619367855,plant_height_m
WSDI_q50,2.21919474968407e-05,0.0104018768462168,0.00965702757229321,plant_height_m
phh2o_5_15cm_q50,1.93815474955196e-05,0.000707182702356578,0.00190988567585743,plant_height_m
family_code,1.73440994347908e-05,0.0406473154798883,0.0226765299260256,plant_height_m
wc2_1_30s_srad_02_q50,1.63467870431211e-05,0.0148108161206731,0.00637525218560861,plant_height_m
CSDI_1_q50,1.58192818274149e-05,0.0130694639873462,0.0109482178883658,plant_height_m
wc2_1_30s_bio_12_q50,1.49402231391515e-05,0.00768471869894148,0.0206590450571621,plant_height_m
RR_q50,1.48863292393611e-05,0.00366719330175948,0.00392737054472091,plant_height_m
