Feature,Gain,Cover,Frequency,trait
EIVEres_M,0.328998581533437,0.0361807178729672,0.0316470548794797,seed_mass_mg
genus_code,0.264401734871908,0.0421232520249629,0.0520299037849073,seed_mass_mg
try_growth_formtree,0.118839863324252,0.0900983281423224,0.018421670186731,seed_mass_mg
EIVEres_N,0.0934389516731337,0.0260071306504116,0.0334573736967381,seed_mass_mg
wc2_1_30s_bio_19_q50,0.060568897996593,0.0078658998721076,0.0102584732977974,seed_mass_mg
family_code,0.024371921473777,0.0288170920014818,0.0239364376948607,seed_mass_mg
wc2_1_30s_srad_09_q50,0.0214587152957214,0.00320931995576396,0.00388883301485132,seed_mass_mg
WW_1_q50,0.0144108974624047,0.00365125077357422,0.00419055281772771,seed_mass_mg
wc2_1_30s_bio_1_q50,0.0123773337559306,0.00480001702888525,0.0599751919273191,seed_mass_mg
wc2_1_30s_bio_2_q50,0.0123517797328514,0.0134118094147473,0.017868517214791,seed_mass_mg
wc2_1_30s_bio_13_q50,0.00809767364689512,0.00241841416162716,0.00963827148077374,seed_mass_mg
wc2_1_30s_bio_15_q50,0.00766608492811216,0.00895959564990096,0.0190083475812129,seed_mass_mg
EIVEres_L,0.00549197597155855,0.0204847529962148,0.0200978913138221,seed_mass_mg
soc_100_200cm_q50,0.00378086867637299,0.0049027371394324,0.0130074759462268,seed_mass_mg
cec_0_5cm_q50,0.00336936231916382,0.00825432249545034,0.00588353615608971,seed_mass_mg
wc2_1_30s_bio_12_q50,0.00281150027782167,0.00330901314290144,0.0277582218646284,seed_mass_mg
wc2_1_30s_bio_18_q50,0.00275012739217656,0.00875786585105076,0.0111971571289685,seed_mass_mg
EIVEres_T,0.00239667861050128,0.0131168308463415,0.0128398538335177,seed_mass_mg
wc2_1_30s_srad_02_q50,0.00212215069452667,0.00477853563694573,0.00449227262060411,seed_mass_mg
wc2_1_30s_vapr_07_q50,0.00191872497404186,0.0202846831231054,0.00641992691675886,seed_mass_mg
clay_60_100cm_q50,0.0016702259257706,0.00926140920665119,0.0135606289181669,seed_mass_mg
wc2_1_30s_bio_7_q50,0.00142994453606201,0.00533773532620763,0.00709041536759529,seed_mass_mg
R20mm_q50,0.00085303084002124,0.00438337566794924,0.00573267625465151,seed_mass_mg
wc2_1_30s_bio_4_q50,0.000832164343558429,0.00574754169879925,0.00791176371986992,seed_mass_mg
wc2_1_30s_bio_14_q50,0.000619572604702506,0.00569862271079153,0.00883368533977002,seed_mass_mg
try_growth_formshrub/tree,0.000450611204007807,0.00791423300397152,0.00296691139495122,seed_mass_mg
wc2_1_30s_srad_01_q50,0.000437319972964581,0.00322445457281225,0.00522980991652419,seed_mass_mg
sand_100_200cm_q50,0.0002679747747231,0.0153882927585642,0.0066378356632807,seed_mass_mg
cec_5_15cm_q50,0.000190740362090698,0.00431473285643341,0.00568238962083878,seed_mass_mg
cec_30_60cm_q50,0.000181126068341345,0.0062425901403145,0.00591706057863153,seed_mass_mg
wc2_1_30s_bio_10_q50,0.000122197475115825,0.00706649916388564,0.0208521908210131,seed_mass_mg
clay_0_5cm_q50,0.00011246155717318,0.00455278573619953,0.00968855811458648,seed_mass_mg
GSL_q50,9.03664530320196e-05,0.0034397567056606,0.00184384323980019,seed_mass_mg
cec_15_30cm_q50,8.67875619251516e-05,0.0214357928029916,0.00985618022729558,seed_mass_mg
wc2_1_30s_elev_q50,8.59136702974386e-05,0.0164436149589383,0.0143484528478997,seed_mass_mg
CWD_q50,8.40864334619542e-05,0.0109855838378694,0.0074088973817426,seed_mass_mg
clay_100_200cm_q50,5.22225810572057e-05,0.00839951717642335,0.00692279325488619,seed_mass_mg
phh2o_0_5cm_q50,4.91343265600198e-05,0.00362146975293079,0.00440846156424956,seed_mass_mg
try_leaf_typeneedleleaved,4.83055332457417e-05,0.000479327968323149,0.00362063763451675,seed_mass_mg
TX_q50,4.65867777223509e-05,0.0018713221660039,0.00115659257769285,seed_mass_mg
sand_60_100cm_q50,4.56379242616313e-05,0.00458793710482783,0.00425760166281136,seed_mass_mg
wc2_1_30s_bio_11_q50,4.38254481183084e-05,0.00494081778877972,0.0152871366790707,seed_mass_mg
nitrogen_5_15cm_q50,4.17116485737432e-05,0.00860515268289892,0.00531362097287874,seed_mass_mg
sand_0_5cm_q50,4.0631009502842e-05,0.00503855812210453,0.00660431124073888,seed_mass_mg
BEDD_q50,3.27074308494201e-05,0.00641512477466508,0.00373797311341312,seed_mass_mg
