species,label,requirement,joint_prob,threshold,pass
Acer saccharum,ThePioneer,"T=high,M=low",1.5e-4,0.6,FALSE
Agropyron cristatum,ThePioneer,"T=high,M=low",0.00305,0.6,FALSE
Agrostis hyemalis,ThePioneer,"T=high,M=low",0,0.6,FALSE
Acer saccharum,RichSoilSpecialist,"M=high,N=high",0.09465,0.6,FALSE
Agropyron cristatum,RichSoilSpecialist,"M=high,N=high",0.0164,0.6,FALSE
Agrostis hyemalis,RichSoilSpecialist,"M=high,N=high",0.3251,0.6,FALSE
Acer saccharum,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Agropyron cristatum,SunVsWaterTradeoff,"L=high,M=low",0.0651,0.6,FALSE
Agrostis hyemalis,SunVsWaterTradeoff,"L=high,M=low",9e-4,0.6,FALSE
Acer saccharum,LushShadePlant,"L=low,M=high,N=high",0.0532,0.6,FALSE
Agropyron cristatum,LushShadePlant,"L=low,M=high,N=high",5.5e-4,0.6,FALSE
Agrostis hyemalis,LushShadePlant,"L=low,M=high,N=high",8e-4,0.6,FALSE
Acer saccharum,CoolClimateSpecialist,"T=low,M=med,N=high",1e-4,0.6,FALSE
Agropyron cristatum,CoolClimateSpecialist,"T=low,M=med,N=high",0.0296,0.6,FALSE
Agrostis hyemalis,CoolClimateSpecialist,"T=low,M=med,N=high",0.06825,0.6,FALSE
