species,label,requirement,joint_prob,threshold,pass
Acer saccharum,ThePioneer,"T=high,M=low",0,0.6,FALSE
Agropyron cristatum,ThePioneer,"T=high,M=low",9.5e-4,0.6,FALSE
Agrostis hyemalis,ThePioneer,"T=high,M=low",0,0.6,FALSE
Ambrosia tenuifolia,ThePioneer,"T=high,M=low",0,0.6,FALSE
Betula alleghaniensis,ThePioneer,"T=high,M=low",0,0.6,FALSE
Acer saccharum,RichSoilSpecialist,"M=high,N=high",0.0865,0.6,FALSE
Agropyron cristatum,RichSoilSpecialist,"M=high,N=high",0.00805,0.6,FALSE
Agrostis hyemalis,RichSoilSpecialist,"M=high,N=high",0,0.6,FALSE
Ambrosia tenuifolia,RichSoilSpecialist,"M=high,N=high",0,0.6,FALSE
Betula alleghaniensis,RichSoilSpecialist,"M=high,N=high",0.0667,0.6,FALSE
Acer saccharum,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Agropyron cristatum,SunVsWaterTradeoff,"L=high,M=low",0.02535,0.6,FALSE
Agrostis hyemalis,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Ambrosia tenuifolia,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Betula alleghaniensis,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Acer saccharum,LushShadePlant,"L=low,M=high,N=high",0.0439,0.6,FALSE
Agropyron cristatum,LushShadePlant,"L=low,M=high,N=high",9.5e-4,0.6,FALSE
Agrostis hyemalis,LushShadePlant,"L=low,M=high,N=high",0,0.6,FALSE
Ambrosia tenuifolia,LushShadePlant,"L=low,M=high,N=high",0,0.6,FALSE
Betula alleghaniensis,LushShadePlant,"L=low,M=high,N=high",0.016,0.6,FALSE
Acer saccharum,CoolClimateSpecialist,"T=low,M=med,N=high",0,0.6,FALSE
Agropyron cristatum,CoolClimateSpecialist,"T=low,M=med,N=high",0.026950000000000002,0.6,FALSE
Agrostis hyemalis,CoolClimateSpecialist,"T=low,M=med,N=high",0,0.6,FALSE
Ambrosia tenuifolia,CoolClimateSpecialist,"T=low,M=med,N=high",0,0.6,FALSE
Betula alleghaniensis,CoolClimateSpecialist,"T=low,M=med,N=high",0,0.6,FALSE
