species,label,requirement,joint_prob,threshold,pass
Abies alba,SunnyNeutral,"L=high,M=med,R=med",0.0189,0.6,FALSE
Abies balsamea,SunnyNeutral,"L=high,M=med,R=med",0.0334,0.6,FALSE
Abies concolor,SunnyNeutral,"L=high,M=med,R=med",0.009,0.6,FALSE
Abies grandis,SunnyNeutral,"L=high,M=med,R=med",0.00225,0.6,FALSE
Abies lasiocarpa,SunnyNeutral,"L=high,M=med,R=med",0.01005,0.6,FALSE
Abutilon theophrasti,SunnyNeutral,"L=high,M=med,R=med",9e-4,0.6,FALSE
Acacia mearnsii,SunnyNeutral,"L=high,M=med,R=med",0.1737,0.6,FALSE
Acacia melanoxylon,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Acalypha virginica,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Acer campestre,SunnyNeutral,"L=high,M=med,R=med",0.00255,0.6,FALSE
Acer monspessulanum,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Acer platanoides,SunnyNeutral,"L=high,M=med,R=med",4e-4,0.6,FALSE
Acer pseudoplatanus,SunnyNeutral,"L=high,M=med,R=med",3e-4,0.6,FALSE
Acer rubrum,SunnyNeutral,"L=high,M=med,R=med",0.0064,0.6,FALSE
Acer saccharinum,SunnyNeutral,"L=high,M=med,R=med",1.5e-4,0.6,FALSE
Acer saccharum,SunnyNeutral,"L=high,M=med,R=med",0.0024,0.6,FALSE
Achillea leptophylla,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Achillea millefolium,SunnyNeutral,"L=high,M=med,R=med",0.0526,0.6,FALSE
Acorus calamus,SunnyNeutral,"L=high,M=med,R=med",0.00445,0.6,FALSE
Actaea spicata,SunnyNeutral,"L=high,M=med,R=med",0.003,0.6,FALSE
Adenostyles alpina,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Adoxa moschatellina,SunnyNeutral,"L=high,M=med,R=med",0.0163,0.6,FALSE
Aegilops geniculata,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Aegopodium podagraria,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Aesculus hippocastanum,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Agrimonia eupatoria,SunnyNeutral,"L=high,M=med,R=med",0.01555,0.6,FALSE
Agropyron cristatum,SunnyNeutral,"L=high,M=med,R=med",0.1992,0.6,FALSE
Agropyron desertorum,SunnyNeutral,"L=high,M=med,R=med",0.1583,0.6,FALSE
Agrostemma githago,SunnyNeutral,"L=high,M=med,R=med",0.01785,0.6,FALSE
Agrostis canina,SunnyNeutral,"L=high,M=med,R=med",0.10235,0.6,FALSE
Agrostis capillaris,SunnyNeutral,"L=high,M=med,R=med",0.0959,0.6,FALSE
Agrostis hyemalis,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Agrostis scabra,SunnyNeutral,"L=high,M=med,R=med",0.2537,0.6,FALSE
Agrostis stolonifera,SunnyNeutral,"L=high,M=med,R=med",0.0475,0.6,FALSE
Agrostis vinealis,SunnyNeutral,"L=high,M=med,R=med",0.19575,0.6,FALSE
Aira caryophyllea,SunnyNeutral,"L=high,M=med,R=med",0.29135,0.6,FALSE
Ajuga chamaepitys,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Alchemilla glaucescens,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Alchemilla monticola,SunnyNeutral,"L=high,M=med,R=med",0.0193,0.6,FALSE
Alchemilla xanthochlora,SunnyNeutral,"L=high,M=med,R=med",0.01435,0.6,FALSE
Alisma gramineum,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Alliaria petiolata,SunnyNeutral,"L=high,M=med,R=med",0.02335,0.6,FALSE
Allium carinatum,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Allium ericetorum,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Allium senescens,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Allium sphaerocephalon,SunnyNeutral,"L=high,M=med,R=med",0.0051,0.6,FALSE
Allium ursinum,SunnyNeutral,"L=high,M=med,R=med",5e-5,0.6,FALSE
Alnus cordata,SunnyNeutral,"L=high,M=med,R=med",2.5e-4,0.6,FALSE
Alnus glutinosa,SunnyNeutral,"L=high,M=med,R=med",5.5e-4,0.6,FALSE
Alnus incana,SunnyNeutral,"L=high,M=med,R=med",1e-4,0.6,FALSE
