species,label,requirement,joint_prob,threshold,pass
Arnica montana,SunnyNeutral,"L=high,M=med,R=med",0.016,0.6,FALSE
Artemisia campestris,SunnyNeutral,"L=high,M=med,R=med",0.0171,0.6,FALSE
Asarum europaeum,SunnyNeutral,"L=high,M=med,R=med",0.0453,0.6,FALSE
Bromus catharticus,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Carex pilulifera,SunnyNeutral,"L=high,M=med,R=med",0.13465,0.6,FALSE
Cryptomeria japonica,SunnyNeutral,"L=high,M=med,R=med",0.018,0.6,FALSE
Gymnadenia conopsea,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Helianthus tuberosus,SunnyNeutral,"L=high,M=med,R=med",1.5e-4,0.6,FALSE
Laserpitium latifolium,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Lepidium ruderale,SunnyNeutral,"L=high,M=med,R=med",0.1062,0.6,FALSE
Persicaria amphibia,SunnyNeutral,"L=high,M=med,R=med",0.0181,0.6,FALSE
Pinus densiflora,SunnyNeutral,"L=high,M=med,R=med",0.0119,0.6,FALSE
Pinus ponderosa,SunnyNeutral,"L=high,M=med,R=med",0.00695,0.6,FALSE
Pistacia lentiscus,SunnyNeutral,"L=high,M=med,R=med",0.10835,0.6,FALSE
Polygonum aviculare,SunnyNeutral,"L=high,M=med,R=med",0.11875,0.6,FALSE
Potentilla aurea,SunnyNeutral,"L=high,M=med,R=med",0.0969,0.6,FALSE
Pulmonaria officinalis,SunnyNeutral,"L=high,M=med,R=med",0.00825,0.6,FALSE
Quercus cerris,SunnyNeutral,"L=high,M=med,R=med",6.5e-4,0.6,FALSE
Ratibida pinnata,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Sequoia sempervirens,SunnyNeutral,"L=high,M=med,R=med",0.0122,0.6,FALSE
Seseli montanum,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Tsuga canadensis,SunnyNeutral,"L=high,M=med,R=med",0.02845,0.6,FALSE
Veronica filiformis,SunnyNeutral,"L=high,M=med,R=med",0.1757,0.6,FALSE
Arnica montana,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Artemisia campestris,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Asarum europaeum,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Bromus catharticus,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Carex pilulifera,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Cryptomeria japonica,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Gymnadenia conopsea,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Helianthus tuberosus,ShadeWetAcidic,"L=low,M=high,R=low",5e-5,0.6,FALSE
Laserpitium latifolium,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Lepidium ruderale,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Persicaria amphibia,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Pinus densiflora,ShadeWetAcidic,"L=low,M=high,R=low",5e-5,0.6,FALSE
Pinus ponderosa,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Pistacia lentiscus,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Polygonum aviculare,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Potentilla aurea,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Pulmonaria officinalis,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Quercus cerris,ShadeWetAcidic,"L=low,M=high,R=low",2.5e-4,0.6,FALSE
Ratibida pinnata,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Sequoia sempervirens,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Seseli montanum,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Tsuga canadensis,ShadeWetAcidic,"L=low,M=high,R=low",1e-4,0.6,FALSE
Veronica filiformis,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Arnica montana,PartialSunAverage,"L=med,M=med,R=med",0.01085,0.6,FALSE
Artemisia campestris,PartialSunAverage,"L=med,M=med,R=med",0.00365,0.6,FALSE
Asarum europaeum,PartialSunAverage,"L=med,M=med,R=med",0.0514,0.6,FALSE
Bromus catharticus,PartialSunAverage,"L=med,M=med,R=med",0,0.6,FALSE
Carex pilulifera,PartialSunAverage,"L=med,M=med,R=med",0.1161,0.6,FALSE
