species,label,requirement,joint_prob,threshold,pass
Acer saccharum,SunnyNeutral,"L=high,M=med,R=med",5.5e-4,0.6,FALSE
Agropyron cristatum,SunnyNeutral,"L=high,M=med,R=med",0.3001,0.6,FALSE
Agrostis hyemalis,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Ambrosia tenuifolia,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Betula alleghaniensis,SunnyNeutral,"L=high,M=med,R=med",5e-5,0.6,FALSE
Carex digitata,SunnyNeutral,"L=high,M=med,R=med",0.02775,0.6,FALSE
Cryptomeria japonica,SunnyNeutral,"L=high,M=med,R=med",0.01,0.6,FALSE
Fraxinus mandshurica,SunnyNeutral,"L=high,M=med,R=med",0.0026,0.6,FALSE
Maackia amurensis,SunnyNeutral,"L=high,M=med,R=med",0.0259,0.6,FALSE
Melia azedarach,SunnyNeutral,"L=high,M=med,R=med",0.0534,0.6,FALSE
Picea glauca,SunnyNeutral,"L=high,M=med,R=med",0.0255,0.6,FALSE
Picea mariana,SunnyNeutral,"L=high,M=med,R=med",0.0085,0.6,FALSE
Pinus densiflora,SunnyNeutral,"L=high,M=med,R=med",0.009,0.6,FALSE
Pinus ponderosa,SunnyNeutral,"L=high,M=med,R=med",0.00525,0.6,FALSE
Populus tremuloides,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Prunus pensylvanica,SunnyNeutral,"L=high,M=med,R=med",0.00255,0.6,FALSE
Quercus alba,SunnyNeutral,"L=high,M=med,R=med",0.0022,0.6,FALSE
Quercus macrocarpa,SunnyNeutral,"L=high,M=med,R=med",0.002,0.6,FALSE
Quercus mongolica,SunnyNeutral,"L=high,M=med,R=med",0.0021,0.6,FALSE
Ribes divaricatum,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Sequoia sempervirens,SunnyNeutral,"L=high,M=med,R=med",0.0106,0.6,FALSE
Sequoiadendron giganteum,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Tsuga canadensis,SunnyNeutral,"L=high,M=med,R=med",0.02375,0.6,FALSE
Acer saccharum,ShadeWetAcidic,"L=low,M=high,R=low",5.5e-4,0.6,FALSE
Agropyron cristatum,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Agrostis hyemalis,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Ambrosia tenuifolia,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Betula alleghaniensis,ShadeWetAcidic,"L=low,M=high,R=low",8.5e-4,0.6,FALSE
Carex digitata,ShadeWetAcidic,"L=low,M=high,R=low",4e-4,0.6,FALSE
Cryptomeria japonica,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Fraxinus mandshurica,ShadeWetAcidic,"L=low,M=high,R=low",5e-5,0.6,FALSE
Maackia amurensis,ShadeWetAcidic,"L=low,M=high,R=low",5e-5,0.6,FALSE
Melia azedarach,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Picea glauca,ShadeWetAcidic,"L=low,M=high,R=low",5e-5,0.6,FALSE
