species,label,requirement,joint_prob,threshold,pass
Acer saccharum,ThePioneer,"T=high,M=low",1.5e-4,0.6,FALSE
Agropyron cristatum,ThePioneer,"T=high,M=low",0.0116,0.6,FALSE
Agrostis hyemalis,ThePioneer,"T=high,M=low",0,0.6,FALSE
Ambrosia tenuifolia,ThePioneer,"T=high,M=low",0.00155,0.6,FALSE
Betula alleghaniensis,ThePioneer,"T=high,M=low",0,0.6,FALSE
Carex digitata,ThePioneer,"T=high,M=low",0.0016,0.6,FALSE
Cryptomeria japonica,ThePioneer,"T=high,M=low",0,0.6,FALSE
Fraxinus mandshurica,ThePioneer,"T=high,M=low",0,0.6,FALSE
Maackia amurensis,ThePioneer,"T=high,M=low",0.00435,0.6,FALSE
Melia azedarach,ThePioneer,"T=high,M=low",0.0091,0.6,FALSE
Picea glauca,ThePioneer,"T=high,M=low",1.5e-4,0.6,FALSE
Picea mariana,ThePioneer,"T=high,M=low",0,0.6,FALSE
Pinus densiflora,ThePioneer,"T=high,M=low",0,0.6,FALSE
Pinus ponderosa,ThePioneer,"T=high,M=low",0,0.6,FALSE
Populus tremuloides,ThePioneer,"T=high,M=low",0,0.6,FALSE
Prunus pensylvanica,ThePioneer,"T=high,M=low",0,0.6,FALSE
Quercus alba,ThePioneer,"T=high,M=low",0.0092,0.6,FALSE
Quercus macrocarpa,ThePioneer,"T=high,M=low",0.01635,0.6,FALSE
Quercus mongolica,ThePioneer,"T=high,M=low",0.003,0.6,FALSE
Ribes divaricatum,ThePioneer,"T=high,M=low",0.00245,0.6,FALSE
Sequoia sempervirens,ThePioneer,"T=high,M=low",0,0.6,FALSE
Sequoiadendron giganteum,ThePioneer,"T=high,M=low",5e-5,0.6,FALSE
Tsuga canadensis,ThePioneer,"T=high,M=low",1e-4,0.6,FALSE
Acer saccharum,RichSoilSpecialist,"M=high,N=high",0.0853,0.6,FALSE
Agropyron cristatum,RichSoilSpecialist,"M=high,N=high",0.02685,0.6,FALSE
Agrostis hyemalis,RichSoilSpecialist,"M=high,N=high",0.34595,0.6,FALSE
Ambrosia tenuifolia,RichSoilSpecialist,"M=high,N=high",0.3333,0.6,FALSE
Betula alleghaniensis,RichSoilSpecialist,"M=high,N=high",0.0978,0.6,FALSE
Carex digitata,RichSoilSpecialist,"M=high,N=high",0.1571,0.6,FALSE
Cryptomeria japonica,RichSoilSpecialist,"M=high,N=high",0.6633,0.6,TRUE
Fraxinus mandshurica,RichSoilSpecialist,"M=high,N=high",0.0425,0.6,FALSE
Maackia amurensis,RichSoilSpecialist,"M=high,N=high",0.15215,0.6,FALSE
Melia azedarach,RichSoilSpecialist,"M=high,N=high",0.1676,0.6,FALSE
Picea glauca,RichSoilSpecialist,"M=high,N=high",0.56875,0.6,FALSE
Picea mariana,RichSoilSpecialist,"M=high,N=high",0.4899,0.6,FALSE
Pinus densiflora,RichSoilSpecialist,"M=high,N=high",0.6583,0.6,TRUE
Pinus ponderosa,RichSoilSpecialist,"M=high,N=high",0.6413,0.6,TRUE
Populus tremuloides,RichSoilSpecialist,"M=high,N=high",0.05725,0.6,FALSE
Prunus pensylvanica,RichSoilSpecialist,"M=high,N=high",0.12015,0.6,FALSE
Quercus alba,RichSoilSpecialist,"M=high,N=high",0.0455,0.6,FALSE
Quercus macrocarpa,RichSoilSpecialist,"M=high,N=high",0.03785,0.6,FALSE
Quercus mongolica,RichSoilSpecialist,"M=high,N=high",0.05155,0.6,FALSE
Ribes divaricatum,RichSoilSpecialist,"M=high,N=high",0.3038,0.6,FALSE
Sequoia sempervirens,RichSoilSpecialist,"M=high,N=high",0.6546,0.6,TRUE
Sequoiadendron giganteum,RichSoilSpecialist,"M=high,N=high",0.16365,0.6,FALSE
Tsuga canadensis,RichSoilSpecialist,"M=high,N=high",0.62595,0.6,TRUE
Acer saccharum,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Agropyron cristatum,SunVsWaterTradeoff,"L=high,M=low",0.075,0.6,FALSE
Agrostis hyemalis,SunVsWaterTradeoff,"L=high,M=low",6.5e-4,0.6,FALSE
Ambrosia tenuifolia,SunVsWaterTradeoff,"L=high,M=low",0.0053,0.6,FALSE
Betula alleghaniensis,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Carex digitata,SunVsWaterTradeoff,"L=high,M=low",0.0144,0.6,FALSE
Cryptomeria japonica,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Fraxinus mandshurica,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Maackia amurensis,SunVsWaterTradeoff,"L=high,M=low",0.00255,0.6,FALSE
Melia azedarach,SunVsWaterTradeoff,"L=high,M=low",0.00835,0.6,FALSE
Picea glauca,SunVsWaterTradeoff,"L=high,M=low",1e-4,0.6,FALSE
Picea mariana,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Pinus densiflora,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Pinus ponderosa,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Populus tremuloides,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Prunus pensylvanica,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Quercus alba,SunVsWaterTradeoff,"L=high,M=low",0.00305,0.6,FALSE
Quercus macrocarpa,SunVsWaterTradeoff,"L=high,M=low",0.0051,0.6,FALSE
Quercus mongolica,SunVsWaterTradeoff,"L=high,M=low",9.5e-4,0.6,FALSE
Ribes divaricatum,SunVsWaterTradeoff,"L=high,M=low",0.00225,0.6,FALSE
Sequoia sempervirens,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Sequoiadendron giganteum,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Tsuga canadensis,SunVsWaterTradeoff,"L=high,M=low",5e-5,0.6,FALSE
Acer saccharum,LushShadePlant,"L=low,M=high,N=high",0.01555,0.6,FALSE
Agropyron cristatum,LushShadePlant,"L=low,M=high,N=high",5e-5,0.6,FALSE
Agrostis hyemalis,LushShadePlant,"L=low,M=high,N=high",3e-4,0.6,FALSE
Ambrosia tenuifolia,LushShadePlant,"L=low,M=high,N=high",2e-4,0.6,FALSE
Betula alleghaniensis,LushShadePlant,"L=low,M=high,N=high",0.0289,0.6,FALSE
Carex digitata,LushShadePlant,"L=low,M=high,N=high",0.0035,0.6,FALSE
Cryptomeria japonica,LushShadePlant,"L=low,M=high,N=high",0.03305,0.6,FALSE
Fraxinus mandshurica,LushShadePlant,"L=low,M=high,N=high",0.00285,0.6,FALSE
Maackia amurensis,LushShadePlant,"L=low,M=high,N=high",0.00915,0.6,FALSE
Melia azedarach,LushShadePlant,"L=low,M=high,N=high",5e-5,0.6,FALSE
Picea glauca,LushShadePlant,"L=low,M=high,N=high",0.0085,0.6,FALSE
Picea mariana,LushShadePlant,"L=low,M=high,N=high",0.00435,0.6,FALSE
Pinus densiflora,LushShadePlant,"L=low,M=high,N=high",0.006,0.6,FALSE
Pinus ponderosa,LushShadePlant,"L=low,M=high,N=high",0.0047,0.6,FALSE
Populus tremuloides,LushShadePlant,"L=low,M=high,N=high",0.0013,0.6,FALSE
Prunus pensylvanica,LushShadePlant,"L=low,M=high,N=high",0.00295,0.6,FALSE
Quercus alba,LushShadePlant,"L=low,M=high,N=high",0.0059,0.6,FALSE
Quercus macrocarpa,LushShadePlant,"L=low,M=high,N=high",0.0052,0.6,FALSE
Quercus mongolica,LushShadePlant,"L=low,M=high,N=high",0.00535,0.6,FALSE
Ribes divaricatum,LushShadePlant,"L=low,M=high,N=high",0.03395,0.6,FALSE
Sequoia sempervirens,LushShadePlant,"L=low,M=high,N=high",0.0299,0.6,FALSE
Sequoiadendron giganteum,LushShadePlant,"L=low,M=high,N=high",0.02095,0.6,FALSE
Tsuga canadensis,LushShadePlant,"L=low,M=high,N=high",0.02725,0.6,FALSE
Acer saccharum,CoolClimateSpecialist,"T=low,M=med,N=high",0,0.6,FALSE
Agropyron cristatum,CoolClimateSpecialist,"T=low,M=med,N=high",0.02365,0.6,FALSE
Agrostis hyemalis,CoolClimateSpecialist,"T=low,M=med,N=high",0.03195,0.6,FALSE
Ambrosia tenuifolia,CoolClimateSpecialist,"T=low,M=med,N=high",0.04695,0.6,FALSE
Betula alleghaniensis,CoolClimateSpecialist,"T=low,M=med,N=high",0,0.6,FALSE
Carex digitata,CoolClimateSpecialist,"T=low,M=med,N=high",0.1062,0.6,FALSE
Cryptomeria japonica,CoolClimateSpecialist,"T=low,M=med,N=high",0,0.6,FALSE
Fraxinus mandshurica,CoolClimateSpecialist,"T=low,M=med,N=high",0,0.6,FALSE
Maackia amurensis,CoolClimateSpecialist,"T=low,M=med,N=high",0.0016,0.6,FALSE
Melia azedarach,CoolClimateSpecialist,"T=low,M=med,N=high",5e-5,0.6,FALSE
Picea glauca,CoolClimateSpecialist,"T=low,M=med,N=high",1e-4,0.6,FALSE
Picea mariana,CoolClimateSpecialist,"T=low,M=med,N=high",5e-5,0.6,FALSE
Pinus densiflora,CoolClimateSpecialist,"T=low,M=med,N=high",0,0.6,FALSE
Pinus ponderosa,CoolClimateSpecialist,"T=low,M=med,N=high",0,0.6,FALSE
Populus tremuloides,CoolClimateSpecialist,"T=low,M=med,N=high",0,0.6,FALSE
Prunus pensylvanica,CoolClimateSpecialist,"T=low,M=med,N=high",0,0.6,FALSE
Quercus alba,CoolClimateSpecialist,"T=low,M=med,N=high",0,0.6,FALSE
Quercus macrocarpa,CoolClimateSpecialist,"T=low,M=med,N=high",0,0.6,FALSE
Quercus mongolica,CoolClimateSpecialist,"T=low,M=med,N=high",0,0.6,FALSE
Ribes divaricatum,CoolClimateSpecialist,"T=low,M=med,N=high",0.0333,0.6,FALSE
Sequoia sempervirens,CoolClimateSpecialist,"T=low,M=med,N=high",0,0.6,FALSE
Sequoiadendron giganteum,CoolClimateSpecialist,"T=low,M=med,N=high",0,0.6,FALSE
Tsuga canadensis,CoolClimateSpecialist,"T=low,M=med,N=high",5e-5,0.6,FALSE
