species,label,requirement,joint_prob,threshold,pass
Abies alba,ThePioneer,"T=high,M=low",0,0.6,FALSE
Abies balsamea,ThePioneer,"T=high,M=low",0,0.6,FALSE
Abies concolor,ThePioneer,"T=high,M=low",0,0.6,FALSE
Abies grandis,ThePioneer,"T=high,M=low",0,0.6,FALSE
Abies lasiocarpa,ThePioneer,"T=high,M=low",0,0.6,FALSE
Abutilon theophrasti,ThePioneer,"T=high,M=low",0,0.6,FALSE
Acacia mearnsii,ThePioneer,"T=high,M=low",0.06425,0.6,FALSE
Acacia melanoxylon,ThePioneer,"T=high,M=low",0,0.6,FALSE
Acalypha virginica,ThePioneer,"T=high,M=low",0,0.6,FALSE
Acer campestre,ThePioneer,"T=high,M=low",0.00105,0.6,FALSE
Acer monspessulanum,ThePioneer,"T=high,M=low",0,0.6,FALSE
Acer platanoides,ThePioneer,"T=high,M=low",5e-5,0.6,FALSE
Acer pseudoplatanus,ThePioneer,"T=high,M=low",0,0.6,FALSE
Acer rubrum,ThePioneer,"T=high,M=low",0,0.6,FALSE
Acer saccharinum,ThePioneer,"T=high,M=low",0,0.6,FALSE
Acer saccharum,ThePioneer,"T=high,M=low",0,0.6,FALSE
Achillea leptophylla,ThePioneer,"T=high,M=low",0,0.6,FALSE
Achillea millefolium,ThePioneer,"T=high,M=low",0,0.6,FALSE
Acorus calamus,ThePioneer,"T=high,M=low",0,0.6,FALSE
Actaea spicata,ThePioneer,"T=high,M=low",0,0.6,FALSE
Adenostyles alpina,ThePioneer,"T=high,M=low",0,0.6,FALSE
Adoxa moschatellina,ThePioneer,"T=high,M=low",2e-4,0.6,FALSE
Aegilops geniculata,ThePioneer,"T=high,M=low",0,0.6,FALSE
Aegopodium podagraria,ThePioneer,"T=high,M=low",0,0.6,FALSE
Aesculus hippocastanum,ThePioneer,"T=high,M=low",0.0112,0.6,FALSE
Agrimonia eupatoria,ThePioneer,"T=high,M=low",0,0.6,FALSE
Agropyron cristatum,ThePioneer,"T=high,M=low",8e-4,0.6,FALSE
Agropyron desertorum,ThePioneer,"T=high,M=low",4e-4,0.6,FALSE
Agrostemma githago,ThePioneer,"T=high,M=low",4e-4,0.6,FALSE
Agrostis canina,ThePioneer,"T=high,M=low",0,0.6,FALSE
Agrostis capillaris,ThePioneer,"T=high,M=low",0,0.6,FALSE
Agrostis hyemalis,ThePioneer,"T=high,M=low",0,0.6,FALSE
Agrostis scabra,ThePioneer,"T=high,M=low",0,0.6,FALSE
Agrostis stolonifera,ThePioneer,"T=high,M=low",0,0.6,FALSE
Agrostis vinealis,ThePioneer,"T=high,M=low",0,0.6,FALSE
Aira caryophyllea,ThePioneer,"T=high,M=low",5e-5,0.6,FALSE
Ajuga chamaepitys,ThePioneer,"T=high,M=low",0,0.6,FALSE
Alchemilla glaucescens,ThePioneer,"T=high,M=low",0,0.6,FALSE
Alchemilla monticola,ThePioneer,"T=high,M=low",0,0.6,FALSE
Alchemilla xanthochlora,ThePioneer,"T=high,M=low",0,0.6,FALSE
Alisma gramineum,ThePioneer,"T=high,M=low",0,0.6,FALSE
Alliaria petiolata,ThePioneer,"T=high,M=low",1.5e-4,0.6,FALSE
Allium carinatum,ThePioneer,"T=high,M=low",0,0.6,FALSE
Allium ericetorum,ThePioneer,"T=high,M=low",0,0.6,FALSE
Allium senescens,ThePioneer,"T=high,M=low",0,0.6,FALSE
Allium sphaerocephalon,ThePioneer,"T=high,M=low",0,0.6,FALSE
Allium ursinum,ThePioneer,"T=high,M=low",0,0.6,FALSE
Alnus cordata,ThePioneer,"T=high,M=low",0,0.6,FALSE
Alnus glutinosa,ThePioneer,"T=high,M=low",0,0.6,FALSE
Alnus incana,ThePioneer,"T=high,M=low",0,0.6,FALSE
Alopecurus pratensis,ThePioneer,"T=high,M=low",0,0.6,FALSE
Alternanthera pungens,ThePioneer,"T=high,M=low",0,0.6,FALSE
Amaranthus deflexus,ThePioneer,"T=high,M=low",0,0.6,FALSE
Amaranthus hybridus,ThePioneer,"T=high,M=low",0,0.6,FALSE
Amaranthus powellii subsp. bouchonii,ThePioneer,"T=high,M=low",0,0.6,FALSE
Amaranthus retroflexus,ThePioneer,"T=high,M=low",0,0.6,FALSE
Ambrosia artemisiifolia,ThePioneer,"T=high,M=low",5e-5,0.6,FALSE
Ambrosia psilostachya,ThePioneer,"T=high,M=low",0,0.6,FALSE
Ambrosia tenuifolia,ThePioneer,"T=high,M=low",0,0.6,FALSE
Ambrosia trifida,ThePioneer,"T=high,M=low",5e-5,0.6,FALSE
Anaphalis margaritacea,ThePioneer,"T=high,M=low",0,0.6,FALSE
Andromeda polifolia,ThePioneer,"T=high,M=low",0.00125,0.6,FALSE
Androsace septentrionalis,ThePioneer,"T=high,M=low",0,0.6,FALSE
Angelica archangelica,ThePioneer,"T=high,M=low",0,0.6,FALSE
Angelica sylvestris,ThePioneer,"T=high,M=low",0,0.6,FALSE
Antennaria dioica,ThePioneer,"T=high,M=low",0,0.6,FALSE
Anthemis arvensis,ThePioneer,"T=high,M=low",1e-4,0.6,FALSE
Anthemis cotula,ThePioneer,"T=high,M=low",0,0.6,FALSE
Anthemis cretica,ThePioneer,"T=high,M=low",5e-5,0.6,FALSE
Anthericum ramosum,ThePioneer,"T=high,M=low",5e-5,0.6,FALSE
Anthoxanthum odoratum,ThePioneer,"T=high,M=low",0,0.6,FALSE
Anthriscus sylvestris,ThePioneer,"T=high,M=low",5e-5,0.6,FALSE
Anthyllis montana,ThePioneer,"T=high,M=low",0,0.6,FALSE
Anthyllis vulneraria,ThePioneer,"T=high,M=low",2e-4,0.6,FALSE
Aphanes arvensis,ThePioneer,"T=high,M=low",0,0.6,FALSE
Aphyllanthes monspeliensis,ThePioneer,"T=high,M=low",0,0.6,FALSE
Aposeris foetida,ThePioneer,"T=high,M=low",0,0.6,FALSE
Aquilegia atrata,ThePioneer,"T=high,M=low",0,0.6,FALSE
Aquilegia einseleana,ThePioneer,"T=high,M=low",0,0.6,FALSE
Aquilegia vulgaris,ThePioneer,"T=high,M=low",0,0.6,FALSE
Arabidopsis thaliana,ThePioneer,"T=high,M=low",0,0.6,FALSE
Arabis alpina,ThePioneer,"T=high,M=low",0,0.6,FALSE
Arabis hirsuta,ThePioneer,"T=high,M=low",0,0.6,FALSE
Arbutus unedo,ThePioneer,"T=high,M=low",0.0071,0.6,FALSE
