species,label,requirement,joint_prob,threshold,pass
Acer saccharum,ThePioneer,"T=high,M=low",0,0.6,FALSE
Agropyron cristatum,ThePioneer,"T=high,M=low",0.0067,0.6,FALSE
Agrostis hyemalis,ThePioneer,"T=high,M=low",0,0.6,FALSE
Ambrosia tenuifolia,ThePioneer,"T=high,M=low",0,0.6,FALSE
Betula alleghaniensis,ThePioneer,"T=high,M=low",0,0.6,FALSE
Carex digitata,ThePioneer,"T=high,M=low",0.00185,0.6,FALSE
Cryptomeria japonica,ThePioneer,"T=high,M=low",1.5e-4,0.6,FALSE
Fraxinus mandshurica,ThePioneer,"T=high,M=low",5.5e-4,0.6,FALSE
Maackia amurensis,ThePioneer,"T=high,M=low",0.00295,0.6,FALSE
Melia azedarach,ThePioneer,"T=high,M=low",0.0214,0.6,FALSE
Picea glauca,ThePioneer,"T=high,M=low",0,0.6,FALSE
Picea mariana,ThePioneer,"T=high,M=low",0,0.6,FALSE
Pinus densiflora,ThePioneer,"T=high,M=low",0,0.6,FALSE
Pinus ponderosa,ThePioneer,"T=high,M=low",0,0.6,FALSE
Populus tremuloides,ThePioneer,"T=high,M=low",0,0.6,FALSE
Prunus pensylvanica,ThePioneer,"T=high,M=low",1.5e-4,0.6,FALSE
Quercus alba,ThePioneer,"T=high,M=low",6e-4,0.6,FALSE
Quercus macrocarpa,ThePioneer,"T=high,M=low",0.0014,0.6,FALSE
Quercus mongolica,ThePioneer,"T=high,M=low",1.5e-4,0.6,FALSE
Ribes divaricatum,ThePioneer,"T=high,M=low",0,0.6,FALSE
Sequoia sempervirens,ThePioneer,"T=high,M=low",5e-5,0.6,FALSE
Sequoiadendron giganteum,ThePioneer,"T=high,M=low",8.5e-4,0.6,FALSE
Tsuga canadensis,ThePioneer,"T=high,M=low",0,0.6,FALSE
Acer saccharum,RichSoilSpecialist,"M=high,N=high",0.0751,0.6,FALSE
Agropyron cristatum,RichSoilSpecialist,"M=high,N=high",0.0143,0.6,FALSE
Agrostis hyemalis,RichSoilSpecialist,"M=high,N=high",0,0.6,FALSE
Ambrosia tenuifolia,RichSoilSpecialist,"M=high,N=high",0,0.6,FALSE
Betula alleghaniensis,RichSoilSpecialist,"M=high,N=high",0.06935,0.6,FALSE
Carex digitata,RichSoilSpecialist,"M=high,N=high",0.1729,0.6,FALSE
Cryptomeria japonica,RichSoilSpecialist,"M=high,N=high",0.66845,0.6,TRUE
Fraxinus mandshurica,RichSoilSpecialist,"M=high,N=high",0.03385,0.6,FALSE
Maackia amurensis,RichSoilSpecialist,"M=high,N=high",0.16255,0.6,FALSE
Melia azedarach,RichSoilSpecialist,"M=high,N=high",0.17985,0.6,FALSE
Picea glauca,RichSoilSpecialist,"M=high,N=high",0.69655,0.6,TRUE
Picea mariana,RichSoilSpecialist,"M=high,N=high",0.5752,0.6,FALSE
Pinus densiflora,RichSoilSpecialist,"M=high,N=high",0.82485,0.6,TRUE
Pinus ponderosa,RichSoilSpecialist,"M=high,N=high",0.79795,0.6,TRUE
