species,label,requirement,joint_prob,threshold,pass
Arnica montana,ThePioneer,"T=high,M=low",5e-5,0.6,FALSE
Artemisia campestris,ThePioneer,"T=high,M=low",0,0.6,FALSE
Asarum europaeum,ThePioneer,"T=high,M=low",1e-4,0.6,FALSE
Bromus catharticus,ThePioneer,"T=high,M=low",0,0.6,FALSE
Carex pilulifera,ThePioneer,"T=high,M=low",0.00165,0.6,FALSE
Cryptomeria japonica,ThePioneer,"T=high,M=low",5e-5,0.6,FALSE
Gymnadenia conopsea,ThePioneer,"T=high,M=low",0,0.6,FALSE
Helianthus tuberosus,ThePioneer,"T=high,M=low",0,0.6,FALSE
Laserpitium latifolium,ThePioneer,"T=high,M=low",0,0.6,FALSE
Lepidium ruderale,ThePioneer,"T=high,M=low",1e-4,0.6,FALSE
Persicaria amphibia,ThePioneer,"T=high,M=low",5.5e-4,0.6,FALSE
Pinus densiflora,ThePioneer,"T=high,M=low",0,0.6,FALSE
Pinus ponderosa,ThePioneer,"T=high,M=low",0,0.6,FALSE
Pistacia lentiscus,ThePioneer,"T=high,M=low",0.0332,0.6,FALSE
Polygonum aviculare,ThePioneer,"T=high,M=low",0.0015,0.6,FALSE
Potentilla aurea,ThePioneer,"T=high,M=low",1.5e-4,0.6,FALSE
Pulmonaria officinalis,ThePioneer,"T=high,M=low",5e-5,0.6,FALSE
Quercus cerris,ThePioneer,"T=high,M=low",0.0026,0.6,FALSE
Ratibida pinnata,ThePioneer,"T=high,M=low",0,0.6,FALSE
Sequoia sempervirens,ThePioneer,"T=high,M=low",5e-5,0.6,FALSE
Seseli montanum,ThePioneer,"T=high,M=low",0,0.6,FALSE
Tsuga canadensis,ThePioneer,"T=high,M=low",0,0.6,FALSE
Veronica filiformis,ThePioneer,"T=high,M=low",1.5e-4,0.6,FALSE
Arnica montana,RichSoilSpecialist,"M=high,N=high",0.5872,0.6,FALSE
Artemisia campestris,RichSoilSpecialist,"M=high,N=high",0.73,0.6,TRUE
Asarum europaeum,RichSoilSpecialist,"M=high,N=high",0.3092,0.6,FALSE
Bromus catharticus,RichSoilSpecialist,"M=high,N=high",0,0.6,FALSE
Carex pilulifera,RichSoilSpecialist,"M=high,N=high",0.1228,0.6,FALSE
Cryptomeria japonica,RichSoilSpecialist,"M=high,N=high",0.66405,0.6,TRUE
Gymnadenia conopsea,RichSoilSpecialist,"M=high,N=high",0.1555,0.6,FALSE
Helianthus tuberosus,RichSoilSpecialist,"M=high,N=high",0.0018,0.6,FALSE
Laserpitium latifolium,RichSoilSpecialist,"M=high,N=high",0,0.6,FALSE
Lepidium ruderale,RichSoilSpecialist,"M=high,N=high",0.41075,0.6,FALSE
Persicaria amphibia,RichSoilSpecialist,"M=high,N=high",0.30765,0.6,FALSE
Pinus densiflora,RichSoilSpecialist,"M=high,N=high",0.8213,0.6,TRUE
Pinus ponderosa,RichSoilSpecialist,"M=high,N=high",0.79665,0.6,TRUE
Pistacia lentiscus,RichSoilSpecialist,"M=high,N=high",0.0343,0.6,FALSE
Polygonum aviculare,RichSoilSpecialist,"M=high,N=high",0.0869,0.6,FALSE
Potentilla aurea,RichSoilSpecialist,"M=high,N=high",0.30325,0.6,FALSE
Pulmonaria officinalis,RichSoilSpecialist,"M=high,N=high",0.4738,0.6,FALSE
Quercus cerris,RichSoilSpecialist,"M=high,N=high",0.03465,0.6,FALSE
Ratibida pinnata,RichSoilSpecialist,"M=high,N=high",0,0.6,FALSE
Sequoia sempervirens,RichSoilSpecialist,"M=high,N=high",0.65475,0.6,TRUE
Seseli montanum,RichSoilSpecialist,"M=high,N=high",0,0.6,FALSE
Tsuga canadensis,RichSoilSpecialist,"M=high,N=high",0.77885,0.6,TRUE
Veronica filiformis,RichSoilSpecialist,"M=high,N=high",0.11375,0.6,FALSE
Arnica montana,SunVsWaterTradeoff,"L=high,M=low",5e-5,0.6,FALSE
Artemisia campestris,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Asarum europaeum,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Bromus catharticus,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Carex pilulifera,SunVsWaterTradeoff,"L=high,M=low",0.00255,0.6,FALSE
Cryptomeria japonica,SunVsWaterTradeoff,"L=high,M=low",5e-5,0.6,FALSE
Gymnadenia conopsea,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Helianthus tuberosus,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Laserpitium latifolium,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Lepidium ruderale,SunVsWaterTradeoff,"L=high,M=low",0.00495,0.6,FALSE
Persicaria amphibia,SunVsWaterTradeoff,"L=high,M=low",4e-4,0.6,FALSE
Pinus densiflora,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Pinus ponderosa,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Pistacia lentiscus,SunVsWaterTradeoff,"L=high,M=low",0.0598,0.6,FALSE
Polygonum aviculare,SunVsWaterTradeoff,"L=high,M=low",0.00165,0.6,FALSE
Potentilla aurea,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Pulmonaria officinalis,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Quercus cerris,SunVsWaterTradeoff,"L=high,M=low",8.5e-4,0.6,FALSE
Ratibida pinnata,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Sequoia sempervirens,SunVsWaterTradeoff,"L=high,M=low",5e-5,0.6,FALSE
Seseli montanum,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Tsuga canadensis,SunVsWaterTradeoff,"L=high,M=low",0,0.6,FALSE
Veronica filiformis,SunVsWaterTradeoff,"L=high,M=low",6.5e-4,0.6,FALSE
Arnica montana,LushShadePlant,"L=low,M=high,N=high",0.1069,0.6,FALSE
Artemisia campestris,LushShadePlant,"L=low,M=high,N=high",0.00535,0.6,FALSE
Asarum europaeum,LushShadePlant,"L=low,M=high,N=high",0.02215,0.6,FALSE
Bromus catharticus,LushShadePlant,"L=low,M=high,N=high",0,0.6,FALSE
Carex pilulifera,LushShadePlant,"L=low,M=high,N=high",0.0509,0.6,FALSE
Cryptomeria japonica,LushShadePlant,"L=low,M=high,N=high",0.28665,0.6,FALSE
Gymnadenia conopsea,LushShadePlant,"L=low,M=high,N=high",0.0043,0.6,FALSE
Helianthus tuberosus,LushShadePlant,"L=low,M=high,N=high",5e-5,0.6,FALSE
