species,LMA,Nmass,LeafArea,PlantHeight,DiasporeMass,SSD,source
Acer saccharum,46.15083,18.04807035,4735.7,32.93491878,52.8034,0.659849981,MAG
Agropyron cristatum,111.9021923,15.25,167.75,0.429301907,2.829,0.387809055,MAG
Agrostis hyemalis,78.6279575,17.1312609,79.06,0.694952821,0.0489,0.308889034,MAG
Ambrosia tenuifolia,89.96576363,28.06665677,451.94,0.342744454,5.3,0.21115,MAG
Betula alleghaniensis,29.13299987,20.95187702,3174.32,29.04358241,0.8352,0.66,MAG
Carex digitata,34.77172738,20,469.46,0.204172272,1.3281,0.2792352,MAG
Cryptomeria japonica,146.2655651,13.76132198,8.4,38.6891744,3.0516,0.345842211,MAG
Fraxinus mandshurica,72.04610951,21.76264019,9500,28.43966497,63.5928,0.545416454,MAG
Maackia amurensis,76.04562738,37.23252043,6569.69,12.43174158,32.444,0.89,MAG
Melia azedarach,207.7706616,37.82,981.75,12.19776991,1067.2264,0.43850148,MAG
Picea glauca,239.1733491,10.63662706,23.72,25.8348762,2.4515,0.44971578,MAG
Picea mariana,296.5208299,8.37922413,30,19.76011127,1.1325,0.387943295,MAG
Pinus densiflora,295.1593861,13.17232483,75,36,9.3974,0.41,MAG
Pinus ponderosa,287.3850288,11.1695215,160,38.30074011,35.7087,0.38596525,MAG
Populus tremuloides,69.52013404,20.80417917,2066.58,16.70656374,0.117,0.382101601,MAG
Prunus pensylvanica,60.79145317,23.47781293,2047.7,11.10910705,39.0131,0.36,MAG
Quercus alba,68.70919719,20.47676228,7186.06,28.27776228,3111.1077,0.684543644,MAG
Quercus macrocarpa,65.70096128,22.14539006,5409.77,28.4784124,6233.4608,0.67,MAG
Quercus mongolica,71.13159996,20.15812491,5682.94,31.6227766,1563.242,0.60869792,MAG
Ribes divaricatum,28.91844997,22.8,1198,3.2,2.06,0.68,MAG
Sequoia sempervirens,252.0219234,10.26406094,24,89.89,4.3077,0.448998886,MAG
Sequoiadendron giganteum,542.5884377,10.5,4,84.18681749,5.5453,0.43,MAG
Tsuga canadensis,133.0944921,12.75391271,13.3,26.59024992,2.5926,0.43,MAG
