species,LMA,Nmass,LeafArea,PlantHeight,DiasporeMass,SSD,source
Abies alba,106.0445387,26.4,32.42,42.07407505,62.0067,0.498985659,MAG
Abies balsamea,140.0280084,14.0810366,35,17.97748828,6.7106,0.419880936,MAG
Abies concolor,208.8553158,13.00345865,75.99,43.94573342,34.7189,0.4,MAG
Abies grandis,212.7659574,14.6,180,54.9171867,17.579,0.42,MAG
Abies lasiocarpa,276.0069609,13.43892689,35.04,26.65503063,12.6603,0.32,MAG
Abutilon theophrasti,41.15677344,39.3,15964.06,1.5,8.4909,0.21162684,MAG
Acacia mearnsii,106.0292513,26.2960073,1.8,4.387000876,14.0075,0.624666418,MAG
Acacia melanoxylon,120.0240296,24.1,1088.96,9.205793452,12.9895,0.52918053,MAG
Acalypha virginica,34.457,24.56692161,1351.62,0.91,0.6394,0.221790868,MAG
Acer campestre,72.14786871,21.33122664,3146.41,12.21743343,122,0.606907388,MAG
Acer monspessulanum,84.90352466,19.56226216,1232.88,7.665796145,26.6805,0.899523204,MAG
Acer platanoides,51.66101092,19.41733253,7085.13,21.92566202,121.5964,0.583665,MAG
Acer pseudoplatanus,72.11836115,23.625938,8456.57,24.46265636,64.6069,0.562813905,MAG
Acer rubrum,58.65691012,17.80857407,2989.66,14.11947709,21.9339,0.567842634,MAG
Acer saccharinum,51.09886537,23.66,4605.58,33.66479553,156.1993,0.51,MAG
Acer saccharum,46.15083,18.04807035,4735.7,32.93491878,52.8034,0.659849981,MAG
Achillea leptophylla,188.1218378,18.47842917,20.97,0.042097243,0.09,0.230594359,MAG
Achillea millefolium,72.41469295,20.54814349,627.23,0.313157943,0.1428,0.23062,MAG
Acorus calamus,62.53763527,18,8953.14,0.9672124,2.3701,0.215068711,MAG
Actaea spicata,26.9250339,23.00282667,21940.22,0.463995288,6.2782,0.224223263,MAG
Adenostyles alpina,49.60434227,26.19419343,18139.15,0.51218054,1.38,0.170641547,MAG
Adoxa moschatellina,26.14968019,37.2424489,1807.64,0.084653746,32.315,0.163855375,MAG
Aegilops geniculata,42.70151915,28.61138235,37,0.084852814,13.0511,0.23436831,MAG
Aegopodium podagraria,35.33456851,27.49424823,2761.61,0.620893798,2.2244,0.1,MAG
Aesculus hippocastanum,75.34050475,22.0139134,5885.85,17.03603303,9672.3883,0.5,MAG
Agrimonia eupatoria,54.60778094,16.54539211,4557.53,0.48684316,6.7809,0.247,MAG
Agropyron cristatum,111.9021923,15.25,167.75,0.429301907,2.829,0.387809055,MAG
Agropyron desertorum,112.3595506,23.15,290,0.387298335,2.1044,0.37565,MAG
Agrostemma githago,56.40157924,23.06531301,999.75,0.745052291,13.7424,0.20067,MAG
Agrostis canina,35.60432617,23.26992493,81.07,0.264397541,0.0578,0.238843782,MAG
Agrostis capillaris,35.54716317,22.56129771,167.15,0.26707069,0.0593,0.238945838,MAG
Agrostis hyemalis,78.6279575,17.1312609,79.06,0.694952821,0.0489,0.308889034,MAG
Agrostis scabra,102.2146344,11.13552873,90,0.76,0.0573,0.434319077,MAG
Agrostis stolonifera,31.66568671,29.16634117,234.16,0.365404006,0.0403,0.2412728,MAG
Agrostis vinealis,48.1768202,27.39272264,96.47,0.18814145,0.0432,0.29445202,MAG
Aira caryophyllea,62.9453634,27.39467365,12.87,0.144055347,0.1224,0.21242491,MAG
Ajuga chamaepitys,44.48398577,18.53851068,70.5,0.097732279,1.4685,0.17447,MAG
Alchemilla glaucescens,55.40239738,17.8,1523.04,0.161245155,0.4655,0.245388161,MAG
Alchemilla monticola,56.05078296,25.1,2594.75,0.156206875,0.4387,0.1628,MAG
Alchemilla xanthochlora,48.96152617,26.77544455,5234.06,0.27900298,0.3002,0.226221063,MAG
Alisma gramineum,43.50104754,32.73388,4825.48,0.233481515,0.4197,0.056465312,MAG
Alliaria petiolata,23.23246428,42.44346828,2958.08,0.438246157,2.9344,0.37,MAG
Allium carinatum,47.50517169,22.76,1280,0.35701238,1.2264,0.10037,MAG
Allium ericetorum,107.91,28.21278641,267.73,0.246621207,1.57,0.150016304,MAG
Allium senescens,76.2195122,27.29,359.5,0.153474015,1.68,0.12701,MAG
Allium sphaerocephalon,175.4385965,27.03077821,1940.63,0.322248118,1.451,0.11813,MAG
Allium ursinum,27.59698797,36.93096453,6408.8,0.305592472,5.2528,0.09556275,MAG
Alnus cordata,44.12085775,27.09478271,5482.87,18.8405092,3.5062,0.39147303,MAG
Alnus glutinosa,68.11272672,30.93823652,3070.29,17.79813339,1.601,0.459373411,MAG
Alnus incana,55.29773946,33.70232216,2583.96,9.53491529,0.6649,0.468294779,MAG
Alopecurus pratensis,39.35483103,23.82351182,1156.15,0.597360064,0.7868,0.4316,MAG
Alternanthera pungens,38.87240437,38.96820338,314.16,0.11,0.33,0.205540482,MAG
Amaranthus deflexus,28.815,43.49264577,886.56,0.320265777,0.4228,0.159191208,MAG
Amaranthus hybridus,51.69109882,35.38,2139.07,0.67103021,0.4796,0.199238956,MAG
Amaranthus powellii subsp. bouchonii,42.46041275,43.57503983,1820.03,0.527970603,0.3999,0.198843314,MAG
Amaranthus retroflexus,59.98288243,32.54373277,3379.06,0.464284504,0.3976,0.209758157,MAG
Ambrosia artemisiifolia,39.86712755,25.5,650.16,0.694945832,3.9899,0.208260668,MAG
Ambrosia psilostachya,69.1759069,20.36165666,461.55,0.525378172,6.3926,0.278686743,MAG
Ambrosia tenuifolia,89.96576363,28.06665677,451.94,0.342744454,5.3,0.21115,MAG
Ambrosia trifida,45.68009834,44.1,5202.03,1.067642561,11.1259,0.192774588,MAG
Anaphalis margaritacea,69.51843045,17.76384616,1465.02,0.633818409,0.0445,0.251107208,MAG
Andromeda polifolia,134.4942942,14.47596461,39.87,0.195320494,0.1666,0.31071,MAG
Androsace septentrionalis,41.56819084,19.49,17.96,0.046787589,0.1624,0.176708783,MAG
Angelica archangelica,53.86092147,30.22728117,3006.4,1.213954084,4.087,0.189958688,MAG
Angelica sylvestris,42.56117384,30.24855209,5112.75,0.821214331,1.1522,0.196897793,MAG
Antennaria dioica,58.22917451,14.00082516,68.03,0.115299968,0.0466,0.240382532,MAG
Anthemis arvensis,44.73229531,17.01,246.68,0.206763294,0.6049,0.374718,MAG
Anthemis cotula,53.66663853,32.73272666,1919.84,0.426920522,0.4683,0.183310229,MAG
Anthemis cretica,71.63323782,24.44,154.76,0.25,0.69,0.18495,MAG
Anthericum ramosum,42.53509145,12.01549499,1733.5,0.437088144,4.1978,0.14477,MAG
Anthoxanthum odoratum,43.62778304,19.6240157,341.58,0.228821082,0.3945,0.200463544,MAG
Anthriscus sylvestris,32.74878695,27.96636393,720.62,0.83592049,4.1188,0.205004764,MAG
Anthyllis montana,79.44188535,24.1,346,0.063,3.5481,0.243267674,MAG
Anthyllis vulneraria,65.64140457,28.97986824,182.18,0.133414405,5.8209,0.188915471,MAG
Aphanes arvensis,59.12808243,16.460073,38,0.109275282,0.1469,0.23211,MAG
Aphyllanthes monspeliensis,186.0688329,23.2875,147,0.229600474,1.3587,0.249144632,MAG
Aposeris foetida,17.75,25.37,2903.33,0.105846643,2.17,0.143791896,MAG
Aquilegia atrata,17.156,35.80682148,10053.39,0.423570135,1.3849,0.189203308,MAG
Aquilegia einseleana,47.408,28.82457764,689.65,0.151622172,0.8585,0.214850488,MAG
Aquilegia vulgaris,38.78807871,23.2,3108.14,0.549911317,1.4875,0.24783,MAG
Arabidopsis thaliana,31.17513074,35.7,243.06,0.126165219,0.0162,0.148007342,MAG
Arabis alpina,37.55918092,29.4,87.65,0.142231025,0.2015,0.167198976,MAG
Arabis hirsuta,42.89917537,20,177.46,0.37194375,0.0908,0.17971,MAG
Arbutus unedo,121.2436013,13.4702585,1507.07,4.479085749,2.6429,0.78106844,MAG
Arctium lappa,52.41887636,39.85052573,6168.92,1.353092712,11.9017,0.198391758,MAG
Arctium minus,43.14041492,38.39471824,114187.35,0.721763517,9.3573,0.184956043,MAG
Arenaria aggregata,103.7013585,19.69849557,4.07,0.044005587,0.2706,0.280313904,MAG
Arenaria serpyllifolia,50.14893137,13.95316174,7.33,0.101810568,0.0671,0.12,MAG
Aristida adscensionis,82.30452675,16.3835793,70.2,0.303696547,0.6064,0.34278758,MAG
Armeria maritima,68.95190272,17,129.06,0.156296356,1.4075,0.190044332,MAG
Arnica montana,54.33574684,17.90566083,1601.5,0.303029692,1.67,0.15875,MAG
Arrhenatherum elatius,36.07125738,31.34214355,856.74,0.797588917,2.7384,0.172642667,MAG
Artemisia absinthium,37.61136861,22.1,1032.69,0.743419208,0.1047,0.208499531,MAG
Artemisia campestris,64.6623949,18.88,178.14,0.499035,0.1218,0.19192608,MAG
Artemisia dracunculus,59.88023952,25.48,87.72,0.788412343,0.115,0.257765583,MAG
Artemisia vulgaris,42.30159285,32.24715491,2373.93,1.376779048,0.1439,0.222215699,MAG
Arum maculatum,30.34971214,42.30957338,9170.61,0.233156255,34.9566,0.103244576,MAG
Aruncus dioicus,23.66192807,41.37404677,97188.52,1.103405285,0.0881,0.198016405,MAG
Arundo donax,80.704,24.77762689,15233.18,2.74,0.1,0.341259536,MAG
Asarum europaeum,37.66456703,27.29095324,2991.83,0.073562125,3.5633,0.166561465,MAG
Asclepias syriaca,62.98234491,19.52016511,6376.17,0.916433603,5.5249,0.198181187,MAG
Aster alpinus,61.462815,28.4,164.63,0.073998886,0.5131,0.23735,MAG
Aster amellus,75.24844505,21.1,501.56,0.264562939,0.6469,0.20067,MAG
Astragalus alpinus,40.56445832,46.12140972,24.46,0.088078614,2.15,0.17221,MAG
Astrantia major,42.26308506,35.34987977,9997.83,0.436614023,3.1667,0.0938553,MAG
Atriplex littoralis,67.0589149,28.85,651.71,0.634884049,1.3961,0.150244466,MAG
Avena barbata,52.15,21.33564363,119,0.493933849,7.2355,0.215,MAG
Avena fatua,50.71747921,28.3,5179.67,0.819283089,14.8294,0.206825572,MAG
Avena sativa,49.80366871,50.3,4344.5,0.957666086,31.9584,0.17141,MAG
Avena sterilis,42.52854407,21.82273206,1204.13,0.574382037,19.3508,0.187197966,MAG
Bartsia alpina,60.38346326,20.52223543,185.88,0.157454769,0.2916,0.19543,MAG
Bassia prostrata,51.63955762,30.08315767,440.5,0.341712059,0.44,0.257282725,MAG
Bassia scoparia,37.44433268,33.62809372,44.62,0.972776008,1.0959,0.191920787,MAG
Bellis perennis,33.08750673,25.00600463,358.55,0.05307153,0.1207,0.1025058,MAG
Berberis vulgaris,78.41982715,22.55413479,380.87,1.866135734,13.7885,0.737563557,MAG
Berteroa incana,49.6691894,18.76274191,152.2,0.444821172,0.597,0.214931568,MAG
Berula erecta,27.7860358,40.26564483,3491.93,0.833229506,0.5569,0.141850813,MAG
Betula alleghaniensis,29.13299987,20.95187702,3174.32,29.04358241,0.8352,0.66,MAG
Betula papyrifera,63.58402842,23.83371477,2536.38,14.69789012,0.3278,0.559912529,MAG
Betula pendula,69.70847257,25.13823231,1135.68,12.02472958,0.6869,0.612871745,MAG
Betula pubescens,71.44771292,18.86017653,1327.98,12.58861924,0.2045,0.518714775,MAG
Bidens frondosa,35.77047514,25.06,1089.7,0.526936585,3.8654,0.16,MAG
Bidens tripartita,32.31734098,23.54497856,2289.45,0.507338078,2.4549,0.172341489,MAG
Biscutella laevigata,52.65735113,30.95,877.94,0.220140707,4.3149,0.158197704,MAG
Blackstonia perfoliata,41.45303581,16.49738418,274.57,0.249970773,0.0103,0.188296424,MAG
Blysmus compressus,68.21317315,22.36,278.86,0.239348307,0.5327,0.25133,MAG
Blysmus rufus,105.374078,15.09,45.5,0.152338461,1.0533,0.26021,MAG
Bothriochloa ischaemum,42.56407415,14.30299412,194.8,0.359875153,0.6307,0.229738,MAG
Brachypodium distachyon,36.53350835,16.72197632,50.33,0.156714827,2.6642,0.289950573,MAG
Brachypodium phoenicoides,74.33063503,15.41574525,797.45,0.368116967,2.8269,0.3095,MAG
Brachypodium pinnatum,40.03502358,20.75448563,1241.14,0.533579549,2.7009,0.301621537,MAG
Brachypodium retusum,105.7264526,12.53507447,60.08,0.394870097,2.991,0.43695308,MAG
Brachypodium sylvaticum,23.11769611,21.55478627,2195.1,0.662248163,1.5549,0.292923,MAG
Brassica oleracea,38.19519769,48.2,1658.16,0.640915612,3.8173,0.12207,MAG
Briza media,46.2333095,17.6885645,292.35,0.360293395,0.3711,0.27986555,MAG
Bromus arvensis,55.23193085,25.29,1085,0.479438803,1.9094,0.24245,MAG
Bromus catharticus,56.95876993,39.48523293,1105.92,0.626194295,8.2705,0.252792536,MAG
Bromus erectus,58.25197973,16.27210122,482.06,0.623384111,3.9142,0.35271,MAG
Bromus hordeaceus,45.60779163,25.02735031,175.18,0.219314702,2.0545,0.23510105,MAG
Bromus inermis,53.63954545,20.28454624,1111.67,0.876594278,2.8865,0.304206553,MAG
Bromus lanceolatus,36.99258917,21.16858511,83.34,0.352806194,2.7367,0.242858263,MAG
Bromus madritensis,32.38528154,19.0733322,122.5,0.183197828,2.2502,0.228,MAG
Bromus ramosus,40.81633546,29.9,3510.58,1.093282034,6.7745,0.221833952,MAG
Bromus rigidus,46.11584758,18.63283372,684.85,0.481712059,10.32,0.219253414,MAG
Bromus sterilis,30.36356173,25.41,490.07,0.553433487,7.1018,0.348523,MAG
Bromus tectorum,38.99342349,21.77303837,288.69,0.366621768,3.1465,0.307185,MAG
Bromus variegatus,64.93506494,22.79,154.12,0.08,2.58,0.28685,MAG
Broussonetia papyrifera,45.44460057,31.43061365,18166.75,7.204194964,1.6097,0.29,MAG
Buglossoides arvensis,42.04127339,37.70412483,142.5,0.237689736,5.6169,0.17728126,MAG
Bunias orientalis,42.37348086,51.6,4577.62,0.591926289,25.3893,0.171442355,MAG
Buphthalmum salicifolium,38.88024883,19.73130707,914,0.402977859,0.4171,0.19019,MAG
Bupleurum baldense,62.08480785,18.9,32,0.067152238,0.3926,0.268160152,MAG
Bupleurum falcatum,53.2219467,16.26901,741.16,0.541918757,2.913,0.238807065,MAG
Bupleurum ranunculoides,100.813,20.21840885,341.83,0.238110158,1.55,0.262586364,MAG
Buxus sempervirens,118.1440419,17.56816172,134.81,2.379866706,12.908,0.78,MAG
Calamagrostis arundinacea,50.13201712,20.81118003,2019.99,0.913019541,0.4617,0.4944,MAG
Calamagrostis canescens,47.67197695,19.6,557.93,1.458662727,0.0778,0.3099269,MAG
Calamagrostis epigejos,64.55320684,20.61251806,1230.83,0.657654077,0.0624,0.299261205,MAG
Calamagrostis varia,39.307,20.06357909,1397.51,0.616088893,0.123,0.27061736,MAG
Calamagrostis villosa,37.92865724,24.47456766,1071.5,0.69009799,0.1,0.25921322,MAG
Calla palustris,29.98683562,25.67489046,9351.6,0.189912678,1.7186,0.094973667,MAG
Calluna vulgaris,84.37598485,13.16028253,1.4,0.447280672,0.0265,0.47158862,MAG
Caltha palustris,36.2434535,34.58116402,6216.07,0.248220033,1.0116,0.16309992,MAG
Calystegia sepium,29.62257923,31.56,3285.04,1.415818374,29.2444,0.15,MAG
Calystegia silvatica,43.30879575,27.70970248,3092,1.952041776,37.0243,0.21115,MAG
Calystegia soldanella,64.14870999,23.4,734.5,0.249246809,58.0512,0.15875,MAG
Camelina microcarpa,50.02501251,51.73,442.25,0.369824855,0.3025,0.16923,MAG
Campanula barbata,49.8998786,19.0173395,272.41,0.206181974,0.05,0.212128832,MAG
Campanula glomerata,36.22244771,27,1152.1,0.310058969,0.1382,0.208111381,MAG
Campanula persicifolia,40.72747803,20,496.83,0.615219197,0.0637,0.3006,MAG
Campanula rapunculus,25.86135469,32.84719197,565.73,0.595694917,0.0302,0.176708783,MAG
Campanula rotundifolia,44.40538487,19.69810933,62.67,0.227134281,0.0546,0.3883,MAG
Campanula scheuchzeri,59.81566665,34.11868556,50.97,0.169574316,0.1208,0.218521108,MAG
Campanula sibirica,74.87218788,17.1,202.82,0.265310461,0.0594,0.20591,MAG
Campanula spicata,47.809,23.75119798,2383.49,0.388582924,0.06,0.166412976,MAG
Campanula trachelium,25.62350829,30.14125317,3601,0.653805942,0.189,0.17447,MAG
Cannabis sativa,38.48148841,32.76,4865.13,1.350363937,13.9479,0.218982125,MAG
Capsella bursa-pastoris,35.25101667,37.56654256,511.7,0.18456764,0.1159,0.31224,MAG
Cardamine bellidifolia,30.807,46.08115393,64.1,0.064807407,0.16,0.168161564,MAG
Cardamine bulbifera,24.76967564,36.07396518,2206.83,0.425017513,2.7,0.171804814,MAG
Cardamine enneaphyllos,21.93160213,33.2,15414.94,0.246621207,6.38,0.149712411,MAG
Cardamine heptaphylla,26.0552371,51.59736376,28081.25,0.358952718,6.02,0.16399,MAG
Cardamine hirsuta,35.96018994,17.86,322.02,0.120989034,0.1084,0.157289854,MAG
Carduus acanthoides,54.38602916,45.26,4651.8,0.766069264,2.1992,0.16215134,MAG
Carduus defloratus,78.21948954,18.43,3453,0.452794271,2.49,0.18495,MAG
Carduus nutans,59.49286766,33.08,4575.78,0.632107712,2.9802,0.160450277,MAG
Carex acuta,73.7632706,27.37,1947.94,0.879519955,1.25,0.13,MAG
Carex acutiformis,64.06530574,12.8,7035,0.704954685,0.8396,0.295595424,MAG
Carex alba,41.8800472,18.79768976,113.81,0.136873811,1.5993,0.30661466,MAG
Carex aquatilis,78.60156381,19.74421676,1350.4,0.896096377,0.4429,0.38453,MAG
Carex arenaria,75.72168545,19.21984511,395.25,0.22047133,0.8411,0.2415646,MAG
Carex atrata,54.42299497,25.82625215,519.29,0.219894287,0.5283,0.26999034,MAG
Carex atrofusca,46.41651428,19.37,116.24,0.124350747,0.49,0.269732745,MAG
Carex bigelowii,70.6834177,20.17460448,418.68,0.13415257,0.5369,0.332824503,MAG
Carex binervis,66.01017499,17.13,316,0.515289122,1.4857,0.291654,MAG
Carex brizoides,34.81766371,26.39393226,1382.75,0.499126868,0.3073,0.299107952,MAG
Carex canescens,37.64207421,21.68632577,372.13,0.357968307,0.3206,0.258383633,MAG
Carex caryophyllea,48.9446038,19.95448182,205.87,0.129899856,1.0124,0.16587875,MAG
Carex curvula,108.2669342,11.87883353,77.23,0.123310604,2.0792,0.48521588,MAG
Carex digitata,34.77172738,20,469.46,0.204172272,1.3281,0.2792352,MAG
Carex elata,72.41129616,18.7,2693.25,0.848112794,0.6898,0.30461,MAG
Carex flacca,64.26122399,16.44407386,585.76,0.257770512,0.8405,0.187314965,MAG
Carex flava,45.49590537,11.29491036,331,0.202141161,1.0241,0.21581,MAG
Carex halleriana,70.21950468,16.69599354,243.05,0.167062932,1.8062,0.34739377,MAG
Carex hirta,50.74975612,21.97797839,1097.53,0.268515784,2.2252,0.1657122,MAG
Carex humilis,61.45155672,15.77885032,132.49,0.082569039,1.1837,0.349268863,MAG
Carex lasiocarpa,96.24501751,17.67728849,811.54,0.579889,3.7496,0.324114537,MAG
Carex montana,56.95859719,16.90621668,276.94,0.172879016,0.6723,0.293945996,MAG
Carex nigra,44.22369718,19.65382212,466.86,0.165185561,0.7402,0.3159675,MAG
Carex pallescens,48.33835099,16.64746196,2168.1,0.476770557,1.0998000000000001,0.3042275,MAG
Carex panicea,50.12843974,17.4019535,597.03,0.275428668,1.9123000000000001,0.2979075,MAG
Carex paniculata,60.5210704,23.2,3774.24,0.656245969,0.8373,0.26461237,MAG
Carex pilulifera,43.88945125,24.70359527,266.34,0.185107122,1.1263,0.285403333,MAG
Carex remota,36.33891488,16.34653369,301.53,0.433401862,0.3999,0.2,MAG
Carex riparia,75.41749221,18.29250173,11755.51,0.935877473,2.074,0.28685,MAG
Carex rostrata,65.32038293,19.26761453,1698.77,0.468669026,1.034,0.213808652,MAG
Carex saxatilis,87.45056833,28.97749709,315.57,0.16709604,0.6812,0.295264482,MAG
Carex sempervirens,78.18324076,16.46257865,344.32,0.205828256,0.896,0.32032,MAG
Carex sylvatica,38.3182951,21.8,677,0.450572803,1.5489,0.266194232,MAG
Carex umbrosa,45.82433929,14.40989452,394.69,0.299367784,0.4733,0.293551656,MAG
Carex vaginata,46.47074332,17.60320184,356.18,0.516376578,1.9013,0.308362354,MAG
Carex vesicaria,60.82056749,19.2,1222,0.587900691,0.9443,0.28685,MAG
Carex vulpinoidea,54.28198262,27.53,509.67,0.351725121,0.7867,0.278915374,MAG
Carlina acaulis,89.4878176,18.34,3989,0.141708217,3.6645,0.18495,MAG
Carlina vulgaris,63.36948878,15.78,308.82,0.294969232,1.4433,0.11,MAG
Carpinus betulus,51.02424264,21.13373374,2191.45,16.71824372,36.46,0.627711686,MAG
Carum carvi,45.04545562,29.0267192,1254.93,0.437555986,2.191,0.209510031,MAG
Castanea sativa,75.49467764,21.60925315,7033.85,27.11682479,3488.8615,0.568485975,MAG
Catalpa speciosa,80.64516129,21.37638884,13590.78,23.41794184,19.753,0.38,MAG
Catananche caerulea,64.67394957,20.3,485,0.452701906,3.28,0.170713989,MAG
Catapodium rigidum,42.05377472,16.86416192,29.28,0.094415256,0.1972,0.264183009,MAG
Cedrus deodara,162.2206777,14.92,27.64,39.99791656,114.984,0.589745708,MAG
Celtis australis,51.06825912,26.5,675,23.20794417,182.6421,0.610643413,MAG
Celtis occidentalis,82.32832517,25.35006163,4800,21.76693292,87.1522,0.49,MAG
Centaurea aspera,61.57592638,27.7,936.36,0.504817915,3.7462,0.17447,MAG
Centaurea diffusa,64.81747711,16.97,191.3,0.274203619,2.2308,0.205785167,MAG
Centaurea jacea,49.92304298,24.67400334,787.11,0.482362217,1.4104,0.3406,MAG
Centaurea nigra,48.30019574,24.57139192,1025.3,0.49725474,2.5256,0.199561164,MAG
Centaurea nigrescens,39.101,19.08950977,2342.94,0.56224414,2.61,0.190783692,MAG
Centaurea pectinata,59.02881723,21.81058198,459,0.21812139,2.8898,0.200293157,MAG
Centaurea rhaetica,71.06,25.23739431,111.11,0.215443469,2.06,0.205286964,MAG
Centaurea scabiosa,55.22801807,22.3,4984.86,0.684214738,6.2991,0.19543,MAG
Centaurium erythraea,49.71262845,21.32134449,251.24,0.112285915,0.015,0.226867205,MAG
Cerastium arvense,50.69646213,29.15757075,26.65,0.083665112,0.1832,0.21325,MAG
Cerastium fontanum,35.9696487,19.62212259,109.55,0.167019023,0.1041,0.203509833,MAG
Cerastium fontanum subsp. vulgare,35.00793177,10.80520618,120.39,0.196493744,0.1258,0.174707055,MAG
Cerastium glomeratum,35.28974806,19.65566268,113.89,0.180159249,0.0598,0.18399,MAG
Cerastium pumilum,46.44737567,15.25,19.42,0.068048715,0.0574,0.18407027,MAG
Cerastium purpurascens,53.59056806,23.26,108.7,0.25,0.49,0.18495,MAG
Cerastium semidecandrum,53.17195389,7.660652719,30.08,0.072110718,0.0327,0.188844731,MAG
Ceratocarpus arenarius,77.25078725,37.9,11,0.05,4.01,0.320121298,MAG
Ceratonia siliqua,222.4905808,14.17371319,942,12.24744871,192.2915,0.518019884,MAG
Ceratophyllum demersum,22.70763397,42.08972667,32.38,0.405798974,4.7334,0.156809609,MAG
Cerinthe minor,29.516,22.87854097,1682.21,0.316148679,18.2043,0.183314596,MAG
Chaerophyllum hirsutum,48.19942566,25.93191084,19416.6,0.591321714,4.7592,0.23444,MAG
Chaerophyllum roseum,54.2888165,27.94,1508.42,0.6480740698,4.66,0.24259,MAG
Cheirolophus sempervirens,31.3019663,28.02022484,5495,0.415432222,9.0957,0.24184,MAG
Chelidonium majus,23.66648016,42.4448541,8765.3,0.49176691,0.7328,0.192490826,MAG
Chenopodium album,49.12443391,35.84945113,644.62,0.560605633,0.5921,0.189282547,MAG
Chenopodium bonus-henricus,36.45654432,51.35,4677.54,0.38058042,1.8295,0.188409951,MAG
Chondrilla juncea,113.7262086,21.53,301.25,0.480762372,0.3331,0.218957,MAG
Chrysopogon gryllus,56.05211646,15.56350932,588.78,0.61766821,1.6449,0.280708,MAG
Chrysosplenium alternifolium,27.07905553,23.76,286.36,0.17239819,0.0464,0.156073017,MAG
Chrysosplenium oppositifolium,42.94328627,26.6,142.29,0.09085603,0.0445,0.158531286,MAG
Cichorium intybus,53.07131618,26.61022504,1864.16,0.67197525,1.1701,0.186529227,MAG
Circaea alpina,22.64492754,18.35401863,683,0.141822305,0.6202,0.18495,MAG
Circaea lutetiana,22.21878538,23.65324455,2312.64,0.334912555,1.9623,0.169659539,MAG
Cirsium arvense,41.8295339,24.72195493,5570.16,0.652958113,1.6595,0.07227,MAG
Cirsium dissectum,54.02106279,17.25,3621.47,0.460635482,1.9257,0.2,MAG
Cirsium heterophyllum,40.501132,23.62363224,31623,0.682189258,1.9,0.15692648,MAG
Cirsium oleraceum,35.26795422,37.14,3107.25,0.882299661,2.6088,0.16923,MAG
Cirsium palustre,52.49956651,17.24899997,3355.24,0.801792795,2.0733,0.09,MAG
Cirsium pannonicum,65.297,18.16977322,2755.37,0.607630961,2.1947,0.190042232,MAG
Cirsium vulgare,70.62306208,17.26,6798.49,0.92238856,2.6402,0.16472216,MAG
Cladium mariscus,150.3699894,15.5,14811.15,1.485699999,1.8467,0.34901,MAG
Clinopodium nepeta,39.67995729,26.62026365,108,0.312486415,0.242,0.211,MAG
Clinopodium vulgare,36.9914009,16.09745321,343.27,0.356684693,0.3501,0.23833,MAG
Comarum palustre,55.30288288,13.36,2197.21,0.371233216,0.4222,0.22687,MAG
Conium maculatum,34.03058901,46.28,7195.55,1.221790592,2.5852,0.202590845,MAG
Conopodium majus,44.4826055,38.6,436.5,0.262016249,2.3102,0.193651761,MAG
Convallaria majalis,33.42363478,28.04339354,6948.04,0.19028428,23.9866,0.201664371,MAG
Convolvulus arvensis,37.08453982,33.67357285,670.88,0.299399835,13.3764,0.192,MAG
Coreopsis tinctoria,69.44444444,14.7,580,0.415812458,0.232,0.297059524,MAG
Cornus sanguinea,52.55304773,22.55417809,1547.45,2.301963191,56.5895,0.609062199,MAG
Cornus sericea,45.50538139,17.55,2345.51,2.663296645,25.7526,0.48,MAG
Cornus suecica,29.76673742,19.88696657,301.4,0.164964651,3.42,0.19957568,MAG
Coronilla coronata,60.23894179,25.30358695,243.12,0.406750733,10.7218,0.17913,MAG
Coronilla minima,57.14586091,17.89907876,36.11,0.188035386,2.9802,0.207057513,MAG
Coronilla vaginalis,56.75368899,28.13092649,64.53,0.067283126,6.1921,0.15837,MAG
Corylus avellana,62.64605486,20.85536529,3860.22,3.929158599,887.8259,0.604768566,MAG
Corynephorus canescens,66.53286615,28.6,33.5,0.155954604,0.0972,0.311010906,MAG
Cota tinctoria,63.14739183,19.11962343,292.1,0.409880593,0.4374,0.20476942,MAG
