A,B,Pair,expected,p_value,estimate
L,T,L-T,independent,1.454571711450991e-11,0.20686455079125593
L,M,L-M,dependent,1.805225267391854e-8,-0.17304320914157603
L,R,L-R,independent,6.824030914525609e-10,0.18936601457280292
L,N,L-N,independent,0.10105748178097655,-0.050752703326592014
T,M,M-T,independent,1.2918773652843576e-25,-0.3156993892092697
T,R,R-T,dependent,3.454803364817107e-30,0.3428188900560228
T,N,N-T,independent,5.1055656126893335e-17,0.2553553718621604
M,R,M-R,independent,1.752572274516595e-14,-0.2341672380479697
M,N,M-N,independent,1.3626517570973195e-6,0.14877108693846022
R,N,N-R,independent,5.973747584236356e-15,0.23822856400647993
