slug,axis,expectation,basket,reason,evidence,summary
abies-alba,L,shade plant (mostly <5% relative illumination) (EIVE 3.04),Medium,"Summary of information found online shows that the plant tolerates 7 hours of sun but is ""Very shade tolerant, especially as a seedling."". Expert assigned (or predicted) EIVE value shows that shade plant (mostly <5% relative illumination). Therefore the reliability is Medium because the plant tolerates both shade and sun.","7.0 | Very shade tolerant, especially as a seedling.","Evidence suggests full sun, consistently moist conditions, slightly acidic to neutral soil, rich soil, and cool temperatures. Expert EIVE values show shade, moist, moderately acidic, intermediate fertility, and moderately cool temperatures."
abies-alba,M,moist; upper range of fresh soils (EIVE 5.18),Medium,Summary of information found online shows that the plant requires consistently moist soil with precipitation between 700-1800mm. Expert assigned (or predicted) EIVE value shows that moist; upper range of fresh soils. Therefore the reliability is Medium because the evidence supports moist conditions but also specifies 'not waterlogged'.,"Requires consistently moist, well-drained, deep soil that is not waterlogged. | 700 | 1800","Evidence suggests full sun, consistently moist conditions, slightly acidic to neutral soil, rich soil, and cool temperatures. Expert EIVE values show shade, moist, moderately acidic, intermediate fertility, and moderately cool temperatures."
abies-alba,R,moderately acidic soils; occasional neutral/basic (EIVE 5.31),High,Summary of information found online shows that the plant grows in pH range 5.0-7.4. Expert assigned (or predicted) EIVE value shows that moderately acidic soils; occasional neutral/basic. Therefore the reliability is High because the pH range aligns with the expectation.,5.0 | 7.4,"Evidence suggests full sun, consistently moist conditions, slightly acidic to neutral soil, rich soil, and cool temperatures. Expert EIVE values show shade, moist, moderately acidic, intermediate fertility, and moderately cool temperatures."
abies-alba,N,intermediate fertility (EIVE 4.9),Low,"Summary of information found online shows that the plant prefers rich soil. Expert assigned (or predicted) EIVE value shows that intermediate fertility. Therefore the reliability is Low because the evidence indicates a preference for rich soil, contradicting intermediate fertility.","Prefers rich, well-draining soil high in organic matter.","Evidence suggests full sun, consistently moist conditions, slightly acidic to neutral soil, rich soil, and cool temperatures. Expert EIVE values show shade, moist, moderately acidic, intermediate fertility, and moderately cool temperatures."
abies-alba,T,moderately cool to moderately warm (montane-submontane) (EIVE 3.68),High,Summary of information found online shows that the plant grows in hardiness zones 3-7 and Köppen zones Cfb/Dfb. Expert assigned (or predicted) EIVE value shows that moderately cool to moderately warm (montane-submontane). Therefore the reliability is High because the hardiness and Köppen zones align with the expectation.,3 | 7 | Cfb | Dfb,"Evidence suggests full sun, consistently moist conditions, slightly acidic to neutral soil, rich soil, and cool temperatures. Expert EIVE values show shade, moist, moderately acidic, intermediate fertility, and moderately cool temperatures."
abies-lasiocarpa,L,half-light plant (mostly well lit but tolerates shade) (EIVE 6.96),Medium,"Summary of information found online shows that plant tolerates full sun, part shade, and full shade, but grows slower in dense shade. Expert assigned (or predicted) EIVE value shows that half-light plant (mostly well lit but tolerates shade). Therefore the reliability is Medium because the evidence presents mixed light requirements.","Full Sun | Very shade tolerant, especially when young, but growth is slower in dense shade.","Evidence shows mixed light requirements, consistently moist soil preference, acidic pH range, poor nutrient needs, and cool temperate climate suitability. Expert EIVE values align with these findings, but some contradictions exist."
abies-lasiocarpa,M,fresh/mesic soils of average dampness (EIVE 4.17),Medium,"Summary of information found online shows that plant prefers moist but well-drained soils, tolerating some dry conditions. Expert assigned (or predicted) EIVE value shows that fresh/mesic soils of average dampness. Therefore the reliability is Medium because the evidence indicates a preference for consistently moist soil, but also some drought tolerance.",Requires average to medium moisture | established trees are considered drought tolerant.,"Evidence shows mixed light requirements, consistently moist soil preference, acidic pH range, poor nutrient needs, and cool temperate climate suitability. Expert EIVE values align with these findings, but some contradictions exist."
abies-lasiocarpa,R,slightly acidic; between acid and moderately acid (EIVE 3.78),High,Summary of information found online shows that plant prefers acidic soils with a pH range of 4.0-6.5. Expert assigned (or predicted) EIVE value shows that slightly acidic; between acid and moderately acid. Therefore the reliability is High because the evidence strongly supports an acidic soil preference.,pH_min: 4.0 | pH_max: 6.5,"Evidence shows mixed light requirements, consistently moist soil preference, acidic pH range, poor nutrient needs, and cool temperate climate suitability. Expert EIVE values align with these findings, but some contradictions exist."
abies-lasiocarpa,N,intermediate fertility (EIVE 5.05),Low,"Summary of information found online shows that plant thrives in poor and nutritionally poor soils. Expert assigned (or predicted) EIVE value shows that intermediate fertility. Therefore the reliability is Low because the evidence indicates a preference for poor, low-nutrient soils.",poor | nutritionally poor,"Evidence shows mixed light requirements, consistently moist soil preference, acidic pH range, poor nutrient needs, and cool temperate climate suitability. Expert EIVE values align with these findings, but some contradictions exist."
abies-lasiocarpa,T,rather cool montane climates (EIVE 3.24),High,"Summary of information found online shows that plant thrives in cool temperate climates, with hardiness zones ranging from 4-8. Expert assigned (or predicted) EIVE value shows that rather cool montane climates. Therefore the reliability is High because the evidence confirms a preference for cool and cold climates.",zone_min: 4 | zone_max: 8,"Evidence shows mixed light requirements, consistently moist soil preference, acidic pH range, poor nutrient needs, and cool temperate climate suitability. Expert EIVE values align with these findings, but some contradictions exist."
