trait,predictor,obs_mean,gap_mean,mean_diff_pct,obs_median,gap_median,ks_statistic,ks_pvalue,distributions_similar
logLA,wc2_1_30s_bio_1_q50,13.01307696029243,12.586447998523283,-3.2784633724287127,12.18958330154419,13.166666984558104,0.08097240876909417,6.3790578775524e-17,No
logLA,wc2_1_30s_bio_12_q50,1045.6529051987768,906.2677574441688,-13.329963227913682,870.5,785.0,0.09383513177165145,1.3956645417798917e-22,No
logLA,phh2o_0_5cm_q50,5.952370030581039,6.2063517915309445,4.266901413135314,5.8,6.1,0.16564679468296897,1.2332686546253439e-69,No
logLA,soc_0_5cm_q50,68.32795298165138,65.37581821002017,-4.320537412300302,62.95,59.6,0.055480697942147904,3.588393166930903e-08,No
logLA,wc2_1_30s_elev_q50,425.63006498470946,494.862050248139,16.265764794109796,190.0,226.75,0.09216901526016649,8.415772936816888e-22,No
logNmass,wc2_1_30s_bio_1_q50,13.167630038978908,12.567750709874824,-4.555712207347239,12.647916793823242,12.831249713897703,0.10093269826586615,5.2469318765870456e-24,No
logNmass,wc2_1_30s_bio_12_q50,1041.5410036719707,929.5293614219881,-10.754415030717325,855.5,804.5,0.07124638302432751,3.580803660066143e-12,No
logNmass,phh2o_0_5cm_q50,5.999987760097919,6.142375559652357,2.373134833730299,5.9,6.1,0.0922212311529846,4.154406736544742e-20,No
logNmass,soc_0_5cm_q50,64.8438800489596,67.69587832499342,4.398253580569891,61.2,61.2,0.05392971130658134,3.700822987684268e-07,No
logNmass,wc2_1_30s_elev_q50,471.5981640146879,459.68248847926264,-2.5266585929825895,211.0,205.0,0.06023627281686157,7.994259180449633e-09,No
logLDMC,wc2_1_30s_bio_1_q50,11.322681231567667,13.25281737037023,17.046634973890622,10.087499618530272,13.818749904632568,0.1740738973750078,7.434172353519524e-58,No
logLDMC,wc2_1_30s_bio_12_q50,914.644297635605,986.3645502044525,7.841327251943457,811.0,823.0,0.11866018670233976,4.804748762033246e-27,No
logLDMC,phh2o_0_5cm_q50,5.972705146036161,6.131733499943201,2.6625850434384897,5.9,6.1,0.13680204798054527,7.904539285205368e-36,No
logLDMC,soc_0_5cm_q50,70.07543463143254,65.59500170396456,-6.393728345793629,67.7,59.4,0.12147075129432579,2.534567473534081e-28,No
logLDMC,wc2_1_30s_elev_q50,395.4153337969402,486.2054179918219,22.960688783380768,180.25,224.5,0.13839549477762983,1.16175075300237e-36,No
logSLA,wc2_1_30s_bio_1_q50,12.646434486193119,12.895213003410873,1.9671830624620812,12.024999618530272,13.443749904632568,0.056411175711962074,1.691129892413808e-08,No
logSLA,wc2_1_30s_bio_12_q50,999.8442251991311,940.7620207927225,-5.90914093589345,843.0,803.0,0.07001793579343536,7.36234137101919e-13,No
logSLA,phh2o_0_5cm_q50,6.001258146270819,6.174524776604388,2.8871717581626815,5.9,6.1,0.1120230986740674,2.8896874034577605e-32,No
logSLA,soc_0_5cm_q50,67.59054127443882,65.89757920389927,-2.504732228235299,62.375,60.1,0.04119867459681143,9.822575644643838e-05,No
logSLA,wc2_1_30s_elev_q50,440.29227009413466,484.9890350877193,10.151612469605345,198.5,219.0,0.07452117501090404,1.6461839596230302e-14,No
logH,wc2_1_30s_bio_1_q50,13.188528128850479,11.391383540963748,-13.62657432526833,13.595832824707031,10.579166412353516,0.1347186446400224,4.702659201251946e-33,No
logH,wc2_1_30s_bio_12_q50,999.7707292707292,863.9221265443654,-13.587975597710988,850.0,728.5,0.1371072872383243,3.1748989142154565e-34,No
logH,phh2o_0_5cm_q50,6.027372627372627,6.3125655430711625,4.731629075052767,5.9,6.3,0.1983806455716568,2.0902392889199214e-71,No
logH,soc_0_5cm_q50,66.48778443778443,67.4087265917603,1.3851298577073787,60.7,62.575,0.044940826963298874,0.00046932459207716645,No
logH,wc2_1_30s_elev_q50,434.53618603618605,562.7220142268814,29.499459955222374,195.0,274.0,0.13456617013337344,5.577716847705802e-33,No
logSM,wc2_1_30s_bio_1_q50,13.600095548663504,11.188629520133986,-17.731243283555422,13.90625,10.651041507720945,0.14154121684242166,2.5950238080965637e-46,No
logSM,wc2_1_30s_bio_12_q50,976.762668918919,953.1388052208836,-2.4185878975270714,838.5,782.0,0.0732394233900258,1.0792824745538514e-12,No
logSM,phh2o_0_5cm_q50,6.049525727650727,6.175746924428823,2.086464335562253,5.925000000000001,6.1,0.10029818125160832,1.9615421700469132e-23,No
logSM,soc_0_5cm_q50,63.99600441787942,71.91978408234999,12.38167872595621,58.3,66.1,0.13569807858032815,1.384044352934118e-42,No
logSM,wc2_1_30s_elev_q50,404.45179313929316,578.5908634538152,43.055581225856656,190.0,268.5,0.14917883592582387,2.0492869347145356e-51,No
