M_class,label,count,median_EIVE,lower,upper
1,indicator of extreme dryness; soils often dry out,144,0.954776915561311,0.0,1.5058990840415756
2,very dry sites; shallow soils or sand,1034,2.05702125252184,1.5058990840415756,2.4661094549420053
3,dry-site indicator; more often on dry ground,1936,2.87519765736217,2.4661094549420053,3.2193224680865575
4,moderately dry; also in dry sites with humidity,2288,3.563447278810945,3.2193224680865575,3.9487692878652925
5,fresh/mesic soils of average dampness,2213,4.33409129691964,3.9487692878652925,4.688162299093515
6,moist; upper range of fresh soils,951,5.04223330126739,4.688162299093515,5.3903529058605795
7,constantly moist or damp but not wet,695,5.73847251045377,5.3903529058605795,6.072906716053945
8,moist to wet; tolerates short inundation,651,6.40734092165412,6.072906716053945,6.777944648865165
9,"wet, water-saturated poorly aerated soils",525,7.14854837607621,6.777944648865165,7.535023171075245
10,shallow water sites; often temporarily flooded,234,7.921497966074281,7.535023171075245,8.40132099361625
11,"rooted in water, emergent or floating",290,8.88114402115822,8.40132099361625,10.0
